𩭯	U+29B6F (U+29B6F)	f0a9adaf
𩵣	U+29D63 (U+29D63)	f0a9b5a3
𩵤	U+29D64 (U+29D64)	f0a9b5a4
𩵥	U+29D65 (U+29D65)	f0a9b5a5
𩵦	U+29D66 (U+29D66)	f0a9b5a6
𩵧	U+29D67 (U+29D67)	f0a9b5a7
𩵨	U+29D68 (U+29D68)	f0a9b5a8
𩵩	U+29D69 (U+29D69)	f0a9b5a9
𩵪	U+29D6A (U+29D6A)	f0a9b5aa
𩵫	U+29D6B (U+29D6B)	f0a9b5ab
𩵬	U+29D6C (U+29D6C)	f0a9b5ac
𩵭	U+29D6D (U+29D6D)	f0a9b5ad
𩵮	U+29D6E (U+29D6E)	f0a9b5ae
𩵯	U+29D6F (U+29D6F)	f0a9b5af
𩵰	U+29D70 (U+29D70)	f0a9b5b0
𩵱	U+29D71 (U+29D71)	f0a9b5b1
𩵲	U+29D72 (U+29D72)	f0a9b5b2
𩵳	U+29D73 (U+29D73)	f0a9b5b3
𩵴	U+29D74 (U+29D74)	f0a9b5b4
𩵵	U+29D75 (U+29D75)	f0a9b5b5
𩵶	U+29D76 (U+29D76)	f0a9b5b6
𩵷	U+29D77 (U+29D77)	f0a9b5b7
𩵸	U+29D78 (U+29D78)	f0a9b5b8
𩵹	U+29D79 (U+29D79)	f0a9b5b9
𩵺	U+29D7A (U+29D7A)	f0a9b5ba
𩵻	U+29D7B (U+29D7B)	f0a9b5bb
𩵼	U+29D7C (U+29D7C)	f0a9b5bc
𩵽	U+29D7D (U+29D7D)	f0a9b5bd
𩵾	U+29D7E (U+29D7E)	f0a9b5be
𩵿	U+29D7F (U+29D7F)	f0a9b5bf
𩶀	U+29D80 (U+29D80)	f0a9b680
𩶁	U+29D81 (U+29D81)	f0a9b681
𩶂	U+29D82 (U+29D82)	f0a9b682
𩶃	U+29D83 (U+29D83)	f0a9b683
𩶄	U+29D84 (U+29D84)	f0a9b684
𩶅	mackerel (U+29D85)	f0a9b685
𩶆	U+29D86 (U+29D86)	f0a9b686
𩶇	U+29D87 (U+29D87)	f0a9b687
𩶈	U+29D88 (U+29D88)	f0a9b688
𩶉	U+29D89 (U+29D89)	f0a9b689
𩶊	U+29D8A (U+29D8A)	f0a9b68a
𩶋	U+29D8B (U+29D8B)	f0a9b68b
𩶌	U+29D8C (U+29D8C)	f0a9b68c
𩶍	U+29D8D (U+29D8D)	f0a9b68d
𩶎	U+29D8E (U+29D8E)	f0a9b68e
𩶏	U+29D8F (U+29D8F)	f0a9b68f
𩶐	U+29D90 (U+29D90)	f0a9b690
𩶑	U+29D91 (U+29D91)	f0a9b691
𩶒	U+29D92 (U+29D92)	f0a9b692
𩶓	U+29D93 (U+29D93)	f0a9b693
𩶔	U+29D94 (U+29D94)	f0a9b694
𩶕	U+29D95 (U+29D95)	f0a9b695
𩶖	U+29D96 (U+29D96)	f0a9b696
𩶗	U+29D97 (U+29D97)	f0a9b697
𩶘	a general name for perch, etc. (U+29D98)	f0a9b698
𩶙	U+29D99 (U+29D99)	f0a9b699
𩶚	U+29D9A (U+29D9A)	f0a9b69a
𩶛	U+29D9B (U+29D9B)	f0a9b69b
𩶜	U+29D9C (U+29D9C)	f0a9b69c
𩶝	U+29D9D (U+29D9D)	f0a9b69d
𩶞	U+29D9E (U+29D9E)	f0a9b69e
𩶟	U+29D9F (U+29D9F)	f0a9b69f
𩶠	U+29DA0 (U+29DA0)	f0a9b6a0
𩶡	U+29DA1 (U+29DA1)	f0a9b6a1
𩶢	U+29DA2 (U+29DA2)	f0a9b6a2
𩶣	U+29DA3 (U+29DA3)	f0a9b6a3
𩶤	U+29DA4 (U+29DA4)	f0a9b6a4
𩶥	U+29DA5 (U+29DA5)	f0a9b6a5
𩶦	U+29DA6 (U+29DA6)	f0a9b6a6
𩶧	U+29DA7 (U+29DA7)	f0a9b6a7
𩶨	U+29DA8 (U+29DA8)	f0a9b6a8
𩶩	U+29DA9 (U+29DA9)	f0a9b6a9
𩶪	U+29DAA (U+29DAA)	f0a9b6aa
𩶫	U+29DAB (U+29DAB)	f0a9b6ab
𩶬	U+29DAC (U+29DAC)	f0a9b6ac
𩶭	U+29DAD (U+29DAD)	f0a9b6ad
𩶮	U+29DAE (U+29DAE)	f0a9b6ae
𩶯	U+29DAF (U+29DAF)	f0a9b6af
𩶰	U+29DB0 (U+29DB0)	f0a9b6b0
𩶱	U+29DB1 (U+29DB1)	f0a9b6b1
𩶲	U+29DB2 (U+29DB2)	f0a9b6b2
𩶳	U+29DB3 (U+29DB3)	f0a9b6b3
𩶴	U+29DB4 (U+29DB4)	f0a9b6b4
𩶵	U+29DB5 (U+29DB5)	f0a9b6b5
𩶶	U+29DB6 (U+29DB6)	f0a9b6b6
𩶷	U+29DB7 (U+29DB7)	f0a9b6b7
𩶸	U+29DB8 (U+29DB8)	f0a9b6b8
𩶹	U+29DB9 (U+29DB9)	f0a9b6b9
𩶺	U+29DBA (U+29DBA)	f0a9b6ba
𩶻	U+29DBB (U+29DBB)	f0a9b6bb
𩶼	U+29DBC (U+29DBC)	f0a9b6bc
𩶽	U+29DBD (U+29DBD)	f0a9b6bd
𩶾	U+29DBE (U+29DBE)	f0a9b6be
𩶿	U+29DBF (U+29DBF)	f0a9b6bf
𩷀	U+29DC0 (U+29DC0)	f0a9b780
𩷁	U+29DC1 (U+29DC1)	f0a9b781
𩷂	U+29DC2 (U+29DC2)	f0a9b782
𩷃	U+29DC3 (U+29DC3)	f0a9b783
𩷄	U+29DC4 (U+29DC4)	f0a9b784
𩷅	U+29DC5 (U+29DC5)	f0a9b785
𩷆	U+29DC6 (U+29DC6)	f0a9b786
𩷇	U+29DC7 (U+29DC7)	f0a9b787
𩷈	U+29DC8 (U+29DC8)	f0a9b788
𩷉	U+29DC9 (U+29DC9)	f0a9b789
𩷊	U+29DCA (U+29DCA)	f0a9b78a
𩷋	U+29DCB (U+29DCB)	f0a9b78b
𩷌	U+29DCC (U+29DCC)	f0a9b78c
𩷍	U+29DCD (U+29DCD)	f0a9b78d
𩷎	U+29DCE (U+29DCE)	f0a9b78e
𩷏	U+29DCF (U+29DCF)	f0a9b78f
𩷐	U+29DD0 (U+29DD0)	f0a9b790
𩷑	U+29DD1 (U+29DD1)	f0a9b791
𩷒	U+29DD2 (U+29DD2)	f0a9b792
𩷓	U+29DD3 (U+29DD3)	f0a9b793
𩷔	U+29DD4 (U+29DD4)	f0a9b794
𩷕	U+29DD5 (U+29DD5)	f0a9b795
𩷖	U+29DD6 (U+29DD6)	f0a9b796
𩷗	U+29DD7 (U+29DD7)	f0a9b797
𩷘	U+29DD8 (U+29DD8)	f0a9b798
𩷙	U+29DD9 (U+29DD9)	f0a9b799
𩷚	U+29DDA (U+29DDA)	f0a9b79a
𩷛	U+29DDB (U+29DDB)	f0a9b79b
𩷜	U+29DDC (U+29DDC)	f0a9b79c
𩷝	U+29DDD (U+29DDD)	f0a9b79d
𩷞	U+29DDE (U+29DDE)	f0a9b79e
𩷟	U+29DDF (U+29DDF)	f0a9b79f
𩷠	U+29DE0 (U+29DE0)	f0a9b7a0
𩷡	U+29DE1 (U+29DE1)	f0a9b7a1
𩷢	U+29DE2 (U+29DE2)	f0a9b7a2
𩷣	U+29DE3 (U+29DE3)	f0a9b7a3
𩷤	U+29DE4 (U+29DE4)	f0a9b7a4
𩷥	U+29DE5 (U+29DE5)	f0a9b7a5
𩷦	U+29DE6 (U+29DE6)	f0a9b7a6
𩷧	U+29DE7 (U+29DE7)	f0a9b7a7
𩷨	U+29DE8 (U+29DE8)	f0a9b7a8
𩷩	U+29DE9 (U+29DE9)	f0a9b7a9
𩷪	U+29DEA (U+29DEA)	f0a9b7aa
𩷫	U+29DEB (U+29DEB)	f0a9b7ab
𩷬	U+29DEC (U+29DEC)	f0a9b7ac
𩷭	U+29DED (U+29DED)	f0a9b7ad
𩷮	U+29DEE (U+29DEE)	f0a9b7ae
𩷯	U+29DEF (U+29DEF)	f0a9b7af
𩷰	U+29DF0 (U+29DF0)	f0a9b7b0
𩷱	U+29DF1 (U+29DF1)	f0a9b7b1
𩷲	U+29DF2 (U+29DF2)	f0a9b7b2
𩷳	U+29DF3 (U+29DF3)	f0a9b7b3
𩷴	U+29DF4 (U+29DF4)	f0a9b7b4
𩷵	U+29DF5 (U+29DF5)	f0a9b7b5
𩷶	U+29DF6 (U+29DF6)	f0a9b7b6
𩷷	U+29DF7 (U+29DF7)	f0a9b7b7
𩷸	(same as U+9B74 魴) triangular bream (U+29DF8)	f0a9b7b8
𩷹	U+29DF9 (U+29DF9)	f0a9b7b9
𩷺	U+29DFA (U+29DFA)	f0a9b7ba
𩷻	U+29DFB (U+29DFB)	f0a9b7bb
𩷼	U+29DFC (U+29DFC)	f0a9b7bc
𩷽	U+29DFD (U+29DFD)	f0a9b7bd
𩷾	U+29DFE (U+29DFE)	f0a9b7be
𩷿	U+29DFF (U+29DFF)	f0a9b7bf
𩸀	U+29E00 (U+29E00)	f0a9b880
𩸁	U+29E01 (U+29E01)	f0a9b881
𩸂	U+29E02 (U+29E02)	f0a9b882
𩸃	U+29E03 (U+29E03)	f0a9b883
𩸄	U+29E04 (U+29E04)	f0a9b884
𩸅	U+29E05 (U+29E05)	f0a9b885
𩸆	U+29E06 (U+29E06)	f0a9b886
𩸇	U+29E07 (U+29E07)	f0a9b887
𩸈	U+29E08 (U+29E08)	f0a9b888
𩸉	U+29E09 (U+29E09)	f0a9b889
𩸊	U+29E0A (U+29E0A)	f0a9b88a
𩸋	U+29E0B (U+29E0B)	f0a9b88b
𩸌	U+29E0C (U+29E0C)	f0a9b88c
𩸍	U+29E0D (U+29E0D)	f0a9b88d
𩸎	U+29E0E (U+29E0E)	f0a9b88e
𩸏	U+29E0F (U+29E0F)	f0a9b88f
𩸐	U+29E10 (U+29E10)	f0a9b890
𩸑	U+29E11 (U+29E11)	f0a9b891
𩸒	U+29E12 (U+29E12)	f0a9b892
𩸓	U+29E13 (U+29E13)	f0a9b893
𩸔	U+29E14 (U+29E14)	f0a9b894
𩸕	U+29E15 (U+29E15)	f0a9b895
𩸖	U+29E16 (U+29E16)	f0a9b896
𩸗	U+29E17 (U+29E17)	f0a9b897
𩸘	U+29E18 (U+29E18)	f0a9b898
𩸙	U+29E19 (U+29E19)	f0a9b899
𩸚	U+29E1A (U+29E1A)	f0a9b89a
𩸛	U+29E1B (U+29E1B)	f0a9b89b
𩸜	U+29E1C (U+29E1C)	f0a9b89c
𩸝	U+29E1D (U+29E1D)	f0a9b89d
𩸞	U+29E1E (U+29E1E)	f0a9b89e
𩸟	U+29E1F (U+29E1F)	f0a9b89f
𩸠	U+29E20 (U+29E20)	f0a9b8a0
𩸡	U+29E21 (U+29E21)	f0a9b8a1
𩸢	U+29E22 (U+29E22)	f0a9b8a2
𩸣	U+29E23 (U+29E23)	f0a9b8a3
𩸤	U+29E24 (U+29E24)	f0a9b8a4
𩸥	U+29E25 (U+29E25)	f0a9b8a5
𩸦	U+29E26 (U+29E26)	f0a9b8a6
𩸧	U+29E27 (U+29E27)	f0a9b8a7
𩸨	male whale (U+29E28)	f0a9b8a8
𩸩	U+29E29 (U+29E29)	f0a9b8a9
𩸪	U+29E2A (U+29E2A)	f0a9b8aa
𩸫	U+29E2B (U+29E2B)	f0a9b8ab
𩸬	U+29E2C (U+29E2C)	f0a9b8ac
𩸭	U+29E2D (U+29E2D)	f0a9b8ad
𩸮	U+29E2E (U+29E2E)	f0a9b8ae
𩸯	U+29E2F (U+29E2F)	f0a9b8af
𩸰	U+29E30 (U+29E30)	f0a9b8b0
𩸱	U+29E31 (U+29E31)	f0a9b8b1
𩸲	U+29E32 (U+29E32)	f0a9b8b2
𩸳	U+29E33 (U+29E33)	f0a9b8b3
𩸴	U+29E34 (U+29E34)	f0a9b8b4
𩸵	U+29E35 (U+29E35)	f0a9b8b5
𩸶	U+29E36 (U+29E36)	f0a9b8b6
𩸷	U+29E37 (U+29E37)	f0a9b8b7
𩸸	U+29E38 (U+29E38)	f0a9b8b8
𩸹	U+29E39 (U+29E39)	f0a9b8b9
𩸺	U+29E3A (U+29E3A)	f0a9b8ba
𩸻	U+29E3B (U+29E3B)	f0a9b8bb
𩸼	U+29E3C (U+29E3C)	f0a9b8bc
𩸽	U+29E3D (U+29E3D)	f0a9b8bd
𩸾	U+29E3E (U+29E3E)	f0a9b8be
𩸿	U+29E3F (U+29E3F)	f0a9b8bf
𩹀	U+29E40 (U+29E40)	f0a9b980
𩹁	U+29E41 (U+29E41)	f0a9b981
𩹂	U+29E42 (U+29E42)	f0a9b982
𩹃	U+29E43 (U+29E43)	f0a9b983
𩹄	U+29E44 (U+29E44)	f0a9b984
𩹅	U+29E45 (U+29E45)	f0a9b985
𩹆	U+29E46 (U+29E46)	f0a9b986
𩹇	U+29E47 (U+29E47)	f0a9b987
𩹈	U+29E48 (U+29E48)	f0a9b988
𩹉	U+29E49 (U+29E49)	f0a9b989
𩹊	U+29E4A (U+29E4A)	f0a9b98a
𩹋	U+29E4B (U+29E4B)	f0a9b98b
𩹌	U+29E4C (U+29E4C)	f0a9b98c
𩹍	U+29E4D (U+29E4D)	f0a9b98d
𩹎	U+29E4E (U+29E4E)	f0a9b98e
𩹏	U+29E4F (U+29E4F)	f0a9b98f
𩹐	U+29E50 (U+29E50)	f0a9b990
𩹑	U+29E51 (U+29E51)	f0a9b991
𩹒	U+29E52 (U+29E52)	f0a9b992
𩹓	U+29E53 (U+29E53)	f0a9b993
𩹔	U+29E54 (U+29E54)	f0a9b994
𩹕	U+29E55 (U+29E55)	f0a9b995
𩹖	U+29E56 (U+29E56)	f0a9b996
𩹗	U+29E57 (U+29E57)	f0a9b997
𩹘	U+29E58 (U+29E58)	f0a9b998
𩹙	U+29E59 (U+29E59)	f0a9b999
𩹚	U+29E5A (U+29E5A)	f0a9b99a
𩹛	U+29E5B (U+29E5B)	f0a9b99b
𩹜	U+29E5C (U+29E5C)	f0a9b99c
𩹝	U+29E5D (U+29E5D)	f0a9b99d
𩹞	U+29E5E (U+29E5E)	f0a9b99e
𩹟	U+29E5F (U+29E5F)	f0a9b99f
𩹠	U+29E60 (U+29E60)	f0a9b9a0
𩹡	U+29E61 (U+29E61)	f0a9b9a1
𩹢	U+29E62 (U+29E62)	f0a9b9a2
𩹣	U+29E63 (U+29E63)	f0a9b9a3
𩹤	U+29E64 (U+29E64)	f0a9b9a4
𩹥	U+29E65 (U+29E65)	f0a9b9a5
𩹦	U+29E66 (U+29E66)	f0a9b9a6
𩹧	U+29E67 (U+29E67)	f0a9b9a7
𩹨	U+29E68 (U+29E68)	f0a9b9a8
𩹩	U+29E69 (U+29E69)	f0a9b9a9
𩹪	U+29E6A (U+29E6A)	f0a9b9aa
𩹫	U+29E6B (U+29E6B)	f0a9b9ab
𩹬	U+29E6C (U+29E6C)	f0a9b9ac
𩹭	U+29E6D (U+29E6D)	f0a9b9ad
𩹮	U+29E6E (U+29E6E)	f0a9b9ae
𩹯	U+29E6F (U+29E6F)	f0a9b9af
𩹰	U+29E70 (U+29E70)	f0a9b9b0
𩹱	U+29E71 (U+29E71)	f0a9b9b1
𩹲	U+29E72 (U+29E72)	f0a9b9b2
𩹳	U+29E73 (U+29E73)	f0a9b9b3
𩹴	U+29E74 (U+29E74)	f0a9b9b4
𩹵	U+29E75 (U+29E75)	f0a9b9b5
𩹶	U+29E76 (U+29E76)	f0a9b9b6
𩹷	U+29E77 (U+29E77)	f0a9b9b7
𩹸	U+29E78 (U+29E78)	f0a9b9b8
𩹹	U+29E79 (U+29E79)	f0a9b9b9
𩹺	U+29E7A (U+29E7A)	f0a9b9ba
𩹻	U+29E7B (U+29E7B)	f0a9b9bb
𩹼	U+29E7C (U+29E7C)	f0a9b9bc
𩹽	U+29E7D (U+29E7D)	f0a9b9bd
𩹾	U+29E7E (U+29E7E)	f0a9b9be
𩹿	U+29E7F (U+29E7F)	f0a9b9bf
𩺀	U+29E80 (U+29E80)	f0a9ba80
𩺁	U+29E81 (U+29E81)	f0a9ba81
𩺂	U+29E82 (U+29E82)	f0a9ba82
𩺃	U+29E83 (U+29E83)	f0a9ba83
𩺄	U+29E84 (U+29E84)	f0a9ba84
𩺅	U+29E85 (U+29E85)	f0a9ba85
𩺆	U+29E86 (U+29E86)	f0a9ba86
𩺇	U+29E87 (U+29E87)	f0a9ba87
𩺈	U+29E88 (U+29E88)	f0a9ba88
𩺉	U+29E89 (U+29E89)	f0a9ba89
𩺊	U+29E8A (U+29E8A)	f0a9ba8a
𩺋	U+29E8B (U+29E8B)	f0a9ba8b
𩺌	U+29E8C (U+29E8C)	f0a9ba8c
𩺍	U+29E8D (U+29E8D)	f0a9ba8d
𩺎	U+29E8E (U+29E8E)	f0a9ba8e
𩺏	U+29E8F (U+29E8F)	f0a9ba8f
𩺐	U+29E90 (U+29E90)	f0a9ba90
𩺑	U+29E91 (U+29E91)	f0a9ba91
𩺒	U+29E92 (U+29E92)	f0a9ba92
𩺓	U+29E93 (U+29E93)	f0a9ba93
𩺔	U+29E94 (U+29E94)	f0a9ba94
𩺕	U+29E95 (U+29E95)	f0a9ba95
𩺖	U+29E96 (U+29E96)	f0a9ba96
𩺗	U+29E97 (U+29E97)	f0a9ba97
𩺘	U+29E98 (U+29E98)	f0a9ba98
𩺙	U+29E99 (U+29E99)	f0a9ba99
𩺚	U+29E9A (U+29E9A)	f0a9ba9a
𩺛	U+29E9B (U+29E9B)	f0a9ba9b
𩺜	U+29E9C (U+29E9C)	f0a9ba9c
𩺝	U+29E9D (U+29E9D)	f0a9ba9d
𩺞	U+29E9E (U+29E9E)	f0a9ba9e
𩺟	U+29E9F (U+29E9F)	f0a9ba9f
𩺠	U+29EA0 (U+29EA0)	f0a9baa0
𩺡	U+29EA1 (U+29EA1)	f0a9baa1
𩺢	U+29EA2 (U+29EA2)	f0a9baa2
𩺣	U+29EA3 (U+29EA3)	f0a9baa3
𩺤	U+29EA4 (U+29EA4)	f0a9baa4
𩺥	U+29EA5 (U+29EA5)	f0a9baa5
𩺦	U+29EA6 (U+29EA6)	f0a9baa6
𩺧	U+29EA7 (U+29EA7)	f0a9baa7
𩺨	U+29EA8 (U+29EA8)	f0a9baa8
𩺩	U+29EA9 (U+29EA9)	f0a9baa9
𩺪	U+29EAA (U+29EAA)	f0a9baaa
𩺫	U+29EAB (U+29EAB)	f0a9baab
𩺬	U+29EAC (U+29EAC)	f0a9baac
𩺭	U+29EAD (U+29EAD)	f0a9baad
𩺮	U+29EAE (U+29EAE)	f0a9baae
𩺯	U+29EAF (U+29EAF)	f0a9baaf
𩺰	U+29EB0 (U+29EB0)	f0a9bab0
𩺱	U+29EB1 (U+29EB1)	f0a9bab1
𩺲	U+29EB2 (U+29EB2)	f0a9bab2
𩺳	U+29EB3 (U+29EB3)	f0a9bab3
𩺴	U+29EB4 (U+29EB4)	f0a9bab4
𩺵	U+29EB5 (U+29EB5)	f0a9bab5
𩺶	U+29EB6 (U+29EB6)	f0a9bab6
𩺷	U+29EB7 (U+29EB7)	f0a9bab7
𩺸	U+29EB8 (U+29EB8)	f0a9bab8
𩺹	U+29EB9 (U+29EB9)	f0a9bab9
𩺺	U+29EBA (U+29EBA)	f0a9baba
𩺻	U+29EBB (U+29EBB)	f0a9babb
𩺼	U+29EBC (U+29EBC)	f0a9babc
𩺽	U+29EBD (U+29EBD)	f0a9babd
𩺾	U+29EBE (U+29EBE)	f0a9babe
𩺿	U+29EBF (U+29EBF)	f0a9babf
𩻀	U+29EC0 (U+29EC0)	f0a9bb80
𩻁	U+29EC1 (U+29EC1)	f0a9bb81
𩻂	U+29EC2 (U+29EC2)	f0a9bb82
𩻃	U+29EC3 (U+29EC3)	f0a9bb83
𩻄	U+29EC4 (U+29EC4)	f0a9bb84
𩻅	U+29EC5 (U+29EC5)	f0a9bb85
𩻆	U+29EC6 (U+29EC6)	f0a9bb86
𩻇	U+29EC7 (U+29EC7)	f0a9bb87
𩻈	U+29EC8 (U+29EC8)	f0a9bb88
𩻉	U+29EC9 (U+29EC9)	f0a9bb89
𩻊	U+29ECA (U+29ECA)	f0a9bb8a
𩻋	U+29ECB (U+29ECB)	f0a9bb8b
𩻌	U+29ECC (U+29ECC)	f0a9bb8c
𩻍	U+29ECD (U+29ECD)	f0a9bb8d
𩻎	U+29ECE (U+29ECE)	f0a9bb8e
𩻏	U+29ECF (U+29ECF)	f0a9bb8f
𩻐	U+29ED0 (U+29ED0)	f0a9bb90
𩻑	U+29ED1 (U+29ED1)	f0a9bb91
𩻒	U+29ED2 (U+29ED2)	f0a9bb92
𩻓	U+29ED3 (U+29ED3)	f0a9bb93
𩻔	U+29ED4 (U+29ED4)	f0a9bb94
𩻕	U+29ED5 (U+29ED5)	f0a9bb95
𩻖	U+29ED6 (U+29ED6)	f0a9bb96
𩻗	U+29ED7 (U+29ED7)	f0a9bb97
𩻘	U+29ED8 (U+29ED8)	f0a9bb98
𩻙	U+29ED9 (U+29ED9)	f0a9bb99
𩻚	U+29EDA (U+29EDA)	f0a9bb9a
𩻛	U+29EDB (U+29EDB)	f0a9bb9b
𩻜	U+29EDC (U+29EDC)	f0a9bb9c
𩻝	U+29EDD (U+29EDD)	f0a9bb9d
𩻞	U+29EDE (U+29EDE)	f0a9bb9e
𩻟	U+29EDF (U+29EDF)	f0a9bb9f
𩻠	U+29EE0 (U+29EE0)	f0a9bba0
𩻡	U+29EE1 (U+29EE1)	f0a9bba1
𩻢	U+29EE2 (U+29EE2)	f0a9bba2
𩻣	U+29EE3 (U+29EE3)	f0a9bba3
𩻤	U+29EE4 (U+29EE4)	f0a9bba4
𩻥	U+29EE5 (U+29EE5)	f0a9bba5
𩻦	U+29EE6 (U+29EE6)	f0a9bba6
𩻧	U+29EE7 (U+29EE7)	f0a9bba7
𩻨	U+29EE8 (U+29EE8)	f0a9bba8
𩻩	U+29EE9 (U+29EE9)	f0a9bba9
𩻪	U+29EEA (U+29EEA)	f0a9bbaa
𩻫	U+29EEB (U+29EEB)	f0a9bbab
𩻬	U+29EEC (U+29EEC)	f0a9bbac
𩻭	U+29EED (U+29EED)	f0a9bbad
𩻮	U+29EEE (U+29EEE)	f0a9bbae
𩻯	U+29EEF (U+29EEF)	f0a9bbaf
𩻰	U+29EF0 (U+29EF0)	f0a9bbb0
𩻱	U+29EF1 (U+29EF1)	f0a9bbb1
𩻲	U+29EF2 (U+29EF2)	f0a9bbb2
𩻳	U+29EF3 (U+29EF3)	f0a9bbb3
𩻴	U+29EF4 (U+29EF4)	f0a9bbb4
𩻵	U+29EF5 (U+29EF5)	f0a9bbb5
𩻶	U+29EF6 (U+29EF6)	f0a9bbb6
𩻷	U+29EF7 (U+29EF7)	f0a9bbb7
𩻸	U+29EF8 (U+29EF8)	f0a9bbb8
𩻹	U+29EF9 (U+29EF9)	f0a9bbb9
𩻺	U+29EFA (U+29EFA)	f0a9bbba
𩻻	U+29EFB (U+29EFB)	f0a9bbbb
𩻼	U+29EFC (U+29EFC)	f0a9bbbc
𩻽	U+29EFD (U+29EFD)	f0a9bbbd
𩻾	U+29EFE (U+29EFE)	f0a9bbbe
𩻿	U+29EFF (U+29EFF)	f0a9bbbf
𩼀	U+29F00 (U+29F00)	f0a9bc80
𩼁	U+29F01 (U+29F01)	f0a9bc81
𩼂	U+29F02 (U+29F02)	f0a9bc82
𩼃	U+29F03 (U+29F03)	f0a9bc83
𩼄	U+29F04 (U+29F04)	f0a9bc84
𩼅	U+29F05 (U+29F05)	f0a9bc85
𩼆	U+29F06 (U+29F06)	f0a9bc86
𩼇	U+29F07 (U+29F07)	f0a9bc87
𩼈	a variety of perch (U+29F08)	f0a9bc88
𩼉	U+29F09 (U+29F09)	f0a9bc89
𩼊	U+29F0A (U+29F0A)	f0a9bc8a
𩼋	U+29F0B (U+29F0B)	f0a9bc8b
𩼌	U+29F0C (U+29F0C)	f0a9bc8c
𩼍	U+29F0D (U+29F0D)	f0a9bc8d
𩼎	U+29F0E (U+29F0E)	f0a9bc8e
𩼏	U+29F0F (U+29F0F)	f0a9bc8f
𩼐	U+29F10 (U+29F10)	f0a9bc90
𩼑	U+29F11 (U+29F11)	f0a9bc91
𩼒	U+29F12 (U+29F12)	f0a9bc92
𩼓	U+29F13 (U+29F13)	f0a9bc93
𩼔	U+29F14 (U+29F14)	f0a9bc94
𩼕	U+29F15 (U+29F15)	f0a9bc95
𩼖	U+29F16 (U+29F16)	f0a9bc96
𩼗	U+29F17 (U+29F17)	f0a9bc97
𩼘	U+29F18 (U+29F18)	f0a9bc98
𩼙	U+29F19 (U+29F19)	f0a9bc99
𩼚	U+29F1A (U+29F1A)	f0a9bc9a
𩼛	U+29F1B (U+29F1B)	f0a9bc9b
𩼜	U+29F1C (U+29F1C)	f0a9bc9c
𩼝	U+29F1D (U+29F1D)	f0a9bc9d
𩼞	U+29F1E (U+29F1E)	f0a9bc9e
𩼟	U+29F1F (U+29F1F)	f0a9bc9f
𩼠	U+29F20 (U+29F20)	f0a9bca0
𩼡	U+29F21 (U+29F21)	f0a9bca1
𩼢	U+29F22 (U+29F22)	f0a9bca2
𩼣	U+29F23 (U+29F23)	f0a9bca3
𩼤	U+29F24 (U+29F24)	f0a9bca4
𩼥	U+29F25 (U+29F25)	f0a9bca5
𩼦	U+29F26 (U+29F26)	f0a9bca6
𩼧	U+29F27 (U+29F27)	f0a9bca7
𩼨	U+29F28 (U+29F28)	f0a9bca8
𩼩	U+29F29 (U+29F29)	f0a9bca9
𩼪	U+29F2A (U+29F2A)	f0a9bcaa
𩼫	U+29F2B (U+29F2B)	f0a9bcab
𩼬	U+29F2C (U+29F2C)	f0a9bcac
𩼭	U+29F2D (U+29F2D)	f0a9bcad
𩼮	U+29F2E (U+29F2E)	f0a9bcae
𩼯	U+29F2F (U+29F2F)	f0a9bcaf
𩼰	U+29F30 (U+29F30)	f0a9bcb0
𩼱	U+29F31 (U+29F31)	f0a9bcb1
𩼲	U+29F32 (U+29F32)	f0a9bcb2
𩼳	U+29F33 (U+29F33)	f0a9bcb3
𩼴	U+29F34 (U+29F34)	f0a9bcb4
𩼵	U+29F35 (U+29F35)	f0a9bcb5
𩼶	U+29F36 (U+29F36)	f0a9bcb6
𩼷	U+29F37 (U+29F37)	f0a9bcb7
𩼸	U+29F38 (U+29F38)	f0a9bcb8
𩼹	U+29F39 (U+29F39)	f0a9bcb9
𩼺	U+29F3A (U+29F3A)	f0a9bcba
𩼻	U+29F3B (U+29F3B)	f0a9bcbb
𩼼	U+29F3C (U+29F3C)	f0a9bcbc
𩼽	U+29F3D (U+29F3D)	f0a9bcbd
𩼾	U+29F3E (U+29F3E)	f0a9bcbe
𩼿	U+29F3F (U+29F3F)	f0a9bcbf
𩽀	U+29F40 (U+29F40)	f0a9bd80
𩽁	U+29F41 (U+29F41)	f0a9bd81
𩽂	U+29F42 (U+29F42)	f0a9bd82
𩽃	U+29F43 (U+29F43)	f0a9bd83
𩽄	U+29F44 (U+29F44)	f0a9bd84
𩽅	U+29F45 (U+29F45)	f0a9bd85
𩽆	U+29F46 (U+29F46)	f0a9bd86
𩽇	U+29F47 (U+29F47)	f0a9bd87
𩽈	U+29F48 (U+29F48)	f0a9bd88
𩽉	U+29F49 (U+29F49)	f0a9bd89
𩽊	U+29F4A (U+29F4A)	f0a9bd8a
𩽋	U+29F4B (U+29F4B)	f0a9bd8b
𩽌	U+29F4C (U+29F4C)	f0a9bd8c
𩽍	U+29F4D (U+29F4D)	f0a9bd8d
𩽎	U+29F4E (U+29F4E)	f0a9bd8e
𩽏	U+29F4F (U+29F4F)	f0a9bd8f
𩽐	U+29F50 (U+29F50)	f0a9bd90
𩽑	U+29F51 (U+29F51)	f0a9bd91
𩽒	U+29F52 (U+29F52)	f0a9bd92
