NULL (U+0000)	00
𖧏	BAMUM LETTER PHASE-E YEUAET (U+169CF)	f096a78f
𖧐	BAMUM LETTER PHASE-E NGGUP (U+169D0)	f096a790
𖧑	BAMUM LETTER PHASE-E PA PEOPLE (U+169D1)	f096a791
𖧒	BAMUM LETTER PHASE-E FU CALL (U+169D2)	f096a792
𖧓	BAMUM LETTER PHASE-E FOM (U+169D3)	f096a793
𖧔	BAMUM LETTER PHASE-E NJEE (U+169D4)	f096a794
𖧕	BAMUM LETTER PHASE-E A (U+169D5)	f096a795
𖧖	BAMUM LETTER PHASE-E TOQ (U+169D6)	f096a796
𖧗	BAMUM LETTER PHASE-E O (U+169D7)	f096a797
𖧘	BAMUM LETTER PHASE-E I (U+169D8)	f096a798
𖧙	BAMUM LETTER PHASE-E LAQ (U+169D9)	f096a799
𖧚	BAMUM LETTER PHASE-E PA PLURAL (U+169DA)	f096a79a
𖧛	BAMUM LETTER PHASE-E TAA (U+169DB)	f096a79b
𖧜	BAMUM LETTER PHASE-E TAQ (U+169DC)	f096a79c
𖧝	BAMUM LETTER PHASE-E NDAA MY HOUSE (U+169DD)	f096a79d
𖧞	BAMUM LETTER PHASE-E SHIQ (U+169DE)	f096a79e
𖧟	BAMUM LETTER PHASE-E YEUX (U+169DF)	f096a79f
𖧠	BAMUM LETTER PHASE-E NGUAE (U+169E0)	f096a7a0
𖧡	BAMUM LETTER PHASE-E YUAEN (U+169E1)	f096a7a1
𖧢	BAMUM LETTER PHASE-E YOQ SWIMMING (U+169E2)	f096a7a2
𖧣	BAMUM LETTER PHASE-E YOQ COVER (U+169E3)	f096a7a3
𖧤	BAMUM LETTER PHASE-E YUQ (U+169E4)	f096a7a4
𖧥	BAMUM LETTER PHASE-E YUN (U+169E5)	f096a7a5
𖧦	BAMUM LETTER PHASE-E KEUX (U+169E6)	f096a7a6
𖧧	BAMUM LETTER PHASE-E PEUX (U+169E7)	f096a7a7
𖧨	BAMUM LETTER PHASE-E NJEE EPOCH (U+169E8)	f096a7a8
𖧩	BAMUM LETTER PHASE-E PUE (U+169E9)	f096a7a9
𖧪	BAMUM LETTER PHASE-E WUE (U+169EA)	f096a7aa
𖧫	BAMUM LETTER PHASE-E FEE (U+169EB)	f096a7ab
𖧬	BAMUM LETTER PHASE-E VEE (U+169EC)	f096a7ac
𖧭	BAMUM LETTER PHASE-E LU (U+169ED)	f096a7ad
𖧮	BAMUM LETTER PHASE-E MI (U+169EE)	f096a7ae
𖧯	BAMUM LETTER PHASE-E REUX (U+169EF)	f096a7af
𖧰	BAMUM LETTER PHASE-E RAE (U+169F0)	f096a7b0
𖧱	BAMUM LETTER PHASE-E NGUAET (U+169F1)	f096a7b1
𖧲	BAMUM LETTER PHASE-E NGA (U+169F2)	f096a7b2
𖧳	BAMUM LETTER PHASE-E SHO (U+169F3)	f096a7b3
𖧴	BAMUM LETTER PHASE-E SHOQ (U+169F4)	f096a7b4
𖧵	BAMUM LETTER PHASE-E FU REMEDY (U+169F5)	f096a7b5
𖧶	BAMUM LETTER PHASE-E NA (U+169F6)	f096a7b6
𖧷	BAMUM LETTER PHASE-E PI (U+169F7)	f096a7b7
𖧸	BAMUM LETTER PHASE-E LOQ (U+169F8)	f096a7b8
𖧹	BAMUM LETTER PHASE-E KO (U+169F9)	f096a7b9
𖧺	BAMUM LETTER PHASE-E MEN (U+169FA)	f096a7ba
𖧻	BAMUM LETTER PHASE-E MA (U+169FB)	f096a7bb
𖧼	BAMUM LETTER PHASE-E MAQ (U+169FC)	f096a7bc
𖧽	BAMUM LETTER PHASE-E TEU (U+169FD)	f096a7bd
𖧾	BAMUM LETTER PHASE-E KI (U+169FE)	f096a7be
𖧿	BAMUM LETTER PHASE-E MON (U+169FF)	f096a7bf
𖨀	BAMUM LETTER PHASE-E TEN (U+16A00)	f096a880
𖨁	BAMUM LETTER PHASE-E FAQ (U+16A01)	f096a881
𖨂	BAMUM LETTER PHASE-E GHOM (U+16A02)	f096a882
𖨃	BAMUM LETTER PHASE-F KA (U+16A03)	f096a883
𖨄	BAMUM LETTER PHASE-F U (U+16A04)	f096a884
𖨅	BAMUM LETTER PHASE-F KU (U+16A05)	f096a885
𖨆	BAMUM LETTER PHASE-F EE (U+16A06)	f096a886
𖨇	BAMUM LETTER PHASE-F REE (U+16A07)	f096a887
𖨈	BAMUM LETTER PHASE-F TAE (U+16A08)	f096a888
𖨉	BAMUM LETTER PHASE-F NYI (U+16A09)	f096a889
𖨊	BAMUM LETTER PHASE-F LA (U+16A0A)	f096a88a
𖨋	BAMUM LETTER PHASE-F RII (U+16A0B)	f096a88b
𖨌	BAMUM LETTER PHASE-F RIEE (U+16A0C)	f096a88c
𖨍	BAMUM LETTER PHASE-F MEEEE (U+16A0D)	f096a88d
𖨎	BAMUM LETTER PHASE-F TAA (U+16A0E)	f096a88e
𖨏	BAMUM LETTER PHASE-F NDAA (U+16A0F)	f096a88f
𖨐	BAMUM LETTER PHASE-F NJAEM (U+16A10)	f096a890
𖨑	BAMUM LETTER PHASE-F M (U+16A11)	f096a891
𖨒	BAMUM LETTER PHASE-F SUU (U+16A12)	f096a892
𖨓	BAMUM LETTER PHASE-F SHII (U+16A13)	f096a893
𖨔	BAMUM LETTER PHASE-F SI (U+16A14)	f096a894
𖨕	BAMUM LETTER PHASE-F SEUX (U+16A15)	f096a895
𖨖	BAMUM LETTER PHASE-F KYEE (U+16A16)	f096a896
𖨗	BAMUM LETTER PHASE-F KET (U+16A17)	f096a897
𖨘	BAMUM LETTER PHASE-F NUAE (U+16A18)	f096a898
𖨙	BAMUM LETTER PHASE-F NU (U+16A19)	f096a899
𖨚	BAMUM LETTER PHASE-F NJUAE (U+16A1A)	f096a89a
𖨛	BAMUM LETTER PHASE-F YOQ (U+16A1B)	f096a89b
𖨜	BAMUM LETTER PHASE-F SHU (U+16A1C)	f096a89c
𖨝	BAMUM LETTER PHASE-F YA (U+16A1D)	f096a89d
𖨞	BAMUM LETTER PHASE-F NSHA (U+16A1E)	f096a89e
𖨟	BAMUM LETTER PHASE-F PEUX (U+16A1F)	f096a89f
𖨠	BAMUM LETTER PHASE-F NTEE (U+16A20)	f096a8a0
𖨡	BAMUM LETTER PHASE-F WUE (U+16A21)	f096a8a1
𖨢	BAMUM LETTER PHASE-F PEE (U+16A22)	f096a8a2
𖨣	BAMUM LETTER PHASE-F RU (U+16A23)	f096a8a3
𖨤	BAMUM LETTER PHASE-F NI (U+16A24)	f096a8a4
𖨥	BAMUM LETTER PHASE-F REUX (U+16A25)	f096a8a5
𖨦	BAMUM LETTER PHASE-F KEN (U+16A26)	f096a8a6
𖨧	BAMUM LETTER PHASE-F NGKWAEN (U+16A27)	f096a8a7
𖨨	BAMUM LETTER PHASE-F NGGA (U+16A28)	f096a8a8
𖨩	BAMUM LETTER PHASE-F SHO (U+16A29)	f096a8a9
𖨪	BAMUM LETTER PHASE-F PUAE (U+16A2A)	f096a8aa
𖨫	BAMUM LETTER PHASE-F FOM (U+16A2B)	f096a8ab
𖨬	BAMUM LETTER PHASE-F WA (U+16A2C)	f096a8ac
𖨭	BAMUM LETTER PHASE-F LI (U+16A2D)	f096a8ad
𖨮	BAMUM LETTER PHASE-F LOQ (U+16A2E)	f096a8ae
𖨯	BAMUM LETTER PHASE-F KO (U+16A2F)	f096a8af
𖨰	BAMUM LETTER PHASE-F MBEN (U+16A30)	f096a8b0
𖨱	BAMUM LETTER PHASE-F REN (U+16A31)	f096a8b1
𖨲	BAMUM LETTER PHASE-F MA (U+16A32)	f096a8b2
𖨳	BAMUM LETTER PHASE-F MO (U+16A33)	f096a8b3
𖨴	BAMUM LETTER PHASE-F MBAA (U+16A34)	f096a8b4
𖨵	BAMUM LETTER PHASE-F TET (U+16A35)	f096a8b5
𖨶	BAMUM LETTER PHASE-F KPA (U+16A36)	f096a8b6
𖨷	BAMUM LETTER PHASE-F SAMBA (U+16A37)	f096a8b7
𖨸	BAMUM LETTER PHASE-F VUEQ (U+16A38)	f096a8b8
𛀀	KATAKANA LETTER ARCHAIC E (U+1B000)	f09b8080
𛀁	HIRAGANA LETTER ARCHAIC YE (U+1B001)	f09b8081
𝀀	BYZANTINE MUSICAL SYMBOL PSILI (U+1D000)	f09d8080
𝀁	BYZANTINE MUSICAL SYMBOL DASEIA (U+1D001)	f09d8081
𝀂	BYZANTINE MUSICAL SYMBOL PERISPOMENI (U+1D002)	f09d8082
𝀃	BYZANTINE MUSICAL SYMBOL OXEIA EKFONITIKON (U+1D003)	f09d8083
𝀄	BYZANTINE MUSICAL SYMBOL OXEIA DIPLI (U+1D004)	f09d8084
𝀅	BYZANTINE MUSICAL SYMBOL VAREIA EKFONITIKON (U+1D005)	f09d8085
𝀆	BYZANTINE MUSICAL SYMBOL VAREIA DIPLI (U+1D006)	f09d8086
𝀇	BYZANTINE MUSICAL SYMBOL KATHISTI (U+1D007)	f09d8087
𝀈	BYZANTINE MUSICAL SYMBOL SYRMATIKI (U+1D008)	f09d8088
𝀉	BYZANTINE MUSICAL SYMBOL PARAKLITIKI (U+1D009)	f09d8089
𝀊	BYZANTINE MUSICAL SYMBOL YPOKRISIS (U+1D00A)	f09d808a
𝀋	BYZANTINE MUSICAL SYMBOL YPOKRISIS DIPLI (U+1D00B)	f09d808b
𝀌	BYZANTINE MUSICAL SYMBOL KREMASTI (U+1D00C)	f09d808c
𝀍	BYZANTINE MUSICAL SYMBOL APESO EKFONITIKON (U+1D00D)	f09d808d
𝀎	BYZANTINE MUSICAL SYMBOL EXO EKFONITIKON (U+1D00E)	f09d808e
𝀏	BYZANTINE MUSICAL SYMBOL TELEIA (U+1D00F)	f09d808f
𝀐	BYZANTINE MUSICAL SYMBOL KENTIMATA (U+1D010)	f09d8090
𝀑	BYZANTINE MUSICAL SYMBOL APOSTROFOS (U+1D011)	f09d8091
𝀒	BYZANTINE MUSICAL SYMBOL APOSTROFOS DIPLI (U+1D012)	f09d8092
𝀓	BYZANTINE MUSICAL SYMBOL SYNEVMA (U+1D013)	f09d8093
𝀔	BYZANTINE MUSICAL SYMBOL THITA (U+1D014)	f09d8094
𝀕	BYZANTINE MUSICAL SYMBOL OLIGON ARCHAION (U+1D015)	f09d8095
𝀖	BYZANTINE MUSICAL SYMBOL GORGON ARCHAION (U+1D016)	f09d8096
𝀗	BYZANTINE MUSICAL SYMBOL PSILON (U+1D017)	f09d8097
𝀘	BYZANTINE MUSICAL SYMBOL CHAMILON (U+1D018)	f09d8098
𝀙	BYZANTINE MUSICAL SYMBOL VATHY (U+1D019)	f09d8099
𝀚	BYZANTINE MUSICAL SYMBOL ISON ARCHAION (U+1D01A)	f09d809a
𝀛	BYZANTINE MUSICAL SYMBOL KENTIMA ARCHAION (U+1D01B)	f09d809b
𝀜	BYZANTINE MUSICAL SYMBOL KENTIMATA ARCHAION (U+1D01C)	f09d809c
𝀝	BYZANTINE MUSICAL SYMBOL SAXIMATA (U+1D01D)	f09d809d
𝀞	BYZANTINE MUSICAL SYMBOL PARICHON (U+1D01E)	f09d809e
𝀟	BYZANTINE MUSICAL SYMBOL STAVROS APODEXIA (U+1D01F)	f09d809f
𝀠	BYZANTINE MUSICAL SYMBOL OXEIAI ARCHAION (U+1D020)	f09d80a0
𝀡	BYZANTINE MUSICAL SYMBOL VAREIAI ARCHAION (U+1D021)	f09d80a1
𝀢	BYZANTINE MUSICAL SYMBOL APODERMA ARCHAION (U+1D022)	f09d80a2
𝀣	BYZANTINE MUSICAL SYMBOL APOTHEMA (U+1D023)	f09d80a3
𝀤	BYZANTINE MUSICAL SYMBOL KLASMA (U+1D024)	f09d80a4
𝀥	BYZANTINE MUSICAL SYMBOL REVMA (U+1D025)	f09d80a5
𝀦	BYZANTINE MUSICAL SYMBOL PIASMA ARCHAION (U+1D026)	f09d80a6
𝀧	BYZANTINE MUSICAL SYMBOL TINAGMA (U+1D027)	f09d80a7
𝀨	BYZANTINE MUSICAL SYMBOL ANATRICHISMA (U+1D028)	f09d80a8
𝀩	BYZANTINE MUSICAL SYMBOL SEISMA (U+1D029)	f09d80a9
𝀪	BYZANTINE MUSICAL SYMBOL SYNAGMA ARCHAION (U+1D02A)	f09d80aa
𝀫	BYZANTINE MUSICAL SYMBOL SYNAGMA META STAVROU (U+1D02B)	f09d80ab
𝀬	BYZANTINE MUSICAL SYMBOL OYRANISMA ARCHAION (U+1D02C)	f09d80ac
𝀭	BYZANTINE MUSICAL SYMBOL THEMA (U+1D02D)	f09d80ad
𝀮	BYZANTINE MUSICAL SYMBOL LEMOI (U+1D02E)	f09d80ae
𝀯	BYZANTINE MUSICAL SYMBOL DYO (U+1D02F)	f09d80af
𝀰	BYZANTINE MUSICAL SYMBOL TRIA (U+1D030)	f09d80b0
𝀱	BYZANTINE MUSICAL SYMBOL TESSERA (U+1D031)	f09d80b1
𝀲	BYZANTINE MUSICAL SYMBOL KRATIMATA (U+1D032)	f09d80b2
𝀳	BYZANTINE MUSICAL SYMBOL APESO EXO NEO (U+1D033)	f09d80b3
𝀴	BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION (U+1D034)	f09d80b4
𝀵	BYZANTINE MUSICAL SYMBOL IMIFTHORA (U+1D035)	f09d80b5
𝀶	BYZANTINE MUSICAL SYMBOL TROMIKON ARCHAION (U+1D036)	f09d80b6
𝀷	BYZANTINE MUSICAL SYMBOL KATAVA TROMIKON (U+1D037)	f09d80b7
𝀸	BYZANTINE MUSICAL SYMBOL PELASTON (U+1D038)	f09d80b8
𝀹	BYZANTINE MUSICAL SYMBOL PSIFISTON (U+1D039)	f09d80b9
𝀺	BYZANTINE MUSICAL SYMBOL KONTEVMA (U+1D03A)	f09d80ba
𝀻	BYZANTINE MUSICAL SYMBOL CHOREVMA ARCHAION (U+1D03B)	f09d80bb
𝀼	BYZANTINE MUSICAL SYMBOL RAPISMA (U+1D03C)	f09d80bc
𝀽	BYZANTINE MUSICAL SYMBOL PARAKALESMA ARCHAION (U+1D03D)	f09d80bd
𝀾	BYZANTINE MUSICAL SYMBOL PARAKLITIKI ARCHAION (U+1D03E)	f09d80be
𝀿	BYZANTINE MUSICAL SYMBOL ICHADIN (U+1D03F)	f09d80bf
𝁀	BYZANTINE MUSICAL SYMBOL NANA (U+1D040)	f09d8180
𝁁	BYZANTINE MUSICAL SYMBOL PETASMA (U+1D041)	f09d8181
𝁂	BYZANTINE MUSICAL SYMBOL KONTEVMA ALLO (U+1D042)	f09d8182
𝁃	BYZANTINE MUSICAL SYMBOL TROMIKON ALLO (U+1D043)	f09d8183
𝁄	BYZANTINE MUSICAL SYMBOL STRAGGISMATA (U+1D044)	f09d8184
𝁅	BYZANTINE MUSICAL SYMBOL GRONTHISMATA (U+1D045)	f09d8185
𝁆	BYZANTINE MUSICAL SYMBOL ISON NEO (U+1D046)	f09d8186
𝁇	BYZANTINE MUSICAL SYMBOL OLIGON NEO (U+1D047)	f09d8187
𝁈	BYZANTINE MUSICAL SYMBOL OXEIA NEO (U+1D048)	f09d8188
𝁉	BYZANTINE MUSICAL SYMBOL PETASTI (U+1D049)	f09d8189
𝁊	BYZANTINE MUSICAL SYMBOL KOUFISMA (U+1D04A)	f09d818a
𝁋	BYZANTINE MUSICAL SYMBOL PETASTOKOUFISMA (U+1D04B)	f09d818b
𝁌	BYZANTINE MUSICAL SYMBOL KRATIMOKOUFISMA (U+1D04C)	f09d818c
𝁍	BYZANTINE MUSICAL SYMBOL PELASTON NEO (U+1D04D)	f09d818d
𝁎	BYZANTINE MUSICAL SYMBOL KENTIMATA NEO ANO (U+1D04E)	f09d818e
𝁏	BYZANTINE MUSICAL SYMBOL KENTIMA NEO ANO (U+1D04F)	f09d818f
𝁐	BYZANTINE MUSICAL SYMBOL YPSILI (U+1D050)	f09d8190
𝁑	BYZANTINE MUSICAL SYMBOL APOSTROFOS NEO (U+1D051)	f09d8191
𝁒	BYZANTINE MUSICAL SYMBOL APOSTROFOI SYNDESMOS NEO (U+1D052)	f09d8192
𝁓	BYZANTINE MUSICAL SYMBOL YPORROI (U+1D053)	f09d8193
𝁔	BYZANTINE MUSICAL SYMBOL KRATIMOYPORROON (U+1D054)	f09d8194
𝁕	BYZANTINE MUSICAL SYMBOL ELAFRON (U+1D055)	f09d8195
𝁖	BYZANTINE MUSICAL SYMBOL CHAMILI (U+1D056)	f09d8196
𝁗	BYZANTINE MUSICAL SYMBOL MIKRON ISON (U+1D057)	f09d8197
𝁘	BYZANTINE MUSICAL SYMBOL VAREIA NEO (U+1D058)	f09d8198
𝁙	BYZANTINE MUSICAL SYMBOL PIASMA NEO (U+1D059)	f09d8199
𝁚	BYZANTINE MUSICAL SYMBOL PSIFISTON NEO (U+1D05A)	f09d819a
𝁛	BYZANTINE MUSICAL SYMBOL OMALON (U+1D05B)	f09d819b
𝁜	BYZANTINE MUSICAL SYMBOL ANTIKENOMA (U+1D05C)	f09d819c
𝁝	BYZANTINE MUSICAL SYMBOL LYGISMA (U+1D05D)	f09d819d
𝁞	BYZANTINE MUSICAL SYMBOL PARAKLITIKI NEO (U+1D05E)	f09d819e
𝁟	BYZANTINE MUSICAL SYMBOL PARAKALESMA NEO (U+1D05F)	f09d819f
𝁠	BYZANTINE MUSICAL SYMBOL ETERON PARAKALESMA (U+1D060)	f09d81a0
𝁡	BYZANTINE MUSICAL SYMBOL KYLISMA (U+1D061)	f09d81a1
𝁢	BYZANTINE MUSICAL SYMBOL ANTIKENOKYLISMA (U+1D062)	f09d81a2
𝁣	BYZANTINE MUSICAL SYMBOL TROMIKON NEO (U+1D063)	f09d81a3
𝁤	BYZANTINE MUSICAL SYMBOL EKSTREPTON (U+1D064)	f09d81a4
𝁥	BYZANTINE MUSICAL SYMBOL SYNAGMA NEO (U+1D065)	f09d81a5
𝁦	BYZANTINE MUSICAL SYMBOL SYRMA (U+1D066)	f09d81a6
𝁧	BYZANTINE MUSICAL SYMBOL CHOREVMA NEO (U+1D067)	f09d81a7
𝁨	BYZANTINE MUSICAL SYMBOL EPEGERMA (U+1D068)	f09d81a8
𝁩	BYZANTINE MUSICAL SYMBOL SEISMA NEO (U+1D069)	f09d81a9
𝁪	BYZANTINE MUSICAL SYMBOL XIRON KLASMA (U+1D06A)	f09d81aa
𝁫	BYZANTINE MUSICAL SYMBOL TROMIKOPSIFISTON (U+1D06B)	f09d81ab
𝁬	BYZANTINE MUSICAL SYMBOL PSIFISTOLYGISMA (U+1D06C)	f09d81ac
𝁭	BYZANTINE MUSICAL SYMBOL TROMIKOLYGISMA (U+1D06D)	f09d81ad
𝁮	BYZANTINE MUSICAL SYMBOL TROMIKOPARAKALESMA (U+1D06E)	f09d81ae
𝁯	BYZANTINE MUSICAL SYMBOL PSIFISTOPARAKALESMA (U+1D06F)	f09d81af
𝁰	BYZANTINE MUSICAL SYMBOL TROMIKOSYNAGMA (U+1D070)	f09d81b0
𝁱	BYZANTINE MUSICAL SYMBOL PSIFISTOSYNAGMA (U+1D071)	f09d81b1
𝁲	BYZANTINE MUSICAL SYMBOL GORGOSYNTHETON (U+1D072)	f09d81b2
𝁳	BYZANTINE MUSICAL SYMBOL ARGOSYNTHETON (U+1D073)	f09d81b3
𝁴	BYZANTINE MUSICAL SYMBOL ETERON ARGOSYNTHETON (U+1D074)	f09d81b4
𝁵	BYZANTINE MUSICAL SYMBOL OYRANISMA NEO (U+1D075)	f09d81b5
𝁶	BYZANTINE MUSICAL SYMBOL THEMATISMOS ESO (U+1D076)	f09d81b6
𝁷	BYZANTINE MUSICAL SYMBOL THEMATISMOS EXO (U+1D077)	f09d81b7
𝁸	BYZANTINE MUSICAL SYMBOL THEMA APLOUN (U+1D078)	f09d81b8
𝁹	BYZANTINE MUSICAL SYMBOL THES KAI APOTHES (U+1D079)	f09d81b9
𝁺	BYZANTINE MUSICAL SYMBOL KATAVASMA (U+1D07A)	f09d81ba
𝁻	BYZANTINE MUSICAL SYMBOL ENDOFONON (U+1D07B)	f09d81bb
𝁼	BYZANTINE MUSICAL SYMBOL YFEN KATO (U+1D07C)	f09d81bc
𝁽	BYZANTINE MUSICAL SYMBOL YFEN ANO (U+1D07D)	f09d81bd
𝁾	BYZANTINE MUSICAL SYMBOL STAVROS (U+1D07E)	f09d81be
𝁿	BYZANTINE MUSICAL SYMBOL KLASMA ANO (U+1D07F)	f09d81bf
𝂀	BYZANTINE MUSICAL SYMBOL DIPLI ARCHAION (U+1D080)	f09d8280
𝂁	BYZANTINE MUSICAL SYMBOL KRATIMA ARCHAION (U+1D081)	f09d8281
𝂂	BYZANTINE MUSICAL SYMBOL KRATIMA ALLO (U+1D082)	f09d8282
𝂃	BYZANTINE MUSICAL SYMBOL KRATIMA NEO (U+1D083)	f09d8283
𝂄	BYZANTINE MUSICAL SYMBOL APODERMA NEO (U+1D084)	f09d8284
𝂅	BYZANTINE MUSICAL SYMBOL APLI (U+1D085)	f09d8285
𝂆	BYZANTINE MUSICAL SYMBOL DIPLI (U+1D086)	f09d8286
𝂇	BYZANTINE MUSICAL SYMBOL TRIPLI (U+1D087)	f09d8287
𝂈	BYZANTINE MUSICAL SYMBOL TETRAPLI (U+1D088)	f09d8288
𝂉	BYZANTINE MUSICAL SYMBOL KORONIS (U+1D089)	f09d8289
𝂊	BYZANTINE MUSICAL SYMBOL LEIMMA ENOS CHRONOU (U+1D08A)	f09d828a
𝂋	BYZANTINE MUSICAL SYMBOL LEIMMA DYO CHRONON (U+1D08B)	f09d828b
𝂌	BYZANTINE MUSICAL SYMBOL LEIMMA TRION CHRONON (U+1D08C)	f09d828c
𝂍	BYZANTINE MUSICAL SYMBOL LEIMMA TESSARON CHRONON (U+1D08D)	f09d828d
𝂎	BYZANTINE MUSICAL SYMBOL LEIMMA IMISEOS CHRONOU (U+1D08E)	f09d828e
𝂏	BYZANTINE MUSICAL SYMBOL GORGON NEO ANO (U+1D08F)	f09d828f
𝂐	BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON ARISTERA (U+1D090)	f09d8290
𝂑	BYZANTINE MUSICAL SYMBOL GORGON PARESTIGMENON DEXIA (U+1D091)	f09d8291
𝂒	BYZANTINE MUSICAL SYMBOL DIGORGON (U+1D092)	f09d8292
𝂓	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA KATO (U+1D093)	f09d8293
𝂔	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON ARISTERA ANO (U+1D094)	f09d8294
𝂕	BYZANTINE MUSICAL SYMBOL DIGORGON PARESTIGMENON DEXIA (U+1D095)	f09d8295
𝂖	BYZANTINE MUSICAL SYMBOL TRIGORGON (U+1D096)	f09d8296
𝂗	BYZANTINE MUSICAL SYMBOL ARGON (U+1D097)	f09d8297
𝂘	BYZANTINE MUSICAL SYMBOL IMIDIARGON (U+1D098)	f09d8298
𝂙	BYZANTINE MUSICAL SYMBOL DIARGON (U+1D099)	f09d8299
𝂚	BYZANTINE MUSICAL SYMBOL AGOGI POLI ARGI (U+1D09A)	f09d829a
𝂛	BYZANTINE MUSICAL SYMBOL AGOGI ARGOTERI (U+1D09B)	f09d829b
𝂜	BYZANTINE MUSICAL SYMBOL AGOGI ARGI (U+1D09C)	f09d829c
𝂝	BYZANTINE MUSICAL SYMBOL AGOGI METRIA (U+1D09D)	f09d829d
𝂞	BYZANTINE MUSICAL SYMBOL AGOGI MESI (U+1D09E)	f09d829e
𝂟	BYZANTINE MUSICAL SYMBOL AGOGI GORGI (U+1D09F)	f09d829f
𝂠	BYZANTINE MUSICAL SYMBOL AGOGI GORGOTERI (U+1D0A0)	f09d82a0
𝂡	BYZANTINE MUSICAL SYMBOL AGOGI POLI GORGI (U+1D0A1)	f09d82a1
𝂢	BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOS ICHOS (U+1D0A2)	f09d82a2
𝂣	BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI PROTOS ICHOS (U+1D0A3)	f09d82a3
𝂤	BYZANTINE MUSICAL SYMBOL MARTYRIA DEYTEROS ICHOS (U+1D0A4)	f09d82a4
𝂥	BYZANTINE MUSICAL SYMBOL MARTYRIA ALLI DEYTEROS ICHOS (U+1D0A5)	f09d82a5
𝂦	BYZANTINE MUSICAL SYMBOL MARTYRIA TRITOS ICHOS (U+1D0A6)	f09d82a6
𝂧	BYZANTINE MUSICAL SYMBOL MARTYRIA TRIFONIAS (U+1D0A7)	f09d82a7
𝂨	BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS ICHOS (U+1D0A8)	f09d82a8
𝂩	BYZANTINE MUSICAL SYMBOL MARTYRIA TETARTOS LEGETOS ICHOS (U+1D0A9)	f09d82a9
𝂪	BYZANTINE MUSICAL SYMBOL MARTYRIA LEGETOS ICHOS (U+1D0AA)	f09d82aa
𝂫	BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS ICHOS (U+1D0AB)	f09d82ab
𝂬	BYZANTINE MUSICAL SYMBOL ISAKIA TELOUS ICHIMATOS (U+1D0AC)	f09d82ac
𝂭	BYZANTINE MUSICAL SYMBOL APOSTROFOI TELOUS ICHIMATOS (U+1D0AD)	f09d82ad
𝂮	BYZANTINE MUSICAL SYMBOL FANEROSIS TETRAFONIAS (U+1D0AE)	f09d82ae
𝂯	BYZANTINE MUSICAL SYMBOL FANEROSIS MONOFONIAS (U+1D0AF)	f09d82af
𝂰	BYZANTINE MUSICAL SYMBOL FANEROSIS DIFONIAS (U+1D0B0)	f09d82b0
𝂱	BYZANTINE MUSICAL SYMBOL MARTYRIA VARYS ICHOS (U+1D0B1)	f09d82b1
𝂲	BYZANTINE MUSICAL SYMBOL MARTYRIA PROTOVARYS ICHOS (U+1D0B2)	f09d82b2
𝂳	BYZANTINE MUSICAL SYMBOL MARTYRIA PLAGIOS TETARTOS ICHOS (U+1D0B3)	f09d82b3
𝂴	BYZANTINE MUSICAL SYMBOL GORTHMIKON N APLOUN (U+1D0B4)	f09d82b4
𝂵	BYZANTINE MUSICAL SYMBOL GORTHMIKON N DIPLOUN (U+1D0B5)	f09d82b5
𝂶	BYZANTINE MUSICAL SYMBOL ENARXIS KAI FTHORA VOU (U+1D0B6)	f09d82b6
𝂷	BYZANTINE MUSICAL SYMBOL IMIFONON (U+1D0B7)	f09d82b7
𝂸	BYZANTINE MUSICAL SYMBOL IMIFTHORON (U+1D0B8)	f09d82b8
𝂹	BYZANTINE MUSICAL SYMBOL FTHORA ARCHAION DEYTEROU ICHOU (U+1D0B9)	f09d82b9
𝂺	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI PA (U+1D0BA)	f09d82ba
𝂻	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NANA (U+1D0BB)	f09d82bb
𝂼	BYZANTINE MUSICAL SYMBOL FTHORA NAOS ICHOS (U+1D0BC)	f09d82bc
𝂽	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI DI (U+1D0BD)	f09d82bd
𝂾	BYZANTINE MUSICAL SYMBOL FTHORA SKLIRON DIATONON DI (U+1D0BE)	f09d82be
𝂿	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI KE (U+1D0BF)	f09d82bf
𝃀	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI ZO (U+1D0C0)	f09d8380
𝃁	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI KATO (U+1D0C1)	f09d8381
𝃂	BYZANTINE MUSICAL SYMBOL FTHORA DIATONIKI NI ANO (U+1D0C2)	f09d8382
𝃃	BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA DIFONIAS (U+1D0C3)	f09d8383
𝃄	BYZANTINE MUSICAL SYMBOL FTHORA MALAKON CHROMA MONOFONIAS (U+1D0C4)	f09d8384
