𩽯	U+29F6F (U+29F6F)	f0a9bdaf
𪅣	U+2A163 (U+2A163)	f0aa85a3
𪅤	U+2A164 (U+2A164)	f0aa85a4
𪅥	U+2A165 (U+2A165)	f0aa85a5
𪅦	U+2A166 (U+2A166)	f0aa85a6
𪅧	U+2A167 (U+2A167)	f0aa85a7
𪅨	U+2A168 (U+2A168)	f0aa85a8
𪅩	U+2A169 (U+2A169)	f0aa85a9
𪅪	U+2A16A (U+2A16A)	f0aa85aa
𪅫	U+2A16B (U+2A16B)	f0aa85ab
𪅬	U+2A16C (U+2A16C)	f0aa85ac
𪅭	U+2A16D (U+2A16D)	f0aa85ad
𪅮	U+2A16E (U+2A16E)	f0aa85ae
𪅯	U+2A16F (U+2A16F)	f0aa85af
𪅰	U+2A170 (U+2A170)	f0aa85b0
𪅱	U+2A171 (U+2A171)	f0aa85b1
𪅲	U+2A172 (U+2A172)	f0aa85b2
𪅳	U+2A173 (U+2A173)	f0aa85b3
𪅴	U+2A174 (U+2A174)	f0aa85b4
𪅵	U+2A175 (U+2A175)	f0aa85b5
𪅶	U+2A176 (U+2A176)	f0aa85b6
𪅷	U+2A177 (U+2A177)	f0aa85b7
𪅸	U+2A178 (U+2A178)	f0aa85b8
𪅹	U+2A179 (U+2A179)	f0aa85b9
𪅺	U+2A17A (U+2A17A)	f0aa85ba
𪅻	U+2A17B (U+2A17B)	f0aa85bb
𪅼	U+2A17C (U+2A17C)	f0aa85bc
𪅽	U+2A17D (U+2A17D)	f0aa85bd
𪅾	U+2A17E (U+2A17E)	f0aa85be
𪅿	U+2A17F (U+2A17F)	f0aa85bf
𪆀	U+2A180 (U+2A180)	f0aa8680
𪆁	U+2A181 (U+2A181)	f0aa8681
𪆂	U+2A182 (U+2A182)	f0aa8682
𪆃	U+2A183 (U+2A183)	f0aa8683
𪆄	U+2A184 (U+2A184)	f0aa8684
𪆅	U+2A185 (U+2A185)	f0aa8685
𪆆	U+2A186 (U+2A186)	f0aa8686
𪆇	U+2A187 (U+2A187)	f0aa8687
𪆈	U+2A188 (U+2A188)	f0aa8688
𪆉	U+2A189 (U+2A189)	f0aa8689
𪆊	U+2A18A (U+2A18A)	f0aa868a
𪆋	U+2A18B (U+2A18B)	f0aa868b
𪆌	U+2A18C (U+2A18C)	f0aa868c
𪆍	U+2A18D (U+2A18D)	f0aa868d
𪆎	U+2A18E (U+2A18E)	f0aa868e
𪆏	U+2A18F (U+2A18F)	f0aa868f
𪆐	U+2A190 (U+2A190)	f0aa8690
𪆑	U+2A191 (U+2A191)	f0aa8691
𪆒	U+2A192 (U+2A192)	f0aa8692
𪆓	U+2A193 (U+2A193)	f0aa8693
𪆔	U+2A194 (U+2A194)	f0aa8694
𪆕	U+2A195 (U+2A195)	f0aa8695
𪆖	U+2A196 (U+2A196)	f0aa8696
𪆗	U+2A197 (U+2A197)	f0aa8697
𪆘	U+2A198 (U+2A198)	f0aa8698
𪆙	U+2A199 (U+2A199)	f0aa8699
𪆚	U+2A19A (U+2A19A)	f0aa869a
𪆛	U+2A19B (U+2A19B)	f0aa869b
𪆜	U+2A19C (U+2A19C)	f0aa869c
𪆝	U+2A19D (U+2A19D)	f0aa869d
𪆞	U+2A19E (U+2A19E)	f0aa869e
𪆟	U+2A19F (U+2A19F)	f0aa869f
𪆠	U+2A1A0 (U+2A1A0)	f0aa86a0
𪆡	U+2A1A1 (U+2A1A1)	f0aa86a1
𪆢	U+2A1A2 (U+2A1A2)	f0aa86a2
𪆣	U+2A1A3 (U+2A1A3)	f0aa86a3
𪆤	U+2A1A4 (U+2A1A4)	f0aa86a4
𪆥	U+2A1A5 (U+2A1A5)	f0aa86a5
𪆦	U+2A1A6 (U+2A1A6)	f0aa86a6
𪆧	U+2A1A7 (U+2A1A7)	f0aa86a7
𪆨	U+2A1A8 (U+2A1A8)	f0aa86a8
𪆩	U+2A1A9 (U+2A1A9)	f0aa86a9
𪆪	U+2A1AA (U+2A1AA)	f0aa86aa
𪆫	U+2A1AB (U+2A1AB)	f0aa86ab
𪆬	U+2A1AC (U+2A1AC)	f0aa86ac
𪆭	U+2A1AD (U+2A1AD)	f0aa86ad
𪆮	U+2A1AE (U+2A1AE)	f0aa86ae
𪆯	U+2A1AF (U+2A1AF)	f0aa86af
𪆰	U+2A1B0 (U+2A1B0)	f0aa86b0
𪆱	U+2A1B1 (U+2A1B1)	f0aa86b1
𪆲	U+2A1B2 (U+2A1B2)	f0aa86b2
𪆳	U+2A1B3 (U+2A1B3)	f0aa86b3
𪆴	U+2A1B4 (U+2A1B4)	f0aa86b4
𪆵	U+2A1B5 (U+2A1B5)	f0aa86b5
𪆶	U+2A1B6 (U+2A1B6)	f0aa86b6
𪆷	U+2A1B7 (U+2A1B7)	f0aa86b7
𪆸	U+2A1B8 (U+2A1B8)	f0aa86b8
𪆹	U+2A1B9 (U+2A1B9)	f0aa86b9
𪆺	U+2A1BA (U+2A1BA)	f0aa86ba
𪆻	U+2A1BB (U+2A1BB)	f0aa86bb
𪆼	U+2A1BC (U+2A1BC)	f0aa86bc
𪆽	U+2A1BD (U+2A1BD)	f0aa86bd
𪆾	U+2A1BE (U+2A1BE)	f0aa86be
𪆿	U+2A1BF (U+2A1BF)	f0aa86bf
𪇀	U+2A1C0 (U+2A1C0)	f0aa8780
𪇁	U+2A1C1 (U+2A1C1)	f0aa8781
𪇂	U+2A1C2 (U+2A1C2)	f0aa8782
𪇃	U+2A1C3 (U+2A1C3)	f0aa8783
𪇄	U+2A1C4 (U+2A1C4)	f0aa8784
𪇅	U+2A1C5 (U+2A1C5)	f0aa8785
𪇆	U+2A1C6 (U+2A1C6)	f0aa8786
𪇇	U+2A1C7 (U+2A1C7)	f0aa8787
𪇈	U+2A1C8 (U+2A1C8)	f0aa8788
𪇉	U+2A1C9 (U+2A1C9)	f0aa8789
𪇊	U+2A1CA (U+2A1CA)	f0aa878a
𪇋	U+2A1CB (U+2A1CB)	f0aa878b
𪇌	U+2A1CC (U+2A1CC)	f0aa878c
𪇍	U+2A1CD (U+2A1CD)	f0aa878d
𪇎	U+2A1CE (U+2A1CE)	f0aa878e
𪇏	U+2A1CF (U+2A1CF)	f0aa878f
𪇐	U+2A1D0 (U+2A1D0)	f0aa8790
𪇑	U+2A1D1 (U+2A1D1)	f0aa8791
𪇒	U+2A1D2 (U+2A1D2)	f0aa8792
𪇓	U+2A1D3 (U+2A1D3)	f0aa8793
𪇔	U+2A1D4 (U+2A1D4)	f0aa8794
𪇕	U+2A1D5 (U+2A1D5)	f0aa8795
𪇖	U+2A1D6 (U+2A1D6)	f0aa8796
𪇗	U+2A1D7 (U+2A1D7)	f0aa8797
𪇘	U+2A1D8 (U+2A1D8)	f0aa8798
𪇙	U+2A1D9 (U+2A1D9)	f0aa8799
𪇚	U+2A1DA (U+2A1DA)	f0aa879a
𪇛	U+2A1DB (U+2A1DB)	f0aa879b
𪇜	a kind of bird (U+2A1DC)	f0aa879c
𪇝	U+2A1DD (U+2A1DD)	f0aa879d
𪇞	U+2A1DE (U+2A1DE)	f0aa879e
𪇟	U+2A1DF (U+2A1DF)	f0aa879f
𪇠	U+2A1E0 (U+2A1E0)	f0aa87a0
𪇡	U+2A1E1 (U+2A1E1)	f0aa87a1
𪇢	U+2A1E2 (U+2A1E2)	f0aa87a2
𪇣	U+2A1E3 (U+2A1E3)	f0aa87a3
𪇤	U+2A1E4 (U+2A1E4)	f0aa87a4
𪇥	U+2A1E5 (U+2A1E5)	f0aa87a5
𪇦	U+2A1E6 (U+2A1E6)	f0aa87a6
𪇧	U+2A1E7 (U+2A1E7)	f0aa87a7
𪇨	U+2A1E8 (U+2A1E8)	f0aa87a8
𪇩	U+2A1E9 (U+2A1E9)	f0aa87a9
𪇪	U+2A1EA (U+2A1EA)	f0aa87aa
𪇫	U+2A1EB (U+2A1EB)	f0aa87ab
𪇬	U+2A1EC (U+2A1EC)	f0aa87ac
𪇭	U+2A1ED (U+2A1ED)	f0aa87ad
𪇮	U+2A1EE (U+2A1EE)	f0aa87ae
𪇯	U+2A1EF (U+2A1EF)	f0aa87af
𪇰	U+2A1F0 (U+2A1F0)	f0aa87b0
𪇱	U+2A1F1 (U+2A1F1)	f0aa87b1
𪇲	U+2A1F2 (U+2A1F2)	f0aa87b2
𪇳	U+2A1F3 (U+2A1F3)	f0aa87b3
𪇴	U+2A1F4 (U+2A1F4)	f0aa87b4
𪇵	U+2A1F5 (U+2A1F5)	f0aa87b5
𪇶	U+2A1F6 (U+2A1F6)	f0aa87b6
𪇷	U+2A1F7 (U+2A1F7)	f0aa87b7
𪇸	U+2A1F8 (U+2A1F8)	f0aa87b8
𪇹	U+2A1F9 (U+2A1F9)	f0aa87b9
𪇺	U+2A1FA (U+2A1FA)	f0aa87ba
𪇻	U+2A1FB (U+2A1FB)	f0aa87bb
𪇼	U+2A1FC (U+2A1FC)	f0aa87bc
𪇽	U+2A1FD (U+2A1FD)	f0aa87bd
𪇾	U+2A1FE (U+2A1FE)	f0aa87be
𪇿	U+2A1FF (U+2A1FF)	f0aa87bf
𪈀	U+2A200 (U+2A200)	f0aa8880
𪈁	U+2A201 (U+2A201)	f0aa8881
𪈂	U+2A202 (U+2A202)	f0aa8882
𪈃	U+2A203 (U+2A203)	f0aa8883
𪈄	U+2A204 (U+2A204)	f0aa8884
𪈅	U+2A205 (U+2A205)	f0aa8885
𪈆	U+2A206 (U+2A206)	f0aa8886
𪈇	U+2A207 (U+2A207)	f0aa8887
𪈈	U+2A208 (U+2A208)	f0aa8888
𪈉	U+2A209 (U+2A209)	f0aa8889
𪈊	U+2A20A (U+2A20A)	f0aa888a
𪈋	U+2A20B (U+2A20B)	f0aa888b
𪈌	U+2A20C (U+2A20C)	f0aa888c
𪈍	U+2A20D (U+2A20D)	f0aa888d
𪈎	U+2A20E (U+2A20E)	f0aa888e
𪈏	U+2A20F (U+2A20F)	f0aa888f
𪈐	U+2A210 (U+2A210)	f0aa8890
𪈑	U+2A211 (U+2A211)	f0aa8891
𪈒	U+2A212 (U+2A212)	f0aa8892
𪈓	U+2A213 (U+2A213)	f0aa8893
𪈔	U+2A214 (U+2A214)	f0aa8894
𪈕	U+2A215 (U+2A215)	f0aa8895
𪈖	U+2A216 (U+2A216)	f0aa8896
𪈗	U+2A217 (U+2A217)	f0aa8897
𪈘	U+2A218 (U+2A218)	f0aa8898
𪈙	U+2A219 (U+2A219)	f0aa8899
𪈚	U+2A21A (U+2A21A)	f0aa889a
𪈛	U+2A21B (U+2A21B)	f0aa889b
𪈜	U+2A21C (U+2A21C)	f0aa889c
𪈝	U+2A21D (U+2A21D)	f0aa889d
𪈞	U+2A21E (U+2A21E)	f0aa889e
𪈟	U+2A21F (U+2A21F)	f0aa889f
𪈠	U+2A220 (U+2A220)	f0aa88a0
𪈡	U+2A221 (U+2A221)	f0aa88a1
𪈢	U+2A222 (U+2A222)	f0aa88a2
𪈣	U+2A223 (U+2A223)	f0aa88a3
𪈤	U+2A224 (U+2A224)	f0aa88a4
𪈥	U+2A225 (U+2A225)	f0aa88a5
𪈦	U+2A226 (U+2A226)	f0aa88a6
𪈧	U+2A227 (U+2A227)	f0aa88a7
𪈨	U+2A228 (U+2A228)	f0aa88a8
𪈩	U+2A229 (U+2A229)	f0aa88a9
𪈪	U+2A22A (U+2A22A)	f0aa88aa
𪈫	U+2A22B (U+2A22B)	f0aa88ab
𪈬	U+2A22C (U+2A22C)	f0aa88ac
𪈭	U+2A22D (U+2A22D)	f0aa88ad
𪈮	U+2A22E (U+2A22E)	f0aa88ae
𪈯	U+2A22F (U+2A22F)	f0aa88af
𪈰	U+2A230 (U+2A230)	f0aa88b0
𪈱	U+2A231 (U+2A231)	f0aa88b1
𪈲	U+2A232 (U+2A232)	f0aa88b2
𪈳	U+2A233 (U+2A233)	f0aa88b3
𪈴	U+2A234 (U+2A234)	f0aa88b4
𪈵	U+2A235 (U+2A235)	f0aa88b5
𪈶	U+2A236 (U+2A236)	f0aa88b6
𪈷	U+2A237 (U+2A237)	f0aa88b7
𪈸	U+2A238 (U+2A238)	f0aa88b8
𪈹	U+2A239 (U+2A239)	f0aa88b9
𪈺	U+2A23A (U+2A23A)	f0aa88ba
𪈻	U+2A23B (U+2A23B)	f0aa88bb
𪈼	U+2A23C (U+2A23C)	f0aa88bc
𪈽	U+2A23D (U+2A23D)	f0aa88bd
𪈾	U+2A23E (U+2A23E)	f0aa88be
𪈿	U+2A23F (U+2A23F)	f0aa88bf
𪉀	U+2A240 (U+2A240)	f0aa8980
𪉁	U+2A241 (U+2A241)	f0aa8981
𪉂	U+2A242 (U+2A242)	f0aa8982
𪉃	U+2A243 (U+2A243)	f0aa8983
𪉄	U+2A244 (U+2A244)	f0aa8984
𪉅	U+2A245 (U+2A245)	f0aa8985
𪉆	U+2A246 (U+2A246)	f0aa8986
𪉇	U+2A247 (U+2A247)	f0aa8987
𪉈	U+2A248 (U+2A248)	f0aa8988
𪉉	U+2A249 (U+2A249)	f0aa8989
𪉊	U+2A24A (U+2A24A)	f0aa898a
𪉋	U+2A24B (U+2A24B)	f0aa898b
𪉌	U+2A24C (U+2A24C)	f0aa898c
𪉍	U+2A24D (U+2A24D)	f0aa898d
𪉎	U+2A24E (U+2A24E)	f0aa898e
𪉏	U+2A24F (U+2A24F)	f0aa898f
𪉐	U+2A250 (U+2A250)	f0aa8990
𪉑	U+2A251 (U+2A251)	f0aa8991
𪉒	U+2A252 (U+2A252)	f0aa8992
𪉓	U+2A253 (U+2A253)	f0aa8993
𪉔	U+2A254 (U+2A254)	f0aa8994
𪉕	U+2A255 (U+2A255)	f0aa8995
𪉖	U+2A256 (U+2A256)	f0aa8996
𪉗	U+2A257 (U+2A257)	f0aa8997
𪉘	U+2A258 (U+2A258)	f0aa8998
𪉙	U+2A259 (U+2A259)	f0aa8999
𪉚	U+2A25A (U+2A25A)	f0aa899a
𪉛	U+2A25B (U+2A25B)	f0aa899b
𪉜	U+2A25C (U+2A25C)	f0aa899c
𪉝	U+2A25D (U+2A25D)	f0aa899d
𪉞	U+2A25E (U+2A25E)	f0aa899e
𪉟	U+2A25F (U+2A25F)	f0aa899f
𪉠	U+2A260 (U+2A260)	f0aa89a0
𪉡	U+2A261 (U+2A261)	f0aa89a1
𪉢	U+2A262 (U+2A262)	f0aa89a2
𪉣	U+2A263 (U+2A263)	f0aa89a3
𪉤	U+2A264 (U+2A264)	f0aa89a4
𪉥	U+2A265 (U+2A265)	f0aa89a5
𪉦	U+2A266 (U+2A266)	f0aa89a6
𪉧	U+2A267 (U+2A267)	f0aa89a7
𪉨	U+2A268 (U+2A268)	f0aa89a8
𪉩	variant of 塩 U+5869, salt (U+2A269)	f0aa89a9
𪉪	U+2A26A (U+2A26A)	f0aa89aa
𪉫	U+2A26B (U+2A26B)	f0aa89ab
𪉬	U+2A26C (U+2A26C)	f0aa89ac
𪉭	U+2A26D (U+2A26D)	f0aa89ad
𪉮	U+2A26E (U+2A26E)	f0aa89ae
𪉯	U+2A26F (U+2A26F)	f0aa89af
𪉰	U+2A270 (U+2A270)	f0aa89b0
𪉱	U+2A271 (U+2A271)	f0aa89b1
𪉲	U+2A272 (U+2A272)	f0aa89b2
𪉳	U+2A273 (U+2A273)	f0aa89b3
𪉴	U+2A274 (U+2A274)	f0aa89b4
𪉵	U+2A275 (U+2A275)	f0aa89b5
𪉶	U+2A276 (U+2A276)	f0aa89b6
𪉷	U+2A277 (U+2A277)	f0aa89b7
𪉸	U+2A278 (U+2A278)	f0aa89b8
𪉹	U+2A279 (U+2A279)	f0aa89b9
𪉺	U+2A27A (U+2A27A)	f0aa89ba
𪉻	U+2A27B (U+2A27B)	f0aa89bb
𪉼	U+2A27C (U+2A27C)	f0aa89bc
𪉽	U+2A27D (U+2A27D)	f0aa89bd
𪉾	U+2A27E (U+2A27E)	f0aa89be
𪉿	U+2A27F (U+2A27F)	f0aa89bf
𪊀	U+2A280 (U+2A280)	f0aa8a80
𪊁	U+2A281 (U+2A281)	f0aa8a81
𪊂	U+2A282 (U+2A282)	f0aa8a82
𪊃	U+2A283 (U+2A283)	f0aa8a83
𪊄	U+2A284 (U+2A284)	f0aa8a84
𪊅	U+2A285 (U+2A285)	f0aa8a85
𪊆	U+2A286 (U+2A286)	f0aa8a86
𪊇	U+2A287 (U+2A287)	f0aa8a87
𪊈	U+2A288 (U+2A288)	f0aa8a88
𪊉	U+2A289 (U+2A289)	f0aa8a89
𪊊	U+2A28A (U+2A28A)	f0aa8a8a
𪊋	U+2A28B (U+2A28B)	f0aa8a8b
𪊌	U+2A28C (U+2A28C)	f0aa8a8c
𪊍	U+2A28D (U+2A28D)	f0aa8a8d
𪊎	U+2A28E (U+2A28E)	f0aa8a8e
𪊏	U+2A28F (U+2A28F)	f0aa8a8f
𪊐	U+2A290 (U+2A290)	f0aa8a90
𪊑	U+2A291 (U+2A291)	f0aa8a91
𪊒	U+2A292 (U+2A292)	f0aa8a92
𪊓	U+2A293 (U+2A293)	f0aa8a93
𪊔	U+2A294 (U+2A294)	f0aa8a94
𪊕	U+2A295 (U+2A295)	f0aa8a95
𪊖	U+2A296 (U+2A296)	f0aa8a96
𪊗	U+2A297 (U+2A297)	f0aa8a97
𪊘	U+2A298 (U+2A298)	f0aa8a98
𪊙	U+2A299 (U+2A299)	f0aa8a99
𪊚	U+2A29A (U+2A29A)	f0aa8a9a
𪊛	U+2A29B (U+2A29B)	f0aa8a9b
𪊜	U+2A29C (U+2A29C)	f0aa8a9c
𪊝	U+2A29D (U+2A29D)	f0aa8a9d
𪊞	U+2A29E (U+2A29E)	f0aa8a9e
𪊟	U+2A29F (U+2A29F)	f0aa8a9f
𪊠	U+2A2A0 (U+2A2A0)	f0aa8aa0
𪊡	U+2A2A1 (U+2A2A1)	f0aa8aa1
𪊢	U+2A2A2 (U+2A2A2)	f0aa8aa2
𪊣	U+2A2A3 (U+2A2A3)	f0aa8aa3
𪊤	U+2A2A4 (U+2A2A4)	f0aa8aa4
𪊥	U+2A2A5 (U+2A2A5)	f0aa8aa5
𪊦	U+2A2A6 (U+2A2A6)	f0aa8aa6
𪊧	U+2A2A7 (U+2A2A7)	f0aa8aa7
𪊨	U+2A2A8 (U+2A2A8)	f0aa8aa8
𪊩	U+2A2A9 (U+2A2A9)	f0aa8aa9
𪊪	U+2A2AA (U+2A2AA)	f0aa8aaa
𪊫	U+2A2AB (U+2A2AB)	f0aa8aab
𪊬	U+2A2AC (U+2A2AC)	f0aa8aac
𪊭	U+2A2AD (U+2A2AD)	f0aa8aad
𪊮	U+2A2AE (U+2A2AE)	f0aa8aae
𪊯	U+2A2AF (U+2A2AF)	f0aa8aaf
𪊰	U+2A2B0 (U+2A2B0)	f0aa8ab0
𪊱	U+2A2B1 (U+2A2B1)	f0aa8ab1
𪊲	U+2A2B2 (U+2A2B2)	f0aa8ab2
𪊳	U+2A2B3 (U+2A2B3)	f0aa8ab3
𪊴	U+2A2B4 (U+2A2B4)	f0aa8ab4
𪊵	U+2A2B5 (U+2A2B5)	f0aa8ab5
𪊶	U+2A2B6 (U+2A2B6)	f0aa8ab6
𪊷	U+2A2B7 (U+2A2B7)	f0aa8ab7
𪊸	U+2A2B8 (U+2A2B8)	f0aa8ab8
𪊹	U+2A2B9 (U+2A2B9)	f0aa8ab9
𪊺	U+2A2BA (U+2A2BA)	f0aa8aba
𪊻	U+2A2BB (U+2A2BB)	f0aa8abb
𪊼	U+2A2BC (U+2A2BC)	f0aa8abc
𪊽	U+2A2BD (U+2A2BD)	f0aa8abd
𪊾	U+2A2BE (U+2A2BE)	f0aa8abe
𪊿	U+2A2BF (U+2A2BF)	f0aa8abf
𪋀	U+2A2C0 (U+2A2C0)	f0aa8b80
𪋁	U+2A2C1 (U+2A2C1)	f0aa8b81
𪋂	U+2A2C2 (U+2A2C2)	f0aa8b82
𪋃	U+2A2C3 (U+2A2C3)	f0aa8b83
𪋄	U+2A2C4 (U+2A2C4)	f0aa8b84
𪋅	U+2A2C5 (U+2A2C5)	f0aa8b85
𪋆	U+2A2C6 (U+2A2C6)	f0aa8b86
𪋇	U+2A2C7 (U+2A2C7)	f0aa8b87
𪋈	U+2A2C8 (U+2A2C8)	f0aa8b88
𪋉	U+2A2C9 (U+2A2C9)	f0aa8b89
𪋊	U+2A2CA (U+2A2CA)	f0aa8b8a
𪋋	U+2A2CB (U+2A2CB)	f0aa8b8b
𪋌	U+2A2CC (U+2A2CC)	f0aa8b8c
𪋍	U+2A2CD (U+2A2CD)	f0aa8b8d
𪋎	U+2A2CE (U+2A2CE)	f0aa8b8e
𪋏	U+2A2CF (U+2A2CF)	f0aa8b8f
𪋐	U+2A2D0 (U+2A2D0)	f0aa8b90
𪋑	U+2A2D1 (U+2A2D1)	f0aa8b91
𪋒	U+2A2D2 (U+2A2D2)	f0aa8b92
𪋓	U+2A2D3 (U+2A2D3)	f0aa8b93
𪋔	U+2A2D4 (U+2A2D4)	f0aa8b94
𪋕	U+2A2D5 (U+2A2D5)	f0aa8b95
𪋖	U+2A2D6 (U+2A2D6)	f0aa8b96
𪋗	U+2A2D7 (U+2A2D7)	f0aa8b97
𪋘	U+2A2D8 (U+2A2D8)	f0aa8b98
𪋙	U+2A2D9 (U+2A2D9)	f0aa8b99
𪋚	U+2A2DA (U+2A2DA)	f0aa8b9a
𪋛	U+2A2DB (U+2A2DB)	f0aa8b9b
𪋜	U+2A2DC (U+2A2DC)	f0aa8b9c
𪋝	U+2A2DD (U+2A2DD)	f0aa8b9d
𪋞	U+2A2DE (U+2A2DE)	f0aa8b9e
𪋟	U+2A2DF (U+2A2DF)	f0aa8b9f
𪋠	U+2A2E0 (U+2A2E0)	f0aa8ba0
𪋡	U+2A2E1 (U+2A2E1)	f0aa8ba1
𪋢	U+2A2E2 (U+2A2E2)	f0aa8ba2
𪋣	U+2A2E3 (U+2A2E3)	f0aa8ba3
𪋤	U+2A2E4 (U+2A2E4)	f0aa8ba4
𪋥	U+2A2E5 (U+2A2E5)	f0aa8ba5
𪋦	U+2A2E6 (U+2A2E6)	f0aa8ba6
𪋧	U+2A2E7 (U+2A2E7)	f0aa8ba7
𪋨	U+2A2E8 (U+2A2E8)	f0aa8ba8
𪋩	U+2A2E9 (U+2A2E9)	f0aa8ba9
𪋪	U+2A2EA (U+2A2EA)	f0aa8baa
𪋫	U+2A2EB (U+2A2EB)	f0aa8bab
𪋬	U+2A2EC (U+2A2EC)	f0aa8bac
𪋭	U+2A2ED (U+2A2ED)	f0aa8bad
𪋮	U+2A2EE (U+2A2EE)	f0aa8bae
𪋯	U+2A2EF (U+2A2EF)	f0aa8baf
𪋰	U+2A2F0 (U+2A2F0)	f0aa8bb0
𪋱	U+2A2F1 (U+2A2F1)	f0aa8bb1
𪋲	U+2A2F2 (U+2A2F2)	f0aa8bb2
𪋳	U+2A2F3 (U+2A2F3)	f0aa8bb3
𪋴	U+2A2F4 (U+2A2F4)	f0aa8bb4
𪋵	U+2A2F5 (U+2A2F5)	f0aa8bb5
𪋶	U+2A2F6 (U+2A2F6)	f0aa8bb6
𪋷	U+2A2F7 (U+2A2F7)	f0aa8bb7
𪋸	U+2A2F8 (U+2A2F8)	f0aa8bb8
𪋹	U+2A2F9 (U+2A2F9)	f0aa8bb9
𪋺	U+2A2FA (U+2A2FA)	f0aa8bba
𪋻	U+2A2FB (U+2A2FB)	f0aa8bbb
𪋼	U+2A2FC (U+2A2FC)	f0aa8bbc
𪋽	U+2A2FD (U+2A2FD)	f0aa8bbd
𪋾	U+2A2FE (U+2A2FE)	f0aa8bbe
𪋿	U+2A2FF (U+2A2FF)	f0aa8bbf
𪌀	U+2A300 (U+2A300)	f0aa8c80
𪌁	U+2A301 (U+2A301)	f0aa8c81
𪌂	U+2A302 (U+2A302)	f0aa8c82
𪌃	U+2A303 (U+2A303)	f0aa8c83
𪌄	U+2A304 (U+2A304)	f0aa8c84
𪌅	U+2A305 (U+2A305)	f0aa8c85
𪌆	U+2A306 (U+2A306)	f0aa8c86
𪌇	U+2A307 (U+2A307)	f0aa8c87
𪌈	U+2A308 (U+2A308)	f0aa8c88
𪌉	U+2A309 (U+2A309)	f0aa8c89
𪌊	U+2A30A (U+2A30A)	f0aa8c8a
𪌋	U+2A30B (U+2A30B)	f0aa8c8b
𪌌	U+2A30C (U+2A30C)	f0aa8c8c
𪌍	U+2A30D (U+2A30D)	f0aa8c8d
𪌎	U+2A30E (U+2A30E)	f0aa8c8e
𪌏	U+2A30F (U+2A30F)	f0aa8c8f
𪌐	U+2A310 (U+2A310)	f0aa8c90
𪌑	U+2A311 (U+2A311)	f0aa8c91
𪌒	U+2A312 (U+2A312)	f0aa8c92
𪌓	U+2A313 (U+2A313)	f0aa8c93
𪌔	U+2A314 (U+2A314)	f0aa8c94
𪌕	U+2A315 (U+2A315)	f0aa8c95
𪌖	U+2A316 (U+2A316)	f0aa8c96
𪌗	U+2A317 (U+2A317)	f0aa8c97
𪌘	U+2A318 (U+2A318)	f0aa8c98
𪌙	U+2A319 (U+2A319)	f0aa8c99
𪌚	U+2A31A (U+2A31A)	f0aa8c9a
𪌛	U+2A31B (U+2A31B)	f0aa8c9b
𪌜	U+2A31C (U+2A31C)	f0aa8c9c
𪌝	U+2A31D (U+2A31D)	f0aa8c9d
𪌞	U+2A31E (U+2A31E)	f0aa8c9e
𪌟	U+2A31F (U+2A31F)	f0aa8c9f
𪌠	U+2A320 (U+2A320)	f0aa8ca0
𪌡	U+2A321 (U+2A321)	f0aa8ca1
𪌢	U+2A322 (U+2A322)	f0aa8ca2
𪌣	U+2A323 (U+2A323)	f0aa8ca3
𪌤	U+2A324 (U+2A324)	f0aa8ca4
𪌥	U+2A325 (U+2A325)	f0aa8ca5
𪌦	U+2A326 (U+2A326)	f0aa8ca6
𪌧	U+2A327 (U+2A327)	f0aa8ca7
𪌨	U+2A328 (U+2A328)	f0aa8ca8
𪌩	U+2A329 (U+2A329)	f0aa8ca9
𪌪	U+2A32A (U+2A32A)	f0aa8caa
𪌫	U+2A32B (U+2A32B)	f0aa8cab
𪌬	U+2A32C (U+2A32C)	f0aa8cac
𪌭	U+2A32D (U+2A32D)	f0aa8cad
𪌮	U+2A32E (U+2A32E)	f0aa8cae
𪌯	U+2A32F (U+2A32F)	f0aa8caf
𪌰	U+2A330 (U+2A330)	f0aa8cb0
𪌱	U+2A331 (U+2A331)	f0aa8cb1
𪌲	U+2A332 (U+2A332)	f0aa8cb2
𪌳	U+2A333 (U+2A333)	f0aa8cb3
𪌴	U+2A334 (U+2A334)	f0aa8cb4
𪌵	U+2A335 (U+2A335)	f0aa8cb5
𪌶	U+2A336 (U+2A336)	f0aa8cb6
𪌷	U+2A337 (U+2A337)	f0aa8cb7
𪌸	U+2A338 (U+2A338)	f0aa8cb8
𪌹	U+2A339 (U+2A339)	f0aa8cb9
𪌺	U+2A33A (U+2A33A)	f0aa8cba
𪌻	U+2A33B (U+2A33B)	f0aa8cbb
𪌼	U+2A33C (U+2A33C)	f0aa8cbc
𪌽	U+2A33D (U+2A33D)	f0aa8cbd
𪌾	U+2A33E (U+2A33E)	f0aa8cbe
𪌿	U+2A33F (U+2A33F)	f0aa8cbf
𪍀	U+2A340 (U+2A340)	f0aa8d80
𪍁	U+2A341 (U+2A341)	f0aa8d81
𪍂	U+2A342 (U+2A342)	f0aa8d82
𪍃	U+2A343 (U+2A343)	f0aa8d83
𪍄	U+2A344 (U+2A344)	f0aa8d84
𪍅	U+2A345 (U+2A345)	f0aa8d85
𪍆	U+2A346 (U+2A346)	f0aa8d86
𪍇	U+2A347 (U+2A347)	f0aa8d87
𪍈	U+2A348 (U+2A348)	f0aa8d88
𪍉	U+2A349 (U+2A349)	f0aa8d89
𪍊	U+2A34A (U+2A34A)	f0aa8d8a
