𥽯	U+25F6F (U+25F6F)	f0a5bdaf
𦆔	U+26194 (U+26194)	f0a68694
𦆕	U+26195 (U+26195)	f0a68695
𦆖	U+26196 (U+26196)	f0a68696
𦆗	U+26197 (U+26197)	f0a68697
𦆘	U+26198 (U+26198)	f0a68698
𦆙	U+26199 (U+26199)	f0a68699
𦆚	U+2619A (U+2619A)	f0a6869a
𦆛	U+2619B (U+2619B)	f0a6869b
𦆜	U+2619C (U+2619C)	f0a6869c
𦆝	U+2619D (U+2619D)	f0a6869d
𦆞	U+2619E (U+2619E)	f0a6869e
𦆟	tangled (U+2619F)	f0a6869f
𦆠	U+261A0 (U+261A0)	f0a686a0
𦆡	U+261A1 (U+261A1)	f0a686a1
𦆢	U+261A2 (U+261A2)	f0a686a2
𦆣	U+261A3 (U+261A3)	f0a686a3
𦆤	U+261A4 (U+261A4)	f0a686a4
𦆥	U+261A5 (U+261A5)	f0a686a5
𦆦	U+261A6 (U+261A6)	f0a686a6
𦆧	U+261A7 (U+261A7)	f0a686a7
𦆨	U+261A8 (U+261A8)	f0a686a8
𦆩	U+261A9 (U+261A9)	f0a686a9
𦆪	U+261AA (U+261AA)	f0a686aa
𦆫	U+261AB (U+261AB)	f0a686ab
𦆬	U+261AC (U+261AC)	f0a686ac
𦆭	U+261AD (U+261AD)	f0a686ad
𦆮	U+261AE (U+261AE)	f0a686ae
𦆯	confused (U+261AF)	f0a686af
𦆰	U+261B0 (U+261B0)	f0a686b0
𦆱	U+261B1 (U+261B1)	f0a686b1
𦆲	U+261B2 (U+261B2)	f0a686b2
𦆳	U+261B3 (U+261B3)	f0a686b3
𦆴	U+261B4 (U+261B4)	f0a686b4
𦆵	U+261B5 (U+261B5)	f0a686b5
𦆶	U+261B6 (U+261B6)	f0a686b6
𦆷	U+261B7 (U+261B7)	f0a686b7
𦆸	U+261B8 (U+261B8)	f0a686b8
𦆹	U+261B9 (U+261B9)	f0a686b9
𦆺	U+261BA (U+261BA)	f0a686ba
𦆻	U+261BB (U+261BB)	f0a686bb
𦆼	U+261BC (U+261BC)	f0a686bc
𦆽	U+261BD (U+261BD)	f0a686bd
𦆾	U+261BE (U+261BE)	f0a686be
𦆿	U+261BF (U+261BF)	f0a686bf
𦇀	U+261C0 (U+261C0)	f0a68780
𦇁	U+261C1 (U+261C1)	f0a68781
𦇂	U+261C2 (U+261C2)	f0a68782
𦇃	U+261C3 (U+261C3)	f0a68783
𦇄	U+261C4 (U+261C4)	f0a68784
𦇅	U+261C5 (U+261C5)	f0a68785
𦇆	U+261C6 (U+261C6)	f0a68786
𦇇	U+261C7 (U+261C7)	f0a68787
𦇈	U+261C8 (U+261C8)	f0a68788
𦇉	U+261C9 (U+261C9)	f0a68789
𦇊	U+261CA (U+261CA)	f0a6878a
𦇋	U+261CB (U+261CB)	f0a6878b
𦇌	U+261CC (U+261CC)	f0a6878c
𦇍	U+261CD (U+261CD)	f0a6878d
𦇎	U+261CE (U+261CE)	f0a6878e
𦇏	U+261CF (U+261CF)	f0a6878f
𦇐	U+261D0 (U+261D0)	f0a68790
𦇑	U+261D1 (U+261D1)	f0a68791
𦇒	U+261D2 (U+261D2)	f0a68792
𦇓	U+261D3 (U+261D3)	f0a68793
𦇔	U+261D4 (U+261D4)	f0a68794
𦇕	U+261D5 (U+261D5)	f0a68795
𦇖	U+261D6 (U+261D6)	f0a68796
𦇗	U+261D7 (U+261D7)	f0a68797
𦇘	U+261D8 (U+261D8)	f0a68798
𦇙	U+261D9 (U+261D9)	f0a68799
𦇚	U+261DA (U+261DA)	f0a6879a
𦇛	U+261DB (U+261DB)	f0a6879b
𦇜	U+261DC (U+261DC)	f0a6879c
𦇝	U+261DD (U+261DD)	f0a6879d
𦇞	U+261DE (U+261DE)	f0a6879e
𦇟	U+261DF (U+261DF)	f0a6879f
𦇠	U+261E0 (U+261E0)	f0a687a0
𦇡	U+261E1 (U+261E1)	f0a687a1
𦇢	U+261E2 (U+261E2)	f0a687a2
𦇣	U+261E3 (U+261E3)	f0a687a3
𦇤	U+261E4 (U+261E4)	f0a687a4
𦇥	U+261E5 (U+261E5)	f0a687a5
𦇦	U+261E6 (U+261E6)	f0a687a6
𦇧	U+261E7 (U+261E7)	f0a687a7
𦇨	U+261E8 (U+261E8)	f0a687a8
𦇩	U+261E9 (U+261E9)	f0a687a9
𦇪	U+261EA (U+261EA)	f0a687aa
𦇫	U+261EB (U+261EB)	f0a687ab
𦇬	U+261EC (U+261EC)	f0a687ac
𦇭	U+261ED (U+261ED)	f0a687ad
𦇮	U+261EE (U+261EE)	f0a687ae
𦇯	U+261EF (U+261EF)	f0a687af
𦇰	U+261F0 (U+261F0)	f0a687b0
𦇱	U+261F1 (U+261F1)	f0a687b1
𦇲	U+261F2 (U+261F2)	f0a687b2
𦇳	U+261F3 (U+261F3)	f0a687b3
𦇴	U+261F4 (U+261F4)	f0a687b4
𦇵	U+261F5 (U+261F5)	f0a687b5
𦇶	U+261F6 (U+261F6)	f0a687b6
𦇷	U+261F7 (U+261F7)	f0a687b7
𦇸	U+261F8 (U+261F8)	f0a687b8
𦇹	U+261F9 (U+261F9)	f0a687b9
𦇺	U+261FA (U+261FA)	f0a687ba
𦇻	U+261FB (U+261FB)	f0a687bb
𦇼	U+261FC (U+261FC)	f0a687bc
𦇽	U+261FD (U+261FD)	f0a687bd
𦇾	U+261FE (U+261FE)	f0a687be
𦇿	U+261FF (U+261FF)	f0a687bf
𦈀	U+26200 (U+26200)	f0a68880
𦈁	U+26201 (U+26201)	f0a68881
𦈂	U+26202 (U+26202)	f0a68882
𦈃	U+26203 (U+26203)	f0a68883
𦈄	U+26204 (U+26204)	f0a68884
𦈅	U+26205 (U+26205)	f0a68885
𦈆	U+26206 (U+26206)	f0a68886
𦈇	U+26207 (U+26207)	f0a68887
𦈈	U+26208 (U+26208)	f0a68888
𦈉	U+26209 (U+26209)	f0a68889
𦈊	U+2620A (U+2620A)	f0a6888a
𦈋	U+2620B (U+2620B)	f0a6888b
𦈌	U+2620C (U+2620C)	f0a6888c
𦈍	U+2620D (U+2620D)	f0a6888d
𦈎	U+2620E (U+2620E)	f0a6888e
𦈏	U+2620F (U+2620F)	f0a6888f
𦈐	U+26210 (U+26210)	f0a68890
𦈑	U+26211 (U+26211)	f0a68891
𦈒	U+26212 (U+26212)	f0a68892
𦈓	U+26213 (U+26213)	f0a68893
𦈔	U+26214 (U+26214)	f0a68894
𦈕	U+26215 (U+26215)	f0a68895
𦈖	U+26216 (U+26216)	f0a68896
𦈗	U+26217 (U+26217)	f0a68897
𦈘	U+26218 (U+26218)	f0a68898
𦈙	U+26219 (U+26219)	f0a68899
𦈚	U+2621A (U+2621A)	f0a6889a
𦈛	U+2621B (U+2621B)	f0a6889b
𦈜	U+2621C (U+2621C)	f0a6889c
𦈝	U+2621D (U+2621D)	f0a6889d
𦈞	U+2621E (U+2621E)	f0a6889e
𦈟	U+2621F (U+2621F)	f0a6889f
𦈠	U+26220 (U+26220)	f0a688a0
𦈡	U+26221 (U+26221)	f0a688a1
𦈢	U+26222 (U+26222)	f0a688a2
𦈣	U+26223 (U+26223)	f0a688a3
𦈤	U+26224 (U+26224)	f0a688a4
𦈥	U+26225 (U+26225)	f0a688a5
𦈦	U+26226 (U+26226)	f0a688a6
𦈧	U+26227 (U+26227)	f0a688a7
𦈨	U+26228 (U+26228)	f0a688a8
𦈩	U+26229 (U+26229)	f0a688a9
𦈪	U+2622A (U+2622A)	f0a688aa
𦈫	U+2622B (U+2622B)	f0a688ab
𦈬	U+2622C (U+2622C)	f0a688ac
𦈭	U+2622D (U+2622D)	f0a688ad
𦈮	U+2622E (U+2622E)	f0a688ae
𦈯	U+2622F (U+2622F)	f0a688af
𦈰	U+26230 (U+26230)	f0a688b0
𦈱	U+26231 (U+26231)	f0a688b1
𦈲	U+26232 (U+26232)	f0a688b2
𦈳	U+26233 (U+26233)	f0a688b3
𦈴	U+26234 (U+26234)	f0a688b4
𦈵	U+26235 (U+26235)	f0a688b5
𦈶	U+26236 (U+26236)	f0a688b6
𦈷	U+26237 (U+26237)	f0a688b7
𦈸	U+26238 (U+26238)	f0a688b8
𦈹	U+26239 (U+26239)	f0a688b9
𦈺	U+2623A (U+2623A)	f0a688ba
𦈻	U+2623B (U+2623B)	f0a688bb
𦈼	U+2623C (U+2623C)	f0a688bc
𦈽	U+2623D (U+2623D)	f0a688bd
𦈾	U+2623E (U+2623E)	f0a688be
𦈿	U+2623F (U+2623F)	f0a688bf
𦉀	U+26240 (U+26240)	f0a68980
𦉁	U+26241 (U+26241)	f0a68981
𦉂	U+26242 (U+26242)	f0a68982
𦉃	U+26243 (U+26243)	f0a68983
𦉄	U+26244 (U+26244)	f0a68984
𦉅	U+26245 (U+26245)	f0a68985
𦉆	to break off; a potsherd, a flaw (U+26246)	f0a68986
𦉇	U+26247 (U+26247)	f0a68987
𦉈	U+26248 (U+26248)	f0a68988
𦉉	U+26249 (U+26249)	f0a68989
𦉊	U+2624A (U+2624A)	f0a6898a
𦉋	U+2624B (U+2624B)	f0a6898b
𦉌	U+2624C (U+2624C)	f0a6898c
𦉍	U+2624D (U+2624D)	f0a6898d
𦉎	U+2624E (U+2624E)	f0a6898e
𦉏	U+2624F (U+2624F)	f0a6898f
𦉐	U+26250 (U+26250)	f0a68990
𦉑	U+26251 (U+26251)	f0a68991
𦉒	U+26252 (U+26252)	f0a68992
𦉓	U+26253 (U+26253)	f0a68993
𦉔	U+26254 (U+26254)	f0a68994
𦉕	U+26255 (U+26255)	f0a68995
𦉖	U+26256 (U+26256)	f0a68996
𦉗	U+26257 (U+26257)	f0a68997
𦉘	(Cant.) a cooking pot, cooker (U+26258)	f0a68998
𦉙	U+26259 (U+26259)	f0a68999
𦉚	U+2625A (U+2625A)	f0a6899a
𦉛	U+2625B (U+2625B)	f0a6899b
𦉜	U+2625C (U+2625C)	f0a6899c
𦉝	U+2625D (U+2625D)	f0a6899d
𦉞	U+2625E (U+2625E)	f0a6899e
𦉟	U+2625F (U+2625F)	f0a6899f
𦉠	U+26260 (U+26260)	f0a689a0
𦉡	U+26261 (U+26261)	f0a689a1
𦉢	U+26262 (U+26262)	f0a689a2
𦉣	U+26263 (U+26263)	f0a689a3
𦉤	U+26264 (U+26264)	f0a689a4
𦉥	U+26265 (U+26265)	f0a689a5
𦉦	U+26266 (U+26266)	f0a689a6
𦉧	U+26267 (U+26267)	f0a689a7
𦉨	U+26268 (U+26268)	f0a689a8
𦉩	U+26269 (U+26269)	f0a689a9
𦉪	U+2626A (U+2626A)	f0a689aa
𦉫	U+2626B (U+2626B)	f0a689ab
𦉬	U+2626C (U+2626C)	f0a689ac
𦉭	U+2626D (U+2626D)	f0a689ad
𦉮	U+2626E (U+2626E)	f0a689ae
𦉯	U+2626F (U+2626F)	f0a689af
𦉰	U+26270 (U+26270)	f0a689b0
𦉱	U+26271 (U+26271)	f0a689b1
𦉲	U+26272 (U+26272)	f0a689b2
𦉳	U+26273 (U+26273)	f0a689b3
𦉴	U+26274 (U+26274)	f0a689b4
𦉵	U+26275 (U+26275)	f0a689b5
𦉶	U+26276 (U+26276)	f0a689b6
𦉷	U+26277 (U+26277)	f0a689b7
𦉸	U+26278 (U+26278)	f0a689b8
𦉹	U+26279 (U+26279)	f0a689b9
𦉺	U+2627A (U+2627A)	f0a689ba
𦉻	U+2627B (U+2627B)	f0a689bb
𦉼	U+2627C (U+2627C)	f0a689bc
𦉽	U+2627D (U+2627D)	f0a689bd
𦉾	U+2627E (U+2627E)	f0a689be
𦉿	U+2627F (U+2627F)	f0a689bf
𦊀	U+26280 (U+26280)	f0a68a80
𦊁	U+26281 (U+26281)	f0a68a81
𦊂	U+26282 (U+26282)	f0a68a82
𦊃	U+26283 (U+26283)	f0a68a83
𦊄	U+26284 (U+26284)	f0a68a84
𦊅	U+26285 (U+26285)	f0a68a85
𦊆	U+26286 (U+26286)	f0a68a86
𦊇	U+26287 (U+26287)	f0a68a87
𦊈	U+26288 (U+26288)	f0a68a88
𦊉	U+26289 (U+26289)	f0a68a89
𦊊	U+2628A (U+2628A)	f0a68a8a
𦊋	U+2628B (U+2628B)	f0a68a8b
𦊌	U+2628C (U+2628C)	f0a68a8c
𦊍	U+2628D (U+2628D)	f0a68a8d
𦊎	U+2628E (U+2628E)	f0a68a8e
𦊏	U+2628F (U+2628F)	f0a68a8f
𦊐	U+26290 (U+26290)	f0a68a90
𦊑	U+26291 (U+26291)	f0a68a91
𦊒	U+26292 (U+26292)	f0a68a92
𦊓	U+26293 (U+26293)	f0a68a93
𦊔	U+26294 (U+26294)	f0a68a94
𦊕	U+26295 (U+26295)	f0a68a95
𦊖	U+26296 (U+26296)	f0a68a96
𦊗	U+26297 (U+26297)	f0a68a97
𦊘	U+26298 (U+26298)	f0a68a98
𦊙	U+26299 (U+26299)	f0a68a99
𦊚	U+2629A (U+2629A)	f0a68a9a
𦊛	U+2629B (U+2629B)	f0a68a9b
𦊜	U+2629C (U+2629C)	f0a68a9c
𦊝	U+2629D (U+2629D)	f0a68a9d
𦊞	U+2629E (U+2629E)	f0a68a9e
𦊟	U+2629F (U+2629F)	f0a68a9f
𦊠	U+262A0 (U+262A0)	f0a68aa0
𦊡	U+262A1 (U+262A1)	f0a68aa1
𦊢	U+262A2 (U+262A2)	f0a68aa2
𦊣	U+262A3 (U+262A3)	f0a68aa3
𦊤	U+262A4 (U+262A4)	f0a68aa4
𦊥	U+262A5 (U+262A5)	f0a68aa5
𦊦	U+262A6 (U+262A6)	f0a68aa6
𦊧	U+262A7 (U+262A7)	f0a68aa7
𦊨	U+262A8 (U+262A8)	f0a68aa8
𦊩	U+262A9 (U+262A9)	f0a68aa9
𦊪	U+262AA (U+262AA)	f0a68aaa
𦊫	U+262AB (U+262AB)	f0a68aab
𦊬	U+262AC (U+262AC)	f0a68aac
𦊭	U+262AD (U+262AD)	f0a68aad
𦊮	U+262AE (U+262AE)	f0a68aae
𦊯	U+262AF (U+262AF)	f0a68aaf
𦊰	U+262B0 (U+262B0)	f0a68ab0
𦊱	U+262B1 (U+262B1)	f0a68ab1
𦊲	U+262B2 (U+262B2)	f0a68ab2
𦊳	U+262B3 (U+262B3)	f0a68ab3
𦊴	U+262B4 (U+262B4)	f0a68ab4
𦊵	U+262B5 (U+262B5)	f0a68ab5
𦊶	U+262B6 (U+262B6)	f0a68ab6
𦊷	U+262B7 (U+262B7)	f0a68ab7
𦊸	U+262B8 (U+262B8)	f0a68ab8
𦊹	U+262B9 (U+262B9)	f0a68ab9
𦊺	U+262BA (U+262BA)	f0a68aba
𦊻	U+262BB (U+262BB)	f0a68abb
𦊼	U+262BC (U+262BC)	f0a68abc
𦊽	U+262BD (U+262BD)	f0a68abd
𦊾	U+262BE (U+262BE)	f0a68abe
𦊿	U+262BF (U+262BF)	f0a68abf
𦋀	U+262C0 (U+262C0)	f0a68b80
𦋁	U+262C1 (U+262C1)	f0a68b81
𦋂	U+262C2 (U+262C2)	f0a68b82
𦋃	U+262C3 (U+262C3)	f0a68b83
𦋄	U+262C4 (U+262C4)	f0a68b84
𦋅	U+262C5 (U+262C5)	f0a68b85
𦋆	U+262C6 (U+262C6)	f0a68b86
𦋇	U+262C7 (U+262C7)	f0a68b87
𦋈	U+262C8 (U+262C8)	f0a68b88
𦋉	U+262C9 (U+262C9)	f0a68b89
𦋊	U+262CA (U+262CA)	f0a68b8a
𦋋	U+262CB (U+262CB)	f0a68b8b
𦋌	U+262CC (U+262CC)	f0a68b8c
𦋍	U+262CD (U+262CD)	f0a68b8d
𦋎	U+262CE (U+262CE)	f0a68b8e
𦋏	U+262CF (U+262CF)	f0a68b8f
𦋐	U+262D0 (U+262D0)	f0a68b90
𦋑	U+262D1 (U+262D1)	f0a68b91
𦋒	U+262D2 (U+262D2)	f0a68b92
𦋓	U+262D3 (U+262D3)	f0a68b93
𦋔	U+262D4 (U+262D4)	f0a68b94
𦋕	U+262D5 (U+262D5)	f0a68b95
𦋖	U+262D6 (U+262D6)	f0a68b96
𦋗	U+262D7 (U+262D7)	f0a68b97
𦋘	U+262D8 (U+262D8)	f0a68b98
𦋙	U+262D9 (U+262D9)	f0a68b99
𦋚	U+262DA (U+262DA)	f0a68b9a
𦋛	U+262DB (U+262DB)	f0a68b9b
𦋜	U+262DC (U+262DC)	f0a68b9c
𦋝	U+262DD (U+262DD)	f0a68b9d
𦋞	U+262DE (U+262DE)	f0a68b9e
𦋟	U+262DF (U+262DF)	f0a68b9f
𦋠	U+262E0 (U+262E0)	f0a68ba0
𦋡	U+262E1 (U+262E1)	f0a68ba1
𦋢	U+262E2 (U+262E2)	f0a68ba2
𦋣	U+262E3 (U+262E3)	f0a68ba3
𦋤	U+262E4 (U+262E4)	f0a68ba4
𦋥	U+262E5 (U+262E5)	f0a68ba5
𦋦	U+262E6 (U+262E6)	f0a68ba6
𦋧	U+262E7 (U+262E7)	f0a68ba7
𦋨	U+262E8 (U+262E8)	f0a68ba8
𦋩	U+262E9 (U+262E9)	f0a68ba9
𦋪	U+262EA (U+262EA)	f0a68baa
𦋫	U+262EB (U+262EB)	f0a68bab
𦋬	U+262EC (U+262EC)	f0a68bac
𦋭	U+262ED (U+262ED)	f0a68bad
𦋮	U+262EE (U+262EE)	f0a68bae
𦋯	U+262EF (U+262EF)	f0a68baf
𦋰	U+262F0 (U+262F0)	f0a68bb0
𦋱	U+262F1 (U+262F1)	f0a68bb1
𦋲	U+262F2 (U+262F2)	f0a68bb2
𦋳	U+262F3 (U+262F3)	f0a68bb3
𦋴	U+262F4 (U+262F4)	f0a68bb4
𦋵	U+262F5 (U+262F5)	f0a68bb5
𦋶	U+262F6 (U+262F6)	f0a68bb6
𦋷	U+262F7 (U+262F7)	f0a68bb7
𦋸	U+262F8 (U+262F8)	f0a68bb8
𦋹	U+262F9 (U+262F9)	f0a68bb9
𦋺	U+262FA (U+262FA)	f0a68bba
𦋻	U+262FB (U+262FB)	f0a68bbb
𦋼	U+262FC (U+262FC)	f0a68bbc
𦋽	U+262FD (U+262FD)	f0a68bbd
𦋾	U+262FE (U+262FE)	f0a68bbe
𦋿	U+262FF (U+262FF)	f0a68bbf
𦌀	U+26300 (U+26300)	f0a68c80
𦌁	a net (U+26301)	f0a68c81
𦌂	U+26302 (U+26302)	f0a68c82
𦌃	U+26303 (U+26303)	f0a68c83
𦌄	U+26304 (U+26304)	f0a68c84
𦌅	U+26305 (U+26305)	f0a68c85
𦌆	U+26306 (U+26306)	f0a68c86
𦌇	U+26307 (U+26307)	f0a68c87
𦌈	U+26308 (U+26308)	f0a68c88
𦌉	U+26309 (U+26309)	f0a68c89
𦌊	U+2630A (U+2630A)	f0a68c8a
𦌋	U+2630B (U+2630B)	f0a68c8b
𦌌	U+2630C (U+2630C)	f0a68c8c
𦌍	U+2630D (U+2630D)	f0a68c8d
𦌎	U+2630E (U+2630E)	f0a68c8e
𦌏	U+2630F (U+2630F)	f0a68c8f
𦌐	U+26310 (U+26310)	f0a68c90
𦌑	U+26311 (U+26311)	f0a68c91
𦌒	U+26312 (U+26312)	f0a68c92
𦌓	U+26313 (U+26313)	f0a68c93
𦌔	U+26314 (U+26314)	f0a68c94
𦌕	U+26315 (U+26315)	f0a68c95
𦌖	U+26316 (U+26316)	f0a68c96
𦌗	U+26317 (U+26317)	f0a68c97
𦌘	U+26318 (U+26318)	f0a68c98
𦌙	U+26319 (U+26319)	f0a68c99
𦌚	U+2631A (U+2631A)	f0a68c9a
𦌛	U+2631B (U+2631B)	f0a68c9b
𦌜	U+2631C (U+2631C)	f0a68c9c
𦌝	U+2631D (U+2631D)	f0a68c9d
𦌞	U+2631E (U+2631E)	f0a68c9e
𦌟	U+2631F (U+2631F)	f0a68c9f
𦌠	U+26320 (U+26320)	f0a68ca0
𦌡	U+26321 (U+26321)	f0a68ca1
𦌢	U+26322 (U+26322)	f0a68ca2
𦌣	U+26323 (U+26323)	f0a68ca3
𦌤	U+26324 (U+26324)	f0a68ca4
𦌥	U+26325 (U+26325)	f0a68ca5
𦌦	U+26326 (U+26326)	f0a68ca6
𦌧	U+26327 (U+26327)	f0a68ca7
𦌨	U+26328 (U+26328)	f0a68ca8
𦌩	U+26329 (U+26329)	f0a68ca9
𦌪	U+2632A (U+2632A)	f0a68caa
𦌫	U+2632B (U+2632B)	f0a68cab
𦌬	U+2632C (U+2632C)	f0a68cac
𦌭	U+2632D (U+2632D)	f0a68cad
𦌮	U+2632E (U+2632E)	f0a68cae
𦌯	U+2632F (U+2632F)	f0a68caf
𦌰	U+26330 (U+26330)	f0a68cb0
𦌱	U+26331 (U+26331)	f0a68cb1
𦌲	U+26332 (U+26332)	f0a68cb2
𦌳	U+26333 (U+26333)	f0a68cb3
𦌴	U+26334 (U+26334)	f0a68cb4
𦌵	U+26335 (U+26335)	f0a68cb5
𦌶	U+26336 (U+26336)	f0a68cb6
𦌷	U+26337 (U+26337)	f0a68cb7
𦌸	U+26338 (U+26338)	f0a68cb8
𦌹	U+26339 (U+26339)	f0a68cb9
𦌺	U+2633A (U+2633A)	f0a68cba
𦌻	U+2633B (U+2633B)	f0a68cbb
𦌼	U+2633C (U+2633C)	f0a68cbc
𦌽	U+2633D (U+2633D)	f0a68cbd
𦌾	U+2633E (U+2633E)	f0a68cbe
𦌿	U+2633F (U+2633F)	f0a68cbf
𦍀	U+26340 (U+26340)	f0a68d80
𦍁	U+26341 (U+26341)	f0a68d81
𦍂	U+26342 (U+26342)	f0a68d82
𦍃	U+26343 (U+26343)	f0a68d83
𦍄	U+26344 (U+26344)	f0a68d84
𦍅	U+26345 (U+26345)	f0a68d85
𦍆	U+26346 (U+26346)	f0a68d86
𦍇	U+26347 (U+26347)	f0a68d87
𦍈	U+26348 (U+26348)	f0a68d88
𦍉	U+26349 (U+26349)	f0a68d89
𦍊	U+2634A (U+2634A)	f0a68d8a
𦍋	U+2634B (U+2634B)	f0a68d8b
𦍌	U+2634C (U+2634C)	f0a68d8c
𦍍	U+2634D (U+2634D)	f0a68d8d
𦍎	U+2634E (U+2634E)	f0a68d8e
𦍏	U+2634F (U+2634F)	f0a68d8f
𦍐	U+26350 (U+26350)	f0a68d90
𦍑	U+26351 (U+26351)	f0a68d91
𦍒	U+26352 (U+26352)	f0a68d92
𦍓	U+26353 (U+26353)	f0a68d93
𦍔	U+26354 (U+26354)	f0a68d94
𦍕	U+26355 (U+26355)	f0a68d95
𦍖	U+26356 (U+26356)	f0a68d96
𦍗	U+26357 (U+26357)	f0a68d97
𦍘	U+26358 (U+26358)	f0a68d98
𦍙	U+26359 (U+26359)	f0a68d99
𦍚	U+2635A (U+2635A)	f0a68d9a
𦍛	U+2635B (U+2635B)	f0a68d9b
𦍜	U+2635C (U+2635C)	f0a68d9c
𦍝	U+2635D (U+2635D)	f0a68d9d
𦍞	U+2635E (U+2635E)	f0a68d9e
𦍟	U+2635F (U+2635F)	f0a68d9f
𦍠	U+26360 (U+26360)	f0a68da0
𦍡	U+26361 (U+26361)	f0a68da1
𦍢	U+26362 (U+26362)	f0a68da2
𦍣	U+26363 (U+26363)	f0a68da3
𦍤	U+26364 (U+26364)	f0a68da4
𦍥	U+26365 (U+26365)	f0a68da5
𦍦	U+26366 (U+26366)	f0a68da6
𦍧	U+26367 (U+26367)	f0a68da7
𦍨	U+26368 (U+26368)	f0a68da8
𦍩	a ram (U+26369)	f0a68da9
𦍪	U+2636A (U+2636A)	f0a68daa
𦍫	U+2636B (U+2636B)	f0a68dab
𦍬	U+2636C (U+2636C)	f0a68dac
𦍭	U+2636D (U+2636D)	f0a68dad
𦍮	U+2636E (U+2636E)	f0a68dae
