𤽯	U+24F6F (U+24F6F)	f0a4bdaf
𥆒	U+25192 (U+25192)	f0a58692
𥆓	U+25193 (U+25193)	f0a58693
𥆔	U+25194 (U+25194)	f0a58694
𥆕	U+25195 (U+25195)	f0a58695
𥆖	U+25196 (U+25196)	f0a58696
𥆗	U+25197 (U+25197)	f0a58697
𥆘	U+25198 (U+25198)	f0a58698
𥆙	U+25199 (U+25199)	f0a58699
𥆚	U+2519A (U+2519A)	f0a5869a
𥆛	U+2519B (U+2519B)	f0a5869b
𥆜	U+2519C (U+2519C)	f0a5869c
𥆝	U+2519D (U+2519D)	f0a5869d
𥆞	U+2519E (U+2519E)	f0a5869e
𥆟	U+2519F (U+2519F)	f0a5869f
𥆠	U+251A0 (U+251A0)	f0a586a0
𥆡	U+251A1 (U+251A1)	f0a586a1
𥆢	U+251A2 (U+251A2)	f0a586a2
𥆣	U+251A3 (U+251A3)	f0a586a3
𥆤	U+251A4 (U+251A4)	f0a586a4
𥆥	U+251A5 (U+251A5)	f0a586a5
𥆦	U+251A6 (U+251A6)	f0a586a6
𥆧	U+251A7 (U+251A7)	f0a586a7
𥆨	U+251A8 (U+251A8)	f0a586a8
𥆩	U+251A9 (U+251A9)	f0a586a9
𥆪	U+251AA (U+251AA)	f0a586aa
𥆫	U+251AB (U+251AB)	f0a586ab
𥆬	U+251AC (U+251AC)	f0a586ac
𥆭	U+251AD (U+251AD)	f0a586ad
𥆮	U+251AE (U+251AE)	f0a586ae
𥆯	U+251AF (U+251AF)	f0a586af
𥆰	U+251B0 (U+251B0)	f0a586b0
𥆱	U+251B1 (U+251B1)	f0a586b1
𥆲	U+251B2 (U+251B2)	f0a586b2
𥆳	U+251B3 (U+251B3)	f0a586b3
𥆴	U+251B4 (U+251B4)	f0a586b4
𥆵	U+251B5 (U+251B5)	f0a586b5
𥆶	U+251B6 (U+251B6)	f0a586b6
𥆷	U+251B7 (U+251B7)	f0a586b7
𥆸	U+251B8 (U+251B8)	f0a586b8
𥆹	U+251B9 (U+251B9)	f0a586b9
𥆺	U+251BA (U+251BA)	f0a586ba
𥆻	U+251BB (U+251BB)	f0a586bb
𥆼	U+251BC (U+251BC)	f0a586bc
𥆽	U+251BD (U+251BD)	f0a586bd
𥆾	U+251BE (U+251BE)	f0a586be
𥆿	U+251BF (U+251BF)	f0a586bf
𥇀	U+251C0 (U+251C0)	f0a58780
𥇁	U+251C1 (U+251C1)	f0a58781
𥇂	U+251C2 (U+251C2)	f0a58782
𥇃	U+251C3 (U+251C3)	f0a58783
𥇄	U+251C4 (U+251C4)	f0a58784
𥇅	U+251C5 (U+251C5)	f0a58785
𥇆	U+251C6 (U+251C6)	f0a58786
𥇇	U+251C7 (U+251C7)	f0a58787
𥇈	U+251C8 (U+251C8)	f0a58788
𥇉	U+251C9 (U+251C9)	f0a58789
𥇊	U+251CA (U+251CA)	f0a5878a
𥇋	U+251CB (U+251CB)	f0a5878b
𥇌	U+251CC (U+251CC)	f0a5878c
𥇍	U+251CD (U+251CD)	f0a5878d
𥇎	U+251CE (U+251CE)	f0a5878e
𥇏	U+251CF (U+251CF)	f0a5878f
𥇐	U+251D0 (U+251D0)	f0a58790
𥇑	U+251D1 (U+251D1)	f0a58791
𥇒	U+251D2 (U+251D2)	f0a58792
𥇓	U+251D3 (U+251D3)	f0a58793
𥇔	U+251D4 (U+251D4)	f0a58794
𥇕	U+251D5 (U+251D5)	f0a58795
𥇖	U+251D6 (U+251D6)	f0a58796
𥇗	U+251D7 (U+251D7)	f0a58797
𥇘	U+251D8 (U+251D8)	f0a58798
𥇙	U+251D9 (U+251D9)	f0a58799
𥇚	U+251DA (U+251DA)	f0a5879a
𥇛	U+251DB (U+251DB)	f0a5879b
𥇜	U+251DC (U+251DC)	f0a5879c
𥇝	U+251DD (U+251DD)	f0a5879d
𥇞	U+251DE (U+251DE)	f0a5879e
𥇟	U+251DF (U+251DF)	f0a5879f
𥇠	U+251E0 (U+251E0)	f0a587a0
𥇡	U+251E1 (U+251E1)	f0a587a1
𥇢	U+251E2 (U+251E2)	f0a587a2
𥇣	(Cant.) to glance (U+251E3)	f0a587a3
𥇤	U+251E4 (U+251E4)	f0a587a4
𥇥	U+251E5 (U+251E5)	f0a587a5
𥇦	U+251E6 (U+251E6)	f0a587a6
𥇧	U+251E7 (U+251E7)	f0a587a7
𥇨	U+251E8 (U+251E8)	f0a587a8
𥇩	U+251E9 (U+251E9)	f0a587a9
𥇪	U+251EA (U+251EA)	f0a587aa
𥇫	U+251EB (U+251EB)	f0a587ab
𥇬	U+251EC (U+251EC)	f0a587ac
𥇭	U+251ED (U+251ED)	f0a587ad
𥇮	U+251EE (U+251EE)	f0a587ae
𥇯	U+251EF (U+251EF)	f0a587af
𥇰	U+251F0 (U+251F0)	f0a587b0
𥇱	U+251F1 (U+251F1)	f0a587b1
𥇲	U+251F2 (U+251F2)	f0a587b2
𥇳	U+251F3 (U+251F3)	f0a587b3
𥇴	U+251F4 (U+251F4)	f0a587b4
𥇵	U+251F5 (U+251F5)	f0a587b5
𥇶	U+251F6 (U+251F6)	f0a587b6
𥇷	U+251F7 (U+251F7)	f0a587b7
𥇸	U+251F8 (U+251F8)	f0a587b8
𥇹	U+251F9 (U+251F9)	f0a587b9
𥇺	U+251FA (U+251FA)	f0a587ba
𥇻	U+251FB (U+251FB)	f0a587bb
𥇼	U+251FC (U+251FC)	f0a587bc
𥇽	U+251FD (U+251FD)	f0a587bd
𥇾	U+251FE (U+251FE)	f0a587be
𥇿	U+251FF (U+251FF)	f0a587bf
𥈀	U+25200 (U+25200)	f0a58880
𥈁	U+25201 (U+25201)	f0a58881
𥈂	U+25202 (U+25202)	f0a58882
𥈃	U+25203 (U+25203)	f0a58883
𥈄	U+25204 (U+25204)	f0a58884
𥈅	U+25205 (U+25205)	f0a58885
𥈆	U+25206 (U+25206)	f0a58886
𥈇	U+25207 (U+25207)	f0a58887
𥈈	U+25208 (U+25208)	f0a58888
𥈉	U+25209 (U+25209)	f0a58889
𥈊	U+2520A (U+2520A)	f0a5888a
𥈋	U+2520B (U+2520B)	f0a5888b
𥈌	U+2520C (U+2520C)	f0a5888c
𥈍	U+2520D (U+2520D)	f0a5888d
𥈎	U+2520E (U+2520E)	f0a5888e
𥈏	U+2520F (U+2520F)	f0a5888f
𥈐	U+25210 (U+25210)	f0a58890
𥈑	U+25211 (U+25211)	f0a58891
𥈒	U+25212 (U+25212)	f0a58892
𥈓	U+25213 (U+25213)	f0a58893
𥈔	U+25214 (U+25214)	f0a58894
𥈕	U+25215 (U+25215)	f0a58895
𥈖	U+25216 (U+25216)	f0a58896
𥈗	U+25217 (U+25217)	f0a58897
𥈘	U+25218 (U+25218)	f0a58898
𥈙	U+25219 (U+25219)	f0a58899
𥈚	U+2521A (U+2521A)	f0a5889a
𥈛	U+2521B (U+2521B)	f0a5889b
𥈜	U+2521C (U+2521C)	f0a5889c
𥈝	U+2521D (U+2521D)	f0a5889d
𥈞	U+2521E (U+2521E)	f0a5889e
𥈟	blind; no pupil in the eye (U+2521F)	f0a5889f
𥈠	U+25220 (U+25220)	f0a588a0
𥈡	U+25221 (U+25221)	f0a588a1
𥈢	U+25222 (U+25222)	f0a588a2
𥈣	U+25223 (U+25223)	f0a588a3
𥈤	U+25224 (U+25224)	f0a588a4
𥈥	U+25225 (U+25225)	f0a588a5
𥈦	U+25226 (U+25226)	f0a588a6
𥈧	U+25227 (U+25227)	f0a588a7
𥈨	U+25228 (U+25228)	f0a588a8
𥈩	U+25229 (U+25229)	f0a588a9
𥈪	U+2522A (U+2522A)	f0a588aa
𥈫	U+2522B (U+2522B)	f0a588ab
𥈬	U+2522C (U+2522C)	f0a588ac
𥈭	U+2522D (U+2522D)	f0a588ad
𥈮	U+2522E (U+2522E)	f0a588ae
𥈯	U+2522F (U+2522F)	f0a588af
𥈰	U+25230 (U+25230)	f0a588b0
𥈱	U+25231 (U+25231)	f0a588b1
𥈲	(Cant.) to keep a close eye on, to control (U+25232)	f0a588b2
𥈳	U+25233 (U+25233)	f0a588b3
𥈴	U+25234 (U+25234)	f0a588b4
𥈵	U+25235 (U+25235)	f0a588b5
𥈶	(Cant.) sound asleep (U+25236)	f0a588b6
𥈷	U+25237 (U+25237)	f0a588b7
𥈸	U+25238 (U+25238)	f0a588b8
𥈹	U+25239 (U+25239)	f0a588b9
𥈺	U+2523A (U+2523A)	f0a588ba
𥈻	U+2523B (U+2523B)	f0a588bb
𥈼	U+2523C (U+2523C)	f0a588bc
𥈽	U+2523D (U+2523D)	f0a588bd
𥈾	U+2523E (U+2523E)	f0a588be
𥈿	U+2523F (U+2523F)	f0a588bf
𥉀	U+25240 (U+25240)	f0a58980
𥉁	U+25241 (U+25241)	f0a58981
𥉂	U+25242 (U+25242)	f0a58982
𥉃	U+25243 (U+25243)	f0a58983
𥉄	U+25244 (U+25244)	f0a58984
𥉅	U+25245 (U+25245)	f0a58985
𥉆	U+25246 (U+25246)	f0a58986
𥉇	U+25247 (U+25247)	f0a58987
𥉈	U+25248 (U+25248)	f0a58988
𥉉	U+25249 (U+25249)	f0a58989
𥉊	U+2524A (U+2524A)	f0a5898a
𥉋	U+2524B (U+2524B)	f0a5898b
𥉌	U+2524C (U+2524C)	f0a5898c
𥉍	U+2524D (U+2524D)	f0a5898d
𥉎	U+2524E (U+2524E)	f0a5898e
𥉏	U+2524F (U+2524F)	f0a5898f
𥉐	U+25250 (U+25250)	f0a58990
𥉑	U+25251 (U+25251)	f0a58991
𥉒	U+25252 (U+25252)	f0a58992
𥉓	U+25253 (U+25253)	f0a58993
𥉔	U+25254 (U+25254)	f0a58994
𥉕	U+25255 (U+25255)	f0a58995
𥉖	U+25256 (U+25256)	f0a58996
𥉗	U+25257 (U+25257)	f0a58997
𥉘	U+25258 (U+25258)	f0a58998
𥉙	U+25259 (U+25259)	f0a58999
𥉚	U+2525A (U+2525A)	f0a5899a
𥉛	U+2525B (U+2525B)	f0a5899b
𥉜	U+2525C (U+2525C)	f0a5899c
𥉝	U+2525D (U+2525D)	f0a5899d
𥉞	U+2525E (U+2525E)	f0a5899e
𥉟	U+2525F (U+2525F)	f0a5899f
𥉠	U+25260 (U+25260)	f0a589a0
𥉡	U+25261 (U+25261)	f0a589a1
𥉢	U+25262 (U+25262)	f0a589a2
𥉣	U+25263 (U+25263)	f0a589a3
𥉤	U+25264 (U+25264)	f0a589a4
𥉥	U+25265 (U+25265)	f0a589a5
𥉦	U+25266 (U+25266)	f0a589a6
𥉧	U+25267 (U+25267)	f0a589a7
𥉨	U+25268 (U+25268)	f0a589a8
𥉩	U+25269 (U+25269)	f0a589a9
𥉪	U+2526A (U+2526A)	f0a589aa
𥉫	U+2526B (U+2526B)	f0a589ab
𥉬	U+2526C (U+2526C)	f0a589ac
𥉭	U+2526D (U+2526D)	f0a589ad
𥉮	U+2526E (U+2526E)	f0a589ae
𥉯	U+2526F (U+2526F)	f0a589af
𥉰	U+25270 (U+25270)	f0a589b0
𥉱	U+25271 (U+25271)	f0a589b1
𥉲	U+25272 (U+25272)	f0a589b2
𥉳	U+25273 (U+25273)	f0a589b3
𥉴	U+25274 (U+25274)	f0a589b4
𥉵	blurred eyes (U+25275)	f0a589b5
𥉶	U+25276 (U+25276)	f0a589b6
𥉷	U+25277 (U+25277)	f0a589b7
𥉸	U+25278 (U+25278)	f0a589b8
𥉹	U+25279 (U+25279)	f0a589b9
𥉺	U+2527A (U+2527A)	f0a589ba
𥉻	U+2527B (U+2527B)	f0a589bb
𥉼	U+2527C (U+2527C)	f0a589bc
𥉽	U+2527D (U+2527D)	f0a589bd
𥉾	U+2527E (U+2527E)	f0a589be
𥉿	U+2527F (U+2527F)	f0a589bf
𥊀	U+25280 (U+25280)	f0a58a80
𥊁	U+25281 (U+25281)	f0a58a81
𥊂	U+25282 (U+25282)	f0a58a82
𥊃	U+25283 (U+25283)	f0a58a83
𥊄	U+25284 (U+25284)	f0a58a84
𥊅	U+25285 (U+25285)	f0a58a85
𥊆	U+25286 (U+25286)	f0a58a86
𥊇	U+25287 (U+25287)	f0a58a87
𥊈	U+25288 (U+25288)	f0a58a88
𥊉	U+25289 (U+25289)	f0a58a89
𥊊	U+2528A (U+2528A)	f0a58a8a
𥊋	U+2528B (U+2528B)	f0a58a8b
𥊌	(Cant.) wrinkled, folded, creased, crumpled (U+2528C)	f0a58a8c
𥊍	U+2528D (U+2528D)	f0a58a8d
𥊎	U+2528E (U+2528E)	f0a58a8e
𥊏	U+2528F (U+2528F)	f0a58a8f
𥊐	U+25290 (U+25290)	f0a58a90
𥊑	U+25291 (U+25291)	f0a58a91
𥊒	U+25292 (U+25292)	f0a58a92
𥊓	U+25293 (U+25293)	f0a58a93
𥊔	U+25294 (U+25294)	f0a58a94
𥊕	U+25295 (U+25295)	f0a58a95
𥊖	U+25296 (U+25296)	f0a58a96
𥊗	U+25297 (U+25297)	f0a58a97
𥊘	U+25298 (U+25298)	f0a58a98
𥊙	(Cant.) to peep at, look at secretly (U+25299)	f0a58a99
𥊚	U+2529A (U+2529A)	f0a58a9a
𥊛	U+2529B (U+2529B)	f0a58a9b
𥊜	U+2529C (U+2529C)	f0a58a9c
𥊝	U+2529D (U+2529D)	f0a58a9d
𥊞	U+2529E (U+2529E)	f0a58a9e
𥊟	U+2529F (U+2529F)	f0a58a9f
𥊠	U+252A0 (U+252A0)	f0a58aa0
𥊡	U+252A1 (U+252A1)	f0a58aa1
𥊢	U+252A2 (U+252A2)	f0a58aa2
𥊣	U+252A3 (U+252A3)	f0a58aa3
𥊤	U+252A4 (U+252A4)	f0a58aa4
𥊥	U+252A5 (U+252A5)	f0a58aa5
𥊦	U+252A6 (U+252A6)	f0a58aa6
𥊧	U+252A7 (U+252A7)	f0a58aa7
𥊨	U+252A8 (U+252A8)	f0a58aa8
𥊩	U+252A9 (U+252A9)	f0a58aa9
𥊪	U+252AA (U+252AA)	f0a58aaa
𥊫	U+252AB (U+252AB)	f0a58aab
𥊬	U+252AC (U+252AC)	f0a58aac
𥊭	U+252AD (U+252AD)	f0a58aad
𥊮	U+252AE (U+252AE)	f0a58aae
𥊯	U+252AF (U+252AF)	f0a58aaf
𥊰	U+252B0 (U+252B0)	f0a58ab0
𥊱	U+252B1 (U+252B1)	f0a58ab1
𥊲	U+252B2 (U+252B2)	f0a58ab2
𥊳	U+252B3 (U+252B3)	f0a58ab3
𥊴	U+252B4 (U+252B4)	f0a58ab4
𥊵	U+252B5 (U+252B5)	f0a58ab5
𥊶	U+252B6 (U+252B6)	f0a58ab6
𥊷	U+252B7 (U+252B7)	f0a58ab7
𥊸	U+252B8 (U+252B8)	f0a58ab8
𥊹	U+252B9 (U+252B9)	f0a58ab9
𥊺	U+252BA (U+252BA)	f0a58aba
𥊻	U+252BB (U+252BB)	f0a58abb
𥊼	U+252BC (U+252BC)	f0a58abc
𥊽	U+252BD (U+252BD)	f0a58abd
𥊾	U+252BE (U+252BE)	f0a58abe
𥊿	U+252BF (U+252BF)	f0a58abf
𥋀	U+252C0 (U+252C0)	f0a58b80
𥋁	U+252C1 (U+252C1)	f0a58b81
𥋂	U+252C2 (U+252C2)	f0a58b82
𥋃	U+252C3 (U+252C3)	f0a58b83
𥋄	U+252C4 (U+252C4)	f0a58b84
𥋅	U+252C5 (U+252C5)	f0a58b85
𥋆	U+252C6 (U+252C6)	f0a58b86
𥋇	(Cant.) to open the eyes wide (U+252C7)	f0a58b87
𥋈	U+252C8 (U+252C8)	f0a58b88
𥋉	U+252C9 (U+252C9)	f0a58b89
𥋊	U+252CA (U+252CA)	f0a58b8a
𥋋	U+252CB (U+252CB)	f0a58b8b
𥋌	to glance at, catch sight of (U+252CC)	f0a58b8c
𥋍	U+252CD (U+252CD)	f0a58b8d
𥋎	U+252CE (U+252CE)	f0a58b8e
𥋏	U+252CF (U+252CF)	f0a58b8f
𥋐	U+252D0 (U+252D0)	f0a58b90
𥋑	U+252D1 (U+252D1)	f0a58b91
𥋒	U+252D2 (U+252D2)	f0a58b92
𥋓	U+252D3 (U+252D3)	f0a58b93
𥋔	U+252D4 (U+252D4)	f0a58b94
𥋕	U+252D5 (U+252D5)	f0a58b95
𥋖	U+252D6 (U+252D6)	f0a58b96
𥋗	U+252D7 (U+252D7)	f0a58b97
𥋘	(Cant.) to swep the eyes over something (U+252D8)	f0a58b98
𥋙	U+252D9 (U+252D9)	f0a58b99
𥋚	U+252DA (U+252DA)	f0a58b9a
𥋛	U+252DB (U+252DB)	f0a58b9b
𥋜	U+252DC (U+252DC)	f0a58b9c
𥋝	U+252DD (U+252DD)	f0a58b9d
𥋞	U+252DE (U+252DE)	f0a58b9e
𥋟	to wink (U+252DF)	f0a58b9f
𥋠	U+252E0 (U+252E0)	f0a58ba0
𥋡	U+252E1 (U+252E1)	f0a58ba1
𥋢	U+252E2 (U+252E2)	f0a58ba2
𥋣	U+252E3 (U+252E3)	f0a58ba3
𥋤	U+252E4 (U+252E4)	f0a58ba4
𥋥	U+252E5 (U+252E5)	f0a58ba5
𥋦	U+252E6 (U+252E6)	f0a58ba6
𥋧	U+252E7 (U+252E7)	f0a58ba7
𥋨	U+252E8 (U+252E8)	f0a58ba8
𥋩	U+252E9 (U+252E9)	f0a58ba9
𥋪	U+252EA (U+252EA)	f0a58baa
𥋫	U+252EB (U+252EB)	f0a58bab
𥋬	U+252EC (U+252EC)	f0a58bac
𥋭	U+252ED (U+252ED)	f0a58bad
𥋮	U+252EE (U+252EE)	f0a58bae
𥋯	U+252EF (U+252EF)	f0a58baf
𥋰	U+252F0 (U+252F0)	f0a58bb0
𥋱	U+252F1 (U+252F1)	f0a58bb1
𥋲	U+252F2 (U+252F2)	f0a58bb2
𥋳	U+252F3 (U+252F3)	f0a58bb3
𥋴	U+252F4 (U+252F4)	f0a58bb4
𥋵	U+252F5 (U+252F5)	f0a58bb5
𥋶	U+252F6 (U+252F6)	f0a58bb6
𥋷	U+252F7 (U+252F7)	f0a58bb7
𥋸	U+252F8 (U+252F8)	f0a58bb8
𥋹	U+252F9 (U+252F9)	f0a58bb9
𥋺	U+252FA (U+252FA)	f0a58bba
𥋻	U+252FB (U+252FB)	f0a58bbb
𥋼	U+252FC (U+252FC)	f0a58bbc
𥋽	U+252FD (U+252FD)	f0a58bbd
𥋾	U+252FE (U+252FE)	f0a58bbe
𥋿	U+252FF (U+252FF)	f0a58bbf
𥌀	U+25300 (U+25300)	f0a58c80
𥌁	U+25301 (U+25301)	f0a58c81
𥌂	U+25302 (U+25302)	f0a58c82
𥌃	U+25303 (U+25303)	f0a58c83
𥌄	U+25304 (U+25304)	f0a58c84
𥌅	U+25305 (U+25305)	f0a58c85
𥌆	U+25306 (U+25306)	f0a58c86
𥌇	U+25307 (U+25307)	f0a58c87
𥌈	U+25308 (U+25308)	f0a58c88
𥌉	U+25309 (U+25309)	f0a58c89
𥌊	U+2530A (U+2530A)	f0a58c8a
𥌋	U+2530B (U+2530B)	f0a58c8b
𥌌	U+2530C (U+2530C)	f0a58c8c
𥌍	U+2530D (U+2530D)	f0a58c8d
𥌎	U+2530E (U+2530E)	f0a58c8e
𥌏	U+2530F (U+2530F)	f0a58c8f
𥌐	U+25310 (U+25310)	f0a58c90
𥌑	U+25311 (U+25311)	f0a58c91
𥌒	U+25312 (U+25312)	f0a58c92
𥌓	U+25313 (U+25313)	f0a58c93
𥌔	U+25314 (U+25314)	f0a58c94
𥌕	U+25315 (U+25315)	f0a58c95
𥌖	U+25316 (U+25316)	f0a58c96
𥌗	U+25317 (U+25317)	f0a58c97
𥌘	U+25318 (U+25318)	f0a58c98
𥌙	U+25319 (U+25319)	f0a58c99
𥌚	U+2531A (U+2531A)	f0a58c9a
𥌛	(Cant.) to gaze greedily at (U+2531B)	f0a58c9b
𥌜	U+2531C (U+2531C)	f0a58c9c
𥌝	U+2531D (U+2531D)	f0a58c9d
𥌞	U+2531E (U+2531E)	f0a58c9e
𥌟	U+2531F (U+2531F)	f0a58c9f
𥌠	U+25320 (U+25320)	f0a58ca0
𥌡	U+25321 (U+25321)	f0a58ca1
𥌢	U+25322 (U+25322)	f0a58ca2
𥌣	U+25323 (U+25323)	f0a58ca3
𥌤	U+25324 (U+25324)	f0a58ca4
𥌥	U+25325 (U+25325)	f0a58ca5
𥌦	U+25326 (U+25326)	f0a58ca6
𥌧	U+25327 (U+25327)	f0a58ca7
𥌨	U+25328 (U+25328)	f0a58ca8
𥌩	U+25329 (U+25329)	f0a58ca9
𥌪	U+2532A (U+2532A)	f0a58caa
𥌫	U+2532B (U+2532B)	f0a58cab
𥌬	U+2532C (U+2532C)	f0a58cac
𥌭	U+2532D (U+2532D)	f0a58cad
𥌮	U+2532E (U+2532E)	f0a58cae
𥌯	U+2532F (U+2532F)	f0a58caf
𥌰	U+25330 (U+25330)	f0a58cb0
𥌱	U+25331 (U+25331)	f0a58cb1
𥌲	U+25332 (U+25332)	f0a58cb2
𥌳	U+25333 (U+25333)	f0a58cb3
𥌴	U+25334 (U+25334)	f0a58cb4
𥌵	U+25335 (U+25335)	f0a58cb5
𥌶	U+25336 (U+25336)	f0a58cb6
𥌷	U+25337 (U+25337)	f0a58cb7
𥌸	U+25338 (U+25338)	f0a58cb8
𥌹	U+25339 (U+25339)	f0a58cb9
𥌺	U+2533A (U+2533A)	f0a58cba
𥌻	U+2533B (U+2533B)	f0a58cbb
𥌼	U+2533C (U+2533C)	f0a58cbc
𥌽	U+2533D (U+2533D)	f0a58cbd
𥌾	U+2533E (U+2533E)	f0a58cbe
𥌿	U+2533F (U+2533F)	f0a58cbf
𥍀	U+25340 (U+25340)	f0a58d80
𥍁	U+25341 (U+25341)	f0a58d81
𥍂	U+25342 (U+25342)	f0a58d82
𥍃	U+25343 (U+25343)	f0a58d83
𥍄	U+25344 (U+25344)	f0a58d84
𥍅	U+25345 (U+25345)	f0a58d85
𥍆	U+25346 (U+25346)	f0a58d86
𥍇	U+25347 (U+25347)	f0a58d87
𥍈	U+25348 (U+25348)	f0a58d88
𥍉	U+25349 (U+25349)	f0a58d89
𥍊	U+2534A (U+2534A)	f0a58d8a
𥍋	U+2534B (U+2534B)	f0a58d8b
𥍌	U+2534C (U+2534C)	f0a58d8c
𥍍	U+2534D (U+2534D)	f0a58d8d
𥍎	U+2534E (U+2534E)	f0a58d8e
𥍏	U+2534F (U+2534F)	f0a58d8f
𥍐	U+25350 (U+25350)	f0a58d90
𥍑	U+25351 (U+25351)	f0a58d91
𥍒	U+25352 (U+25352)	f0a58d92
𥍓	U+25353 (U+25353)	f0a58d93
𥍔	U+25354 (U+25354)	f0a58d94
𥍕	U+25355 (U+25355)	f0a58d95
𥍖	U+25356 (U+25356)	f0a58d96
𥍗	U+25357 (U+25357)	f0a58d97
𥍘	U+25358 (U+25358)	f0a58d98
𥍙	U+25359 (U+25359)	f0a58d99
𥍚	U+2535A (U+2535A)	f0a58d9a
𥍛	U+2535B (U+2535B)	f0a58d9b
𥍜	U+2535C (U+2535C)	f0a58d9c
𥍝	U+2535D (U+2535D)	f0a58d9d
𥍞	U+2535E (U+2535E)	f0a58d9e
𥍟	U+2535F (U+2535F)	f0a58d9f
𥍠	U+25360 (U+25360)	f0a58da0
𥍡	U+25361 (U+25361)	f0a58da1
𥍢	U+25362 (U+25362)	f0a58da2
𥍣	U+25363 (U+25363)	f0a58da3
𥍤	U+25364 (U+25364)	f0a58da4
𥍥	U+25365 (U+25365)	f0a58da5
𥍦	U+25366 (U+25366)	f0a58da6
𥍧	U+25367 (U+25367)	f0a58da7
𥍨	U+25368 (U+25368)	f0a58da8
𥍩	U+25369 (U+25369)	f0a58da9
𥍪	U+2536A (U+2536A)	f0a58daa
𥍫	U+2536B (U+2536B)	f0a58dab
𥍬	U+2536C (U+2536C)	f0a58dac
𥍭	U+2536D (U+2536D)	f0a58dad
𥍮	U+2536E (U+2536E)	f0a58dae
