𢝯	U+2276F (U+2276F)	f0a29daf
𢦊	U+2298A (U+2298A)	f0a2a68a
𢦋	U+2298B (U+2298B)	f0a2a68b
𢦌	U+2298C (U+2298C)	f0a2a68c
𢦍	U+2298D (U+2298D)	f0a2a68d
𢦎	U+2298E (U+2298E)	f0a2a68e
𢦏	to cut, wound, hurt (U+2298F)	f0a2a68f
𢦐	U+22990 (U+22990)	f0a2a690
𢦑	U+22991 (U+22991)	f0a2a691
𢦒	U+22992 (U+22992)	f0a2a692
𢦓	U+22993 (U+22993)	f0a2a693
𢦔	U+22994 (U+22994)	f0a2a694
𢦕	U+22995 (U+22995)	f0a2a695
𢦖	U+22996 (U+22996)	f0a2a696
𢦗	U+22997 (U+22997)	f0a2a697
𢦘	U+22998 (U+22998)	f0a2a698
𢦙	U+22999 (U+22999)	f0a2a699
𢦚	U+2299A (U+2299A)	f0a2a69a
𢦛	U+2299B (U+2299B)	f0a2a69b
𢦜	U+2299C (U+2299C)	f0a2a69c
𢦝	U+2299D (U+2299D)	f0a2a69d
𢦞	U+2299E (U+2299E)	f0a2a69e
𢦟	U+2299F (U+2299F)	f0a2a69f
𢦠	U+229A0 (U+229A0)	f0a2a6a0
𢦡	U+229A1 (U+229A1)	f0a2a6a1
𢦢	U+229A2 (U+229A2)	f0a2a6a2
𢦣	U+229A3 (U+229A3)	f0a2a6a3
𢦤	U+229A4 (U+229A4)	f0a2a6a4
𢦥	U+229A5 (U+229A5)	f0a2a6a5
𢦦	U+229A6 (U+229A6)	f0a2a6a6
𢦧	U+229A7 (U+229A7)	f0a2a6a7
𢦨	U+229A8 (U+229A8)	f0a2a6a8
𢦩	U+229A9 (U+229A9)	f0a2a6a9
𢦪	U+229AA (U+229AA)	f0a2a6aa
𢦫	U+229AB (U+229AB)	f0a2a6ab
𢦬	U+229AC (U+229AC)	f0a2a6ac
𢦭	U+229AD (U+229AD)	f0a2a6ad
𢦮	U+229AE (U+229AE)	f0a2a6ae
𢦯	U+229AF (U+229AF)	f0a2a6af
𢦰	U+229B0 (U+229B0)	f0a2a6b0
𢦱	U+229B1 (U+229B1)	f0a2a6b1
𢦲	U+229B2 (U+229B2)	f0a2a6b2
𢦳	U+229B3 (U+229B3)	f0a2a6b3
𢦴	U+229B4 (U+229B4)	f0a2a6b4
𢦵	U+229B5 (U+229B5)	f0a2a6b5
𢦶	U+229B6 (U+229B6)	f0a2a6b6
𢦷	U+229B7 (U+229B7)	f0a2a6b7
𢦸	U+229B8 (U+229B8)	f0a2a6b8
𢦹	U+229B9 (U+229B9)	f0a2a6b9
𢦺	U+229BA (U+229BA)	f0a2a6ba
𢦻	U+229BB (U+229BB)	f0a2a6bb
𢦼	U+229BC (U+229BC)	f0a2a6bc
𢦽	U+229BD (U+229BD)	f0a2a6bd
𢦾	U+229BE (U+229BE)	f0a2a6be
𢦿	U+229BF (U+229BF)	f0a2a6bf
𢧀	U+229C0 (U+229C0)	f0a2a780
𢧁	U+229C1 (U+229C1)	f0a2a781
𢧂	U+229C2 (U+229C2)	f0a2a782
𢧃	U+229C3 (U+229C3)	f0a2a783
𢧄	U+229C4 (U+229C4)	f0a2a784
𢧅	U+229C5 (U+229C5)	f0a2a785
𢧆	U+229C6 (U+229C6)	f0a2a786
𢧇	U+229C7 (U+229C7)	f0a2a787
𢧈	U+229C8 (U+229C8)	f0a2a788
𢧉	U+229C9 (U+229C9)	f0a2a789
𢧊	U+229CA (U+229CA)	f0a2a78a
𢧋	U+229CB (U+229CB)	f0a2a78b
𢧌	U+229CC (U+229CC)	f0a2a78c
𢧍	U+229CD (U+229CD)	f0a2a78d
𢧎	U+229CE (U+229CE)	f0a2a78e
𢧏	U+229CF (U+229CF)	f0a2a78f
𢧐	U+229D0 (U+229D0)	f0a2a790
𢧑	U+229D1 (U+229D1)	f0a2a791
𢧒	U+229D2 (U+229D2)	f0a2a792
𢧓	U+229D3 (U+229D3)	f0a2a793
𢧔	U+229D4 (U+229D4)	f0a2a794
𢧕	U+229D5 (U+229D5)	f0a2a795
𢧖	U+229D6 (U+229D6)	f0a2a796
𢧗	U+229D7 (U+229D7)	f0a2a797
𢧘	U+229D8 (U+229D8)	f0a2a798
𢧙	U+229D9 (U+229D9)	f0a2a799
𢧚	U+229DA (U+229DA)	f0a2a79a
𢧛	U+229DB (U+229DB)	f0a2a79b
𢧜	U+229DC (U+229DC)	f0a2a79c
𢧝	U+229DD (U+229DD)	f0a2a79d
𢧞	U+229DE (U+229DE)	f0a2a79e
𢧟	U+229DF (U+229DF)	f0a2a79f
𢧠	U+229E0 (U+229E0)	f0a2a7a0
𢧡	U+229E1 (U+229E1)	f0a2a7a1
𢧢	U+229E2 (U+229E2)	f0a2a7a2
𢧣	U+229E3 (U+229E3)	f0a2a7a3
𢧤	U+229E4 (U+229E4)	f0a2a7a4
𢧥	U+229E5 (U+229E5)	f0a2a7a5
𢧦	U+229E6 (U+229E6)	f0a2a7a6
𢧧	U+229E7 (U+229E7)	f0a2a7a7
𢧨	U+229E8 (U+229E8)	f0a2a7a8
𢧩	U+229E9 (U+229E9)	f0a2a7a9
𢧪	U+229EA (U+229EA)	f0a2a7aa
𢧫	U+229EB (U+229EB)	f0a2a7ab
𢧬	U+229EC (U+229EC)	f0a2a7ac
𢧭	U+229ED (U+229ED)	f0a2a7ad
𢧮	U+229EE (U+229EE)	f0a2a7ae
𢧯	U+229EF (U+229EF)	f0a2a7af
𢧰	U+229F0 (U+229F0)	f0a2a7b0
𢧱	U+229F1 (U+229F1)	f0a2a7b1
𢧲	U+229F2 (U+229F2)	f0a2a7b2
𢧳	U+229F3 (U+229F3)	f0a2a7b3
𢧴	U+229F4 (U+229F4)	f0a2a7b4
𢧵	U+229F5 (U+229F5)	f0a2a7b5
𢧶	U+229F6 (U+229F6)	f0a2a7b6
𢧷	U+229F7 (U+229F7)	f0a2a7b7
𢧸	U+229F8 (U+229F8)	f0a2a7b8
𢧹	U+229F9 (U+229F9)	f0a2a7b9
𢧺	U+229FA (U+229FA)	f0a2a7ba
𢧻	U+229FB (U+229FB)	f0a2a7bb
𢧼	U+229FC (U+229FC)	f0a2a7bc
𢧽	U+229FD (U+229FD)	f0a2a7bd
𢧾	U+229FE (U+229FE)	f0a2a7be
𢧿	U+229FF (U+229FF)	f0a2a7bf
𢨀	U+22A00 (U+22A00)	f0a2a880
𢨁	U+22A01 (U+22A01)	f0a2a881
𢨂	U+22A02 (U+22A02)	f0a2a882
𢨃	U+22A03 (U+22A03)	f0a2a883
𢨄	U+22A04 (U+22A04)	f0a2a884
𢨅	U+22A05 (U+22A05)	f0a2a885
𢨆	U+22A06 (U+22A06)	f0a2a886
𢨇	U+22A07 (U+22A07)	f0a2a887
𢨈	U+22A08 (U+22A08)	f0a2a888
𢨉	U+22A09 (U+22A09)	f0a2a889
𢨊	U+22A0A (U+22A0A)	f0a2a88a
𢨋	U+22A0B (U+22A0B)	f0a2a88b
𢨌	U+22A0C (U+22A0C)	f0a2a88c
𢨍	U+22A0D (U+22A0D)	f0a2a88d
𢨎	U+22A0E (U+22A0E)	f0a2a88e
𢨏	U+22A0F (U+22A0F)	f0a2a88f
𢨐	U+22A10 (U+22A10)	f0a2a890
𢨑	U+22A11 (U+22A11)	f0a2a891
𢨒	U+22A12 (U+22A12)	f0a2a892
𢨓	U+22A13 (U+22A13)	f0a2a893
𢨔	U+22A14 (U+22A14)	f0a2a894
𢨕	U+22A15 (U+22A15)	f0a2a895
𢨖	U+22A16 (U+22A16)	f0a2a896
𢨗	U+22A17 (U+22A17)	f0a2a897
𢨘	U+22A18 (U+22A18)	f0a2a898
𢨙	U+22A19 (U+22A19)	f0a2a899
𢨚	U+22A1A (U+22A1A)	f0a2a89a
𢨛	U+22A1B (U+22A1B)	f0a2a89b
𢨜	U+22A1C (U+22A1C)	f0a2a89c
𢨝	U+22A1D (U+22A1D)	f0a2a89d
𢨞	U+22A1E (U+22A1E)	f0a2a89e
𢨟	U+22A1F (U+22A1F)	f0a2a89f
𢨠	U+22A20 (U+22A20)	f0a2a8a0
𢨡	U+22A21 (U+22A21)	f0a2a8a1
𢨢	U+22A22 (U+22A22)	f0a2a8a2
𢨣	U+22A23 (U+22A23)	f0a2a8a3
𢨤	U+22A24 (U+22A24)	f0a2a8a4
𢨥	U+22A25 (U+22A25)	f0a2a8a5
𢨦	U+22A26 (U+22A26)	f0a2a8a6
𢨧	U+22A27 (U+22A27)	f0a2a8a7
𢨨	U+22A28 (U+22A28)	f0a2a8a8
𢨩	U+22A29 (U+22A29)	f0a2a8a9
𢨪	U+22A2A (U+22A2A)	f0a2a8aa
𢨫	U+22A2B (U+22A2B)	f0a2a8ab
𢨬	U+22A2C (U+22A2C)	f0a2a8ac
𢨭	U+22A2D (U+22A2D)	f0a2a8ad
𢨮	U+22A2E (U+22A2E)	f0a2a8ae
𢨯	U+22A2F (U+22A2F)	f0a2a8af
𢨰	U+22A30 (U+22A30)	f0a2a8b0
𢨱	U+22A31 (U+22A31)	f0a2a8b1
𢨲	U+22A32 (U+22A32)	f0a2a8b2
𢨳	U+22A33 (U+22A33)	f0a2a8b3
𢨴	U+22A34 (U+22A34)	f0a2a8b4
𢨵	U+22A35 (U+22A35)	f0a2a8b5
𢨶	U+22A36 (U+22A36)	f0a2a8b6
𢨷	U+22A37 (U+22A37)	f0a2a8b7
𢨸	U+22A38 (U+22A38)	f0a2a8b8
𢨹	U+22A39 (U+22A39)	f0a2a8b9
𢨺	U+22A3A (U+22A3A)	f0a2a8ba
𢨻	U+22A3B (U+22A3B)	f0a2a8bb
𢨼	U+22A3C (U+22A3C)	f0a2a8bc
𢨽	U+22A3D (U+22A3D)	f0a2a8bd
𢨾	U+22A3E (U+22A3E)	f0a2a8be
𢨿	U+22A3F (U+22A3F)	f0a2a8bf
𢩀	U+22A40 (U+22A40)	f0a2a980
𢩁	U+22A41 (U+22A41)	f0a2a981
𢩂	U+22A42 (U+22A42)	f0a2a982
𢩃	U+22A43 (U+22A43)	f0a2a983
𢩄	U+22A44 (U+22A44)	f0a2a984
𢩅	U+22A45 (U+22A45)	f0a2a985
𢩆	U+22A46 (U+22A46)	f0a2a986
𢩇	U+22A47 (U+22A47)	f0a2a987
𢩈	U+22A48 (U+22A48)	f0a2a988
𢩉	U+22A49 (U+22A49)	f0a2a989
𢩊	U+22A4A (U+22A4A)	f0a2a98a
𢩋	U+22A4B (U+22A4B)	f0a2a98b
𢩌	U+22A4C (U+22A4C)	f0a2a98c
𢩍	U+22A4D (U+22A4D)	f0a2a98d
𢩎	U+22A4E (U+22A4E)	f0a2a98e
𢩏	U+22A4F (U+22A4F)	f0a2a98f
𢩐	U+22A50 (U+22A50)	f0a2a990
𢩑	U+22A51 (U+22A51)	f0a2a991
𢩒	U+22A52 (U+22A52)	f0a2a992
𢩓	U+22A53 (U+22A53)	f0a2a993
𢩔	U+22A54 (U+22A54)	f0a2a994
𢩕	U+22A55 (U+22A55)	f0a2a995
𢩖	U+22A56 (U+22A56)	f0a2a996
𢩗	U+22A57 (U+22A57)	f0a2a997
𢩘	U+22A58 (U+22A58)	f0a2a998
𢩙	U+22A59 (U+22A59)	f0a2a999
𢩚	U+22A5A (U+22A5A)	f0a2a99a
𢩛	U+22A5B (U+22A5B)	f0a2a99b
𢩜	U+22A5C (U+22A5C)	f0a2a99c
𢩝	U+22A5D (U+22A5D)	f0a2a99d
𢩞	U+22A5E (U+22A5E)	f0a2a99e
𢩟	U+22A5F (U+22A5F)	f0a2a99f
𢩠	U+22A60 (U+22A60)	f0a2a9a0
𢩡	U+22A61 (U+22A61)	f0a2a9a1
𢩢	U+22A62 (U+22A62)	f0a2a9a2
𢩣	U+22A63 (U+22A63)	f0a2a9a3
𢩤	U+22A64 (U+22A64)	f0a2a9a4
𢩥	U+22A65 (U+22A65)	f0a2a9a5
𢩦	(Cant.) to squeeze out (as from a tube); to tickle (U+22A66)	f0a2a9a6
𢩧	U+22A67 (U+22A67)	f0a2a9a7
𢩨	U+22A68 (U+22A68)	f0a2a9a8
𢩩	U+22A69 (U+22A69)	f0a2a9a9
𢩪	U+22A6A (U+22A6A)	f0a2a9aa
𢩫	U+22A6B (U+22A6B)	f0a2a9ab
𢩬	U+22A6C (U+22A6C)	f0a2a9ac
𢩭	U+22A6D (U+22A6D)	f0a2a9ad
𢩮	U+22A6E (U+22A6E)	f0a2a9ae
𢩯	U+22A6F (U+22A6F)	f0a2a9af
𢩰	U+22A70 (U+22A70)	f0a2a9b0
𢩱	U+22A71 (U+22A71)	f0a2a9b1
𢩲	U+22A72 (U+22A72)	f0a2a9b2
𢩳	U+22A73 (U+22A73)	f0a2a9b3
𢩴	U+22A74 (U+22A74)	f0a2a9b4
𢩵	U+22A75 (U+22A75)	f0a2a9b5
𢩶	U+22A76 (U+22A76)	f0a2a9b6
𢩷	U+22A77 (U+22A77)	f0a2a9b7
𢩸	U+22A78 (U+22A78)	f0a2a9b8
𢩹	U+22A79 (U+22A79)	f0a2a9b9
𢩺	U+22A7A (U+22A7A)	f0a2a9ba
𢩻	U+22A7B (U+22A7B)	f0a2a9bb
𢩼	U+22A7C (U+22A7C)	f0a2a9bc
𢩽	U+22A7D (U+22A7D)	f0a2a9bd
𢩾	U+22A7E (U+22A7E)	f0a2a9be
𢩿	U+22A7F (U+22A7F)	f0a2a9bf
𢪀	U+22A80 (U+22A80)	f0a2aa80
𢪁	U+22A81 (U+22A81)	f0a2aa81
𢪂	U+22A82 (U+22A82)	f0a2aa82
𢪃	U+22A83 (U+22A83)	f0a2aa83
𢪄	U+22A84 (U+22A84)	f0a2aa84
𢪅	U+22A85 (U+22A85)	f0a2aa85
𢪆	U+22A86 (U+22A86)	f0a2aa86
𢪇	U+22A87 (U+22A87)	f0a2aa87
𢪈	U+22A88 (U+22A88)	f0a2aa88
𢪉	U+22A89 (U+22A89)	f0a2aa89
𢪊	U+22A8A (U+22A8A)	f0a2aa8a
𢪋	U+22A8B (U+22A8B)	f0a2aa8b
𢪌	U+22A8C (U+22A8C)	f0a2aa8c
𢪍	U+22A8D (U+22A8D)	f0a2aa8d
𢪎	U+22A8E (U+22A8E)	f0a2aa8e
𢪏	U+22A8F (U+22A8F)	f0a2aa8f
𢪐	U+22A90 (U+22A90)	f0a2aa90
𢪑	U+22A91 (U+22A91)	f0a2aa91
𢪒	U+22A92 (U+22A92)	f0a2aa92
𢪓	U+22A93 (U+22A93)	f0a2aa93
𢪔	U+22A94 (U+22A94)	f0a2aa94
𢪕	U+22A95 (U+22A95)	f0a2aa95
𢪖	U+22A96 (U+22A96)	f0a2aa96
𢪗	U+22A97 (U+22A97)	f0a2aa97
𢪘	U+22A98 (U+22A98)	f0a2aa98
𢪙	U+22A99 (U+22A99)	f0a2aa99
𢪚	U+22A9A (U+22A9A)	f0a2aa9a
𢪛	U+22A9B (U+22A9B)	f0a2aa9b
𢪜	U+22A9C (U+22A9C)	f0a2aa9c
𢪝	U+22A9D (U+22A9D)	f0a2aa9d
𢪞	U+22A9E (U+22A9E)	f0a2aa9e
𢪟	U+22A9F (U+22A9F)	f0a2aa9f
𢪠	U+22AA0 (U+22AA0)	f0a2aaa0
𢪡	U+22AA1 (U+22AA1)	f0a2aaa1
𢪢	U+22AA2 (U+22AA2)	f0a2aaa2
𢪣	U+22AA3 (U+22AA3)	f0a2aaa3
𢪤	U+22AA4 (U+22AA4)	f0a2aaa4
𢪥	U+22AA5 (U+22AA5)	f0a2aaa5
𢪦	U+22AA6 (U+22AA6)	f0a2aaa6
𢪧	U+22AA7 (U+22AA7)	f0a2aaa7
𢪨	U+22AA8 (U+22AA8)	f0a2aaa8
𢪩	U+22AA9 (U+22AA9)	f0a2aaa9
𢪪	U+22AAA (U+22AAA)	f0a2aaaa
𢪫	U+22AAB (U+22AAB)	f0a2aaab
𢪬	U+22AAC (U+22AAC)	f0a2aaac
𢪭	U+22AAD (U+22AAD)	f0a2aaad
𢪮	U+22AAE (U+22AAE)	f0a2aaae
𢪯	U+22AAF (U+22AAF)	f0a2aaaf
𢪰	U+22AB0 (U+22AB0)	f0a2aab0
𢪱	U+22AB1 (U+22AB1)	f0a2aab1
𢪲	U+22AB2 (U+22AB2)	f0a2aab2
𢪳	U+22AB3 (U+22AB3)	f0a2aab3
𢪴	U+22AB4 (U+22AB4)	f0a2aab4
𢪵	U+22AB5 (U+22AB5)	f0a2aab5
𢪶	U+22AB6 (U+22AB6)	f0a2aab6
𢪷	U+22AB7 (U+22AB7)	f0a2aab7
𢪸	U+22AB8 (U+22AB8)	f0a2aab8
𢪹	U+22AB9 (U+22AB9)	f0a2aab9
𢪺	U+22ABA (U+22ABA)	f0a2aaba
𢪻	U+22ABB (U+22ABB)	f0a2aabb
𢪼	U+22ABC (U+22ABC)	f0a2aabc
𢪽	U+22ABD (U+22ABD)	f0a2aabd
𢪾	U+22ABE (U+22ABE)	f0a2aabe
𢪿	U+22ABF (U+22ABF)	f0a2aabf
𢫀	U+22AC0 (U+22AC0)	f0a2ab80
𢫁	U+22AC1 (U+22AC1)	f0a2ab81
𢫂	U+22AC2 (U+22AC2)	f0a2ab82
𢫃	U+22AC3 (U+22AC3)	f0a2ab83
𢫄	U+22AC4 (U+22AC4)	f0a2ab84
𢫅	U+22AC5 (U+22AC5)	f0a2ab85
𢫆	U+22AC6 (U+22AC6)	f0a2ab86
𢫇	U+22AC7 (U+22AC7)	f0a2ab87
𢫈	U+22AC8 (U+22AC8)	f0a2ab88
𢫉	U+22AC9 (U+22AC9)	f0a2ab89
𢫊	U+22ACA (U+22ACA)	f0a2ab8a
𢫋	U+22ACB (U+22ACB)	f0a2ab8b
𢫌	U+22ACC (U+22ACC)	f0a2ab8c
𢫍	U+22ACD (U+22ACD)	f0a2ab8d
𢫎	U+22ACE (U+22ACE)	f0a2ab8e
𢫏	(Cant.) to cover (U+22ACF)	f0a2ab8f
𢫐	U+22AD0 (U+22AD0)	f0a2ab90
𢫑	U+22AD1 (U+22AD1)	f0a2ab91
𢫒	U+22AD2 (U+22AD2)	f0a2ab92
𢫓	U+22AD3 (U+22AD3)	f0a2ab93
𢫔	U+22AD4 (U+22AD4)	f0a2ab94
𢫕	(Cant.) to throw away (U+22AD5)	f0a2ab95
𢫖	U+22AD6 (U+22AD6)	f0a2ab96
𢫗	U+22AD7 (U+22AD7)	f0a2ab97
𢫘	U+22AD8 (U+22AD8)	f0a2ab98
𢫙	U+22AD9 (U+22AD9)	f0a2ab99
𢫚	U+22ADA (U+22ADA)	f0a2ab9a
𢫛	U+22ADB (U+22ADB)	f0a2ab9b
𢫜	U+22ADC (U+22ADC)	f0a2ab9c
𢫝	U+22ADD (U+22ADD)	f0a2ab9d
𢫞	U+22ADE (U+22ADE)	f0a2ab9e
𢫟	U+22ADF (U+22ADF)	f0a2ab9f
𢫠	U+22AE0 (U+22AE0)	f0a2aba0
𢫡	U+22AE1 (U+22AE1)	f0a2aba1
𢫢	U+22AE2 (U+22AE2)	f0a2aba2
𢫣	U+22AE3 (U+22AE3)	f0a2aba3
𢫤	U+22AE4 (U+22AE4)	f0a2aba4
𢫥	U+22AE5 (U+22AE5)	f0a2aba5
𢫦	variant of 拍, to clap, tap, beat; a beat or rhythm (U+22AE6)	f0a2aba6
𢫧	U+22AE7 (U+22AE7)	f0a2aba7
𢫨	(Cant.) to push from behind (U+22AE8)	f0a2aba8
𢫩	U+22AE9 (U+22AE9)	f0a2aba9
𢫪	U+22AEA (U+22AEA)	f0a2abaa
𢫫	(Cant.) to rub (U+22AEB)	f0a2abab
𢫬	U+22AEC (U+22AEC)	f0a2abac
𢫭	U+22AED (U+22AED)	f0a2abad
𢫮	U+22AEE (U+22AEE)	f0a2abae
𢫯	U+22AEF (U+22AEF)	f0a2abaf
𢫰	U+22AF0 (U+22AF0)	f0a2abb0
𢫱	U+22AF1 (U+22AF1)	f0a2abb1
𢫲	U+22AF2 (U+22AF2)	f0a2abb2
𢫳	U+22AF3 (U+22AF3)	f0a2abb3
𢫴	U+22AF4 (U+22AF4)	f0a2abb4
𢫵	U+22AF5 (U+22AF5)	f0a2abb5
𢫶	U+22AF6 (U+22AF6)	f0a2abb6
𢫷	U+22AF7 (U+22AF7)	f0a2abb7
𢫸	U+22AF8 (U+22AF8)	f0a2abb8
𢫹	U+22AF9 (U+22AF9)	f0a2abb9
𢫺	U+22AFA (U+22AFA)	f0a2abba
𢫻	U+22AFB (U+22AFB)	f0a2abbb
𢫼	U+22AFC (U+22AFC)	f0a2abbc
𢫽	U+22AFD (U+22AFD)	f0a2abbd
𢫾	U+22AFE (U+22AFE)	f0a2abbe
𢫿	U+22AFF (U+22AFF)	f0a2abbf
𢬀	U+22B00 (U+22B00)	f0a2ac80
𢬁	U+22B01 (U+22B01)	f0a2ac81
𢬂	U+22B02 (U+22B02)	f0a2ac82
𢬃	U+22B03 (U+22B03)	f0a2ac83
𢬄	U+22B04 (U+22B04)	f0a2ac84
𢬅	U+22B05 (U+22B05)	f0a2ac85
𢬆	U+22B06 (U+22B06)	f0a2ac86
𢬇	U+22B07 (U+22B07)	f0a2ac87
𢬈	U+22B08 (U+22B08)	f0a2ac88
𢬉	U+22B09 (U+22B09)	f0a2ac89
𢬊	U+22B0A (U+22B0A)	f0a2ac8a
𢬋	U+22B0B (U+22B0B)	f0a2ac8b
𢬌	U+22B0C (U+22B0C)	f0a2ac8c
𢬍	U+22B0D (U+22B0D)	f0a2ac8d
𢬎	U+22B0E (U+22B0E)	f0a2ac8e
𢬏	U+22B0F (U+22B0F)	f0a2ac8f
𢬐	U+22B10 (U+22B10)	f0a2ac90
𢬑	U+22B11 (U+22B11)	f0a2ac91
𢬒	U+22B12 (U+22B12)	f0a2ac92
𢬓	U+22B13 (U+22B13)	f0a2ac93
𢬔	U+22B14 (U+22B14)	f0a2ac94
𢬕	U+22B15 (U+22B15)	f0a2ac95
𢬖	U+22B16 (U+22B16)	f0a2ac96
𢬗	U+22B17 (U+22B17)	f0a2ac97
𢬘	U+22B18 (U+22B18)	f0a2ac98
𢬙	U+22B19 (U+22B19)	f0a2ac99
𢬚	U+22B1A (U+22B1A)	f0a2ac9a
𢬛	U+22B1B (U+22B1B)	f0a2ac9b
𢬜	U+22B1C (U+22B1C)	f0a2ac9c
𢬝	U+22B1D (U+22B1D)	f0a2ac9d
𢬞	U+22B1E (U+22B1E)	f0a2ac9e
𢬟	U+22B1F (U+22B1F)	f0a2ac9f
𢬠	U+22B20 (U+22B20)	f0a2aca0
𢬡	U+22B21 (U+22B21)	f0a2aca1
𢬢	U+22B22 (U+22B22)	f0a2aca2
𢬣	U+22B23 (U+22B23)	f0a2aca3
𢬤	U+22B24 (U+22B24)	f0a2aca4
𢬥	U+22B25 (U+22B25)	f0a2aca5
𢬦	U+22B26 (U+22B26)	f0a2aca6
𢬧	U+22B27 (U+22B27)	f0a2aca7
𢬨	U+22B28 (U+22B28)	f0a2aca8
𢬩	U+22B29 (U+22B29)	f0a2aca9
𢬪	U+22B2A (U+22B2A)	f0a2acaa
𢬫	U+22B2B (U+22B2B)	f0a2acab
𢬬	U+22B2C (U+22B2C)	f0a2acac
𢬭	U+22B2D (U+22B2D)	f0a2acad
𢬮	U+22B2E (U+22B2E)	f0a2acae
𢬯	U+22B2F (U+22B2F)	f0a2acaf
𢬰	U+22B30 (U+22B30)	f0a2acb0
𢬱	U+22B31 (U+22B31)	f0a2acb1
𢬲	U+22B32 (U+22B32)	f0a2acb2
𢬳	U+22B33 (U+22B33)	f0a2acb3
𢬴	U+22B34 (U+22B34)	f0a2acb4
𢬵	U+22B35 (U+22B35)	f0a2acb5
𢬶	U+22B36 (U+22B36)	f0a2acb6
𢬷	U+22B37 (U+22B37)	f0a2acb7
𢬸	U+22B38 (U+22B38)	f0a2acb8
𢬹	U+22B39 (U+22B39)	f0a2acb9
𢬺	U+22B3A (U+22B3A)	f0a2acba
𢬻	U+22B3B (U+22B3B)	f0a2acbb
𢬼	U+22B3C (U+22B3C)	f0a2acbc
𢬽	U+22B3D (U+22B3D)	f0a2acbd
𢬾	U+22B3E (U+22B3E)	f0a2acbe
𢬿	(Cant.) sections or wedges (as of fruit); to take in the hand; to use (U+22B3F)	f0a2acbf
𢭀	U+22B40 (U+22B40)	f0a2ad80
𢭁	U+22B41 (U+22B41)	f0a2ad81
𢭂	U+22B42 (U+22B42)	f0a2ad82
𢭃	(Cant.) to touch; to bump into; to take, get, receive; to lightly support something with the hand (U+22B43)	f0a2ad83
𢭄	U+22B44 (U+22B44)	f0a2ad84
𢭅	U+22B45 (U+22B45)	f0a2ad85
𢭆	to draw out; to levy; to strike (U+22B46)	f0a2ad86
𢭇	U+22B47 (U+22B47)	f0a2ad87
𢭈	U+22B48 (U+22B48)	f0a2ad88
𢭉	U+22B49 (U+22B49)	f0a2ad89
𢭊	U+22B4A (U+22B4A)	f0a2ad8a
𢭋	U+22B4B (U+22B4B)	f0a2ad8b
𢭌	U+22B4C (U+22B4C)	f0a2ad8c
𢭍	U+22B4D (U+22B4D)	f0a2ad8d
𢭎	U+22B4E (U+22B4E)	f0a2ad8e
𢭏	U+22B4F (U+22B4F)	f0a2ad8f
𢭐	U+22B50 (U+22B50)	f0a2ad90
𢭑	U+22B51 (U+22B51)	f0a2ad91
𢭒	U+22B52 (U+22B52)	f0a2ad92
𢭓	U+22B53 (U+22B53)	f0a2ad93
𢭔	U+22B54 (U+22B54)	f0a2ad94
𢭕	U+22B55 (U+22B55)	f0a2ad95
𢭖	U+22B56 (U+22B56)	f0a2ad96
𢭗	U+22B57 (U+22B57)	f0a2ad97
𢭘	U+22B58 (U+22B58)	f0a2ad98
𢭙	U+22B59 (U+22B59)	f0a2ad99
𢭚	U+22B5A (U+22B5A)	f0a2ad9a
𢭛	U+22B5B (U+22B5B)	f0a2ad9b
𢭜	U+22B5C (U+22B5C)	f0a2ad9c
𢭝	U+22B5D (U+22B5D)	f0a2ad9d
𢭞	U+22B5E (U+22B5E)	f0a2ad9e
𢭟	U+22B5F (U+22B5F)	f0a2ad9f
𢭠	U+22B60 (U+22B60)	f0a2ada0
𢭡	U+22B61 (U+22B61)	f0a2ada1
𢭢	U+22B62 (U+22B62)	f0a2ada2
𢭣	U+22B63 (U+22B63)	f0a2ada3
𢭤	U+22B64 (U+22B64)	f0a2ada4
𢭥	U+22B65 (U+22B65)	f0a2ada5
𢭦	U+22B66 (U+22B66)	f0a2ada6
𢭧	U+22B67 (U+22B67)	f0a2ada7
𢭨	U+22B68 (U+22B68)	f0a2ada8
𢭩	U+22B69 (U+22B69)	f0a2ada9
𢭪	U+22B6A (U+22B6A)	f0a2adaa
𢭫	U+22B6B (U+22B6B)	f0a2adab
𢭬	U+22B6C (U+22B6C)	f0a2adac
𢭭	U+22B6D (U+22B6D)	f0a2adad
𢭮	U+22B6E (U+22B6E)	f0a2adae
