𪍯	U+2A36F (U+2A36F)	f0aa8daf
𪕛	U+2A55B (U+2A55B)	f0aa959b
𪕜	U+2A55C (U+2A55C)	f0aa959c
𪕝	U+2A55D (U+2A55D)	f0aa959d
𪕞	U+2A55E (U+2A55E)	f0aa959e
𪕟	U+2A55F (U+2A55F)	f0aa959f
𪕠	U+2A560 (U+2A560)	f0aa95a0
𪕡	U+2A561 (U+2A561)	f0aa95a1
𪕢	U+2A562 (U+2A562)	f0aa95a2
𪕣	U+2A563 (U+2A563)	f0aa95a3
𪕤	U+2A564 (U+2A564)	f0aa95a4
𪕥	U+2A565 (U+2A565)	f0aa95a5
𪕦	U+2A566 (U+2A566)	f0aa95a6
𪕧	U+2A567 (U+2A567)	f0aa95a7
𪕨	U+2A568 (U+2A568)	f0aa95a8
𪕩	U+2A569 (U+2A569)	f0aa95a9
𪕪	U+2A56A (U+2A56A)	f0aa95aa
𪕫	U+2A56B (U+2A56B)	f0aa95ab
𪕬	U+2A56C (U+2A56C)	f0aa95ac
𪕭	U+2A56D (U+2A56D)	f0aa95ad
𪕮	U+2A56E (U+2A56E)	f0aa95ae
𪕯	U+2A56F (U+2A56F)	f0aa95af
𪕰	U+2A570 (U+2A570)	f0aa95b0
𪕱	U+2A571 (U+2A571)	f0aa95b1
𪕲	U+2A572 (U+2A572)	f0aa95b2
𪕳	U+2A573 (U+2A573)	f0aa95b3
𪕴	U+2A574 (U+2A574)	f0aa95b4
𪕵	U+2A575 (U+2A575)	f0aa95b5
𪕶	U+2A576 (U+2A576)	f0aa95b6
𪕷	U+2A577 (U+2A577)	f0aa95b7
𪕸	U+2A578 (U+2A578)	f0aa95b8
𪕹	U+2A579 (U+2A579)	f0aa95b9
𪕺	U+2A57A (U+2A57A)	f0aa95ba
𪕻	U+2A57B (U+2A57B)	f0aa95bb
𪕼	U+2A57C (U+2A57C)	f0aa95bc
𪕽	U+2A57D (U+2A57D)	f0aa95bd
𪕾	U+2A57E (U+2A57E)	f0aa95be
𪕿	U+2A57F (U+2A57F)	f0aa95bf
𪖀	U+2A580 (U+2A580)	f0aa9680
𪖁	U+2A581 (U+2A581)	f0aa9681
𪖂	U+2A582 (U+2A582)	f0aa9682
𪖃	U+2A583 (U+2A583)	f0aa9683
𪖄	U+2A584 (U+2A584)	f0aa9684
𪖅	U+2A585 (U+2A585)	f0aa9685
𪖆	U+2A586 (U+2A586)	f0aa9686
𪖇	U+2A587 (U+2A587)	f0aa9687
𪖈	U+2A588 (U+2A588)	f0aa9688
𪖉	U+2A589 (U+2A589)	f0aa9689
𪖊	U+2A58A (U+2A58A)	f0aa968a
𪖋	U+2A58B (U+2A58B)	f0aa968b
𪖌	U+2A58C (U+2A58C)	f0aa968c
𪖍	U+2A58D (U+2A58D)	f0aa968d
𪖎	U+2A58E (U+2A58E)	f0aa968e
𪖏	U+2A58F (U+2A58F)	f0aa968f
𪖐	U+2A590 (U+2A590)	f0aa9690
𪖑	U+2A591 (U+2A591)	f0aa9691
𪖒	U+2A592 (U+2A592)	f0aa9692
𪖓	U+2A593 (U+2A593)	f0aa9693
𪖔	U+2A594 (U+2A594)	f0aa9694
𪖕	U+2A595 (U+2A595)	f0aa9695
𪖖	U+2A596 (U+2A596)	f0aa9696
𪖗	U+2A597 (U+2A597)	f0aa9697
𪖘	U+2A598 (U+2A598)	f0aa9698
𪖙	to snore (U+2A599)	f0aa9699
𪖚	U+2A59A (U+2A59A)	f0aa969a
𪖛	U+2A59B (U+2A59B)	f0aa969b
𪖜	U+2A59C (U+2A59C)	f0aa969c
𪖝	U+2A59D (U+2A59D)	f0aa969d
𪖞	U+2A59E (U+2A59E)	f0aa969e
𪖟	U+2A59F (U+2A59F)	f0aa969f
𪖠	U+2A5A0 (U+2A5A0)	f0aa96a0
𪖡	U+2A5A1 (U+2A5A1)	f0aa96a1
𪖢	U+2A5A2 (U+2A5A2)	f0aa96a2
𪖣	U+2A5A3 (U+2A5A3)	f0aa96a3
𪖤	U+2A5A4 (U+2A5A4)	f0aa96a4
𪖥	U+2A5A5 (U+2A5A5)	f0aa96a5
𪖦	U+2A5A6 (U+2A5A6)	f0aa96a6
𪖧	U+2A5A7 (U+2A5A7)	f0aa96a7
𪖨	U+2A5A8 (U+2A5A8)	f0aa96a8
𪖩	U+2A5A9 (U+2A5A9)	f0aa96a9
𪖪	U+2A5AA (U+2A5AA)	f0aa96aa
𪖫	U+2A5AB (U+2A5AB)	f0aa96ab
𪖬	U+2A5AC (U+2A5AC)	f0aa96ac
𪖭	U+2A5AD (U+2A5AD)	f0aa96ad
𪖮	U+2A5AE (U+2A5AE)	f0aa96ae
𪖯	U+2A5AF (U+2A5AF)	f0aa96af
𪖰	U+2A5B0 (U+2A5B0)	f0aa96b0
𪖱	U+2A5B1 (U+2A5B1)	f0aa96b1
𪖲	U+2A5B2 (U+2A5B2)	f0aa96b2
𪖳	U+2A5B3 (U+2A5B3)	f0aa96b3
𪖴	U+2A5B4 (U+2A5B4)	f0aa96b4
𪖵	U+2A5B5 (U+2A5B5)	f0aa96b5
𪖶	U+2A5B6 (U+2A5B6)	f0aa96b6
𪖷	U+2A5B7 (U+2A5B7)	f0aa96b7
𪖸	U+2A5B8 (U+2A5B8)	f0aa96b8
𪖹	U+2A5B9 (U+2A5B9)	f0aa96b9
𪖺	U+2A5BA (U+2A5BA)	f0aa96ba
𪖻	U+2A5BB (U+2A5BB)	f0aa96bb
𪖼	U+2A5BC (U+2A5BC)	f0aa96bc
𪖽	U+2A5BD (U+2A5BD)	f0aa96bd
𪖾	U+2A5BE (U+2A5BE)	f0aa96be
𪖿	U+2A5BF (U+2A5BF)	f0aa96bf
𪗀	U+2A5C0 (U+2A5C0)	f0aa9780
𪗁	U+2A5C1 (U+2A5C1)	f0aa9781
𪗂	U+2A5C2 (U+2A5C2)	f0aa9782
𪗃	U+2A5C3 (U+2A5C3)	f0aa9783
𪗄	U+2A5C4 (U+2A5C4)	f0aa9784
𪗅	U+2A5C5 (U+2A5C5)	f0aa9785
𪗆	U+2A5C6 (U+2A5C6)	f0aa9786
𪗇	U+2A5C7 (U+2A5C7)	f0aa9787
𪗈	U+2A5C8 (U+2A5C8)	f0aa9788
𪗉	U+2A5C9 (U+2A5C9)	f0aa9789
𪗊	U+2A5CA (U+2A5CA)	f0aa978a
𪗋	U+2A5CB (U+2A5CB)	f0aa978b
𪗌	U+2A5CC (U+2A5CC)	f0aa978c
𪗍	U+2A5CD (U+2A5CD)	f0aa978d
𪗎	U+2A5CE (U+2A5CE)	f0aa978e
𪗏	U+2A5CF (U+2A5CF)	f0aa978f
𪗐	U+2A5D0 (U+2A5D0)	f0aa9790
𪗑	U+2A5D1 (U+2A5D1)	f0aa9791
𪗒	U+2A5D2 (U+2A5D2)	f0aa9792
𪗓	U+2A5D3 (U+2A5D3)	f0aa9793
𪗔	U+2A5D4 (U+2A5D4)	f0aa9794
𪗕	U+2A5D5 (U+2A5D5)	f0aa9795
𪗖	U+2A5D6 (U+2A5D6)	f0aa9796
𪗗	U+2A5D7 (U+2A5D7)	f0aa9797
𪗘	U+2A5D8 (U+2A5D8)	f0aa9798
𪗙	U+2A5D9 (U+2A5D9)	f0aa9799
𪗚	U+2A5DA (U+2A5DA)	f0aa979a
𪗛	U+2A5DB (U+2A5DB)	f0aa979b
𪗜	U+2A5DC (U+2A5DC)	f0aa979c
𪗝	U+2A5DD (U+2A5DD)	f0aa979d
𪗞	U+2A5DE (U+2A5DE)	f0aa979e
𪗟	U+2A5DF (U+2A5DF)	f0aa979f
𪗠	U+2A5E0 (U+2A5E0)	f0aa97a0
𪗡	U+2A5E1 (U+2A5E1)	f0aa97a1
𪗢	U+2A5E2 (U+2A5E2)	f0aa97a2
𪗣	U+2A5E3 (U+2A5E3)	f0aa97a3
𪗤	U+2A5E4 (U+2A5E4)	f0aa97a4
𪗥	U+2A5E5 (U+2A5E5)	f0aa97a5
𪗦	U+2A5E6 (U+2A5E6)	f0aa97a6
𪗧	U+2A5E7 (U+2A5E7)	f0aa97a7
𪗨	U+2A5E8 (U+2A5E8)	f0aa97a8
𪗩	U+2A5E9 (U+2A5E9)	f0aa97a9
𪗪	U+2A5EA (U+2A5EA)	f0aa97aa
𪗫	U+2A5EB (U+2A5EB)	f0aa97ab
𪗬	U+2A5EC (U+2A5EC)	f0aa97ac
𪗭	U+2A5ED (U+2A5ED)	f0aa97ad
𪗮	U+2A5EE (U+2A5EE)	f0aa97ae
𪗯	U+2A5EF (U+2A5EF)	f0aa97af
𪗰	U+2A5F0 (U+2A5F0)	f0aa97b0
𪗱	U+2A5F1 (U+2A5F1)	f0aa97b1
𪗲	U+2A5F2 (U+2A5F2)	f0aa97b2
𪗳	U+2A5F3 (U+2A5F3)	f0aa97b3
𪗴	U+2A5F4 (U+2A5F4)	f0aa97b4
𪗵	U+2A5F5 (U+2A5F5)	f0aa97b5
𪗶	U+2A5F6 (U+2A5F6)	f0aa97b6
𪗷	U+2A5F7 (U+2A5F7)	f0aa97b7
𪗸	U+2A5F8 (U+2A5F8)	f0aa97b8
𪗹	U+2A5F9 (U+2A5F9)	f0aa97b9
𪗺	U+2A5FA (U+2A5FA)	f0aa97ba
𪗻	U+2A5FB (U+2A5FB)	f0aa97bb
𪗼	U+2A5FC (U+2A5FC)	f0aa97bc
𪗽	U+2A5FD (U+2A5FD)	f0aa97bd
𪗾	U+2A5FE (U+2A5FE)	f0aa97be
𪗿	U+2A5FF (U+2A5FF)	f0aa97bf
𪘀	U+2A600 (U+2A600)	f0aa9880
𪘁	(Cant.) to bite (U+2A601)	f0aa9881
𪘂	U+2A602 (U+2A602)	f0aa9882
𪘃	U+2A603 (U+2A603)	f0aa9883
𪘄	U+2A604 (U+2A604)	f0aa9884
𪘅	U+2A605 (U+2A605)	f0aa9885
𪘆	U+2A606 (U+2A606)	f0aa9886
𪘇	U+2A607 (U+2A607)	f0aa9887
𪘈	U+2A608 (U+2A608)	f0aa9888
𪘉	U+2A609 (U+2A609)	f0aa9889
𪘊	U+2A60A (U+2A60A)	f0aa988a
𪘋	U+2A60B (U+2A60B)	f0aa988b
𪘌	U+2A60C (U+2A60C)	f0aa988c
𪘍	U+2A60D (U+2A60D)	f0aa988d
𪘎	U+2A60E (U+2A60E)	f0aa988e
𪘏	U+2A60F (U+2A60F)	f0aa988f
𪘐	U+2A610 (U+2A610)	f0aa9890
𪘑	U+2A611 (U+2A611)	f0aa9891
𪘒	U+2A612 (U+2A612)	f0aa9892
𪘓	U+2A613 (U+2A613)	f0aa9893
𪘔	U+2A614 (U+2A614)	f0aa9894
𪘕	U+2A615 (U+2A615)	f0aa9895
𪘖	U+2A616 (U+2A616)	f0aa9896
𪘗	U+2A617 (U+2A617)	f0aa9897
𪘘	U+2A618 (U+2A618)	f0aa9898
𪘙	U+2A619 (U+2A619)	f0aa9899
𪘚	U+2A61A (U+2A61A)	f0aa989a
𪘛	U+2A61B (U+2A61B)	f0aa989b
𪘜	U+2A61C (U+2A61C)	f0aa989c
𪘝	U+2A61D (U+2A61D)	f0aa989d
𪘞	U+2A61E (U+2A61E)	f0aa989e
𪘟	U+2A61F (U+2A61F)	f0aa989f
𪘠	U+2A620 (U+2A620)	f0aa98a0
𪘡	U+2A621 (U+2A621)	f0aa98a1
𪘢	U+2A622 (U+2A622)	f0aa98a2
𪘣	U+2A623 (U+2A623)	f0aa98a3
𪘤	U+2A624 (U+2A624)	f0aa98a4
𪘥	U+2A625 (U+2A625)	f0aa98a5
𪘦	U+2A626 (U+2A626)	f0aa98a6
𪘧	U+2A627 (U+2A627)	f0aa98a7
𪘨	U+2A628 (U+2A628)	f0aa98a8
𪘩	U+2A629 (U+2A629)	f0aa98a9
𪘪	U+2A62A (U+2A62A)	f0aa98aa
𪘫	U+2A62B (U+2A62B)	f0aa98ab
𪘬	U+2A62C (U+2A62C)	f0aa98ac
𪘭	U+2A62D (U+2A62D)	f0aa98ad
𪘮	U+2A62E (U+2A62E)	f0aa98ae
𪘯	U+2A62F (U+2A62F)	f0aa98af
𪘰	U+2A630 (U+2A630)	f0aa98b0
𪘱	U+2A631 (U+2A631)	f0aa98b1
𪘲	(Cant.) to grin, smile (U+2A632)	f0aa98b2
𪘳	U+2A633 (U+2A633)	f0aa98b3
𪘴	U+2A634 (U+2A634)	f0aa98b4
𪘵	U+2A635 (U+2A635)	f0aa98b5
𪘶	U+2A636 (U+2A636)	f0aa98b6
𪘷	U+2A637 (U+2A637)	f0aa98b7
𪘸	U+2A638 (U+2A638)	f0aa98b8
𪘹	U+2A639 (U+2A639)	f0aa98b9
𪘺	U+2A63A (U+2A63A)	f0aa98ba
𪘻	U+2A63B (U+2A63B)	f0aa98bb
𪘼	U+2A63C (U+2A63C)	f0aa98bc
𪘽	U+2A63D (U+2A63D)	f0aa98bd
𪘾	U+2A63E (U+2A63E)	f0aa98be
𪘿	U+2A63F (U+2A63F)	f0aa98bf
𪙀	U+2A640 (U+2A640)	f0aa9980
𪙁	U+2A641 (U+2A641)	f0aa9981
𪙂	U+2A642 (U+2A642)	f0aa9982
𪙃	U+2A643 (U+2A643)	f0aa9983
𪙄	U+2A644 (U+2A644)	f0aa9984
𪙅	U+2A645 (U+2A645)	f0aa9985
𪙆	U+2A646 (U+2A646)	f0aa9986
𪙇	U+2A647 (U+2A647)	f0aa9987
𪙈	U+2A648 (U+2A648)	f0aa9988
𪙉	U+2A649 (U+2A649)	f0aa9989
𪙊	U+2A64A (U+2A64A)	f0aa998a
𪙋	U+2A64B (U+2A64B)	f0aa998b
𪙌	U+2A64C (U+2A64C)	f0aa998c
𪙍	U+2A64D (U+2A64D)	f0aa998d
𪙎	U+2A64E (U+2A64E)	f0aa998e
𪙏	U+2A64F (U+2A64F)	f0aa998f
𪙐	U+2A650 (U+2A650)	f0aa9990
𪙑	U+2A651 (U+2A651)	f0aa9991
𪙒	U+2A652 (U+2A652)	f0aa9992
𪙓	U+2A653 (U+2A653)	f0aa9993
𪙔	U+2A654 (U+2A654)	f0aa9994
𪙕	U+2A655 (U+2A655)	f0aa9995
𪙖	U+2A656 (U+2A656)	f0aa9996
𪙗	U+2A657 (U+2A657)	f0aa9997
𪙘	U+2A658 (U+2A658)	f0aa9998
𪙙	U+2A659 (U+2A659)	f0aa9999
𪙚	U+2A65A (U+2A65A)	f0aa999a
𪙛	(Cant.) decayed teeth; tongue-tied (U+2A65B)	f0aa999b
𪙜	U+2A65C (U+2A65C)	f0aa999c
𪙝	U+2A65D (U+2A65D)	f0aa999d
𪙞	U+2A65E (U+2A65E)	f0aa999e
𪙟	U+2A65F (U+2A65F)	f0aa999f
𪙠	U+2A660 (U+2A660)	f0aa99a0
𪙡	U+2A661 (U+2A661)	f0aa99a1
𪙢	U+2A662 (U+2A662)	f0aa99a2
𪙣	U+2A663 (U+2A663)	f0aa99a3
𪙤	U+2A664 (U+2A664)	f0aa99a4
𪙥	U+2A665 (U+2A665)	f0aa99a5
𪙦	U+2A666 (U+2A666)	f0aa99a6
𪙧	U+2A667 (U+2A667)	f0aa99a7
𪙨	U+2A668 (U+2A668)	f0aa99a8
𪙩	U+2A669 (U+2A669)	f0aa99a9
𪙪	U+2A66A (U+2A66A)	f0aa99aa
𪙫	U+2A66B (U+2A66B)	f0aa99ab
𪙬	U+2A66C (U+2A66C)	f0aa99ac
𪙭	U+2A66D (U+2A66D)	f0aa99ad
𪙮	U+2A66E (U+2A66E)	f0aa99ae
𪙯	U+2A66F (U+2A66F)	f0aa99af
𪙰	U+2A670 (U+2A670)	f0aa99b0
𪙱	U+2A671 (U+2A671)	f0aa99b1
𪙲	U+2A672 (U+2A672)	f0aa99b2
𪙳	U+2A673 (U+2A673)	f0aa99b3
𪙴	U+2A674 (U+2A674)	f0aa99b4
𪙵	U+2A675 (U+2A675)	f0aa99b5
𪙶	U+2A676 (U+2A676)	f0aa99b6
𪙷	U+2A677 (U+2A677)	f0aa99b7
𪙸	U+2A678 (U+2A678)	f0aa99b8
𪙹	U+2A679 (U+2A679)	f0aa99b9
𪙺	U+2A67A (U+2A67A)	f0aa99ba
𪙻	U+2A67B (U+2A67B)	f0aa99bb
𪙼	U+2A67C (U+2A67C)	f0aa99bc
𪙽	U+2A67D (U+2A67D)	f0aa99bd
𪙾	U+2A67E (U+2A67E)	f0aa99be
𪙿	U+2A67F (U+2A67F)	f0aa99bf
𪚀	U+2A680 (U+2A680)	f0aa9a80
𪚁	U+2A681 (U+2A681)	f0aa9a81
𪚂	U+2A682 (U+2A682)	f0aa9a82
𪚃	U+2A683 (U+2A683)	f0aa9a83
𪚄	U+2A684 (U+2A684)	f0aa9a84
𪚅	U+2A685 (U+2A685)	f0aa9a85
𪚆	U+2A686 (U+2A686)	f0aa9a86
𪚇	U+2A687 (U+2A687)	f0aa9a87
𪚈	U+2A688 (U+2A688)	f0aa9a88
𪚉	U+2A689 (U+2A689)	f0aa9a89
𪚊	U+2A68A (U+2A68A)	f0aa9a8a
𪚋	U+2A68B (U+2A68B)	f0aa9a8b
𪚌	U+2A68C (U+2A68C)	f0aa9a8c
𪚍	U+2A68D (U+2A68D)	f0aa9a8d
𪚎	U+2A68E (U+2A68E)	f0aa9a8e
𪚏	U+2A68F (U+2A68F)	f0aa9a8f
𪚐	U+2A690 (U+2A690)	f0aa9a90
𪚑	U+2A691 (U+2A691)	f0aa9a91
𪚒	U+2A692 (U+2A692)	f0aa9a92
𪚓	U+2A693 (U+2A693)	f0aa9a93
𪚔	U+2A694 (U+2A694)	f0aa9a94
𪚕	U+2A695 (U+2A695)	f0aa9a95
𪚖	U+2A696 (U+2A696)	f0aa9a96
𪚗	U+2A697 (U+2A697)	f0aa9a97
𪚘	U+2A698 (U+2A698)	f0aa9a98
𪚙	U+2A699 (U+2A699)	f0aa9a99
𪚚	U+2A69A (U+2A69A)	f0aa9a9a
𪚛	U+2A69B (U+2A69B)	f0aa9a9b
𪚜	U+2A69C (U+2A69C)	f0aa9a9c
𪚝	U+2A69D (U+2A69D)	f0aa9a9d
𪚞	U+2A69E (U+2A69E)	f0aa9a9e
𪚟	U+2A69F (U+2A69F)	f0aa9a9f
𪚠	U+2A6A0 (U+2A6A0)	f0aa9aa0
𪚡	U+2A6A1 (U+2A6A1)	f0aa9aa1
𪚢	U+2A6A2 (U+2A6A2)	f0aa9aa2
𪚣	U+2A6A3 (U+2A6A3)	f0aa9aa3
𪚤	U+2A6A4 (U+2A6A4)	f0aa9aa4
𪚥	U+2A6A5 (U+2A6A5)	f0aa9aa5
𪚦	U+2A6A6 (U+2A6A6)	f0aa9aa6
𪚧	U+2A6A7 (U+2A6A7)	f0aa9aa7
𪚨	U+2A6A8 (U+2A6A8)	f0aa9aa8
𪚩	(Cant.) sound of shouting (U+2A6A9)	f0aa9aa9
𪚪	U+2A6AA (U+2A6AA)	f0aa9aaa
𪚫	U+2A6AB (U+2A6AB)	f0aa9aab
𪚬	U+2A6AC (U+2A6AC)	f0aa9aac
𪚭	U+2A6AD (U+2A6AD)	f0aa9aad
𪚮	U+2A6AE (U+2A6AE)	f0aa9aae
𪚯	U+2A6AF (U+2A6AF)	f0aa9aaf
𪚰	U+2A6B0 (U+2A6B0)	f0aa9ab0
𪚱	U+2A6B1 (U+2A6B1)	f0aa9ab1
𪚲	U+2A6B2 (U+2A6B2)	f0aa9ab2
𪚳	U+2A6B3 (U+2A6B3)	f0aa9ab3
𪚴	U+2A6B4 (U+2A6B4)	f0aa9ab4
𪚵	U+2A6B5 (U+2A6B5)	f0aa9ab5
𪚶	U+2A6B6 (U+2A6B6)	f0aa9ab6
𪚷	U+2A6B7 (U+2A6B7)	f0aa9ab7
𪚸	U+2A6B8 (U+2A6B8)	f0aa9ab8
𪚹	U+2A6B9 (U+2A6B9)	f0aa9ab9
𪚺	U+2A6BA (U+2A6BA)	f0aa9aba
𪚻	U+2A6BB (U+2A6BB)	f0aa9abb
𪚼	U+2A6BC (U+2A6BC)	f0aa9abc
𪚽	U+2A6BD (U+2A6BD)	f0aa9abd
𪚾	U+2A6BE (U+2A6BE)	f0aa9abe
𪚿	U+2A6BF (U+2A6BF)	f0aa9abf
𪛀	U+2A6C0 (U+2A6C0)	f0aa9b80
𪛁	U+2A6C1 (U+2A6C1)	f0aa9b81
𪛂	U+2A6C2 (U+2A6C2)	f0aa9b82
𪛃	U+2A6C3 (U+2A6C3)	f0aa9b83
𪛄	U+2A6C4 (U+2A6C4)	f0aa9b84
𪛅	U+2A6C5 (U+2A6C5)	f0aa9b85
𪛆	U+2A6C6 (U+2A6C6)	f0aa9b86
𪛇	U+2A6C7 (U+2A6C7)	f0aa9b87
𪛈	U+2A6C8 (U+2A6C8)	f0aa9b88
𪛉	U+2A6C9 (U+2A6C9)	f0aa9b89
𪛊	U+2A6CA (U+2A6CA)	f0aa9b8a
𪛋	U+2A6CB (U+2A6CB)	f0aa9b8b
𪛌	U+2A6CC (U+2A6CC)	f0aa9b8c
𪛍	U+2A6CD (U+2A6CD)	f0aa9b8d
𪛎	U+2A6CE (U+2A6CE)	f0aa9b8e
𪛏	U+2A6CF (U+2A6CF)	f0aa9b8f
𪛐	U+2A6D0 (U+2A6D0)	f0aa9b90
𪛑	U+2A6D1 (U+2A6D1)	f0aa9b91
𪛒	U+2A6D2 (U+2A6D2)	f0aa9b92
𪛓	U+2A6D3 (U+2A6D3)	f0aa9b93
𪛔	U+2A6D4 (U+2A6D4)	f0aa9b94
𪛕	U+2A6D5 (U+2A6D5)	f0aa9b95
𪛖	<CJK Ideograph Extension B, Last> (U+2A6D6)	f0aa9b96
𪜀	<CJK Ideograph Extension C, First> (U+2A700)	f0aa9c80
𪜁	U+2A701 (U+2A701)	f0aa9c81
𪜂	U+2A702 (U+2A702)	f0aa9c82
𪜃	U+2A703 (U+2A703)	f0aa9c83
𪜄	U+2A704 (U+2A704)	f0aa9c84
𪜅	U+2A705 (U+2A705)	f0aa9c85
𪜆	U+2A706 (U+2A706)	f0aa9c86
𪜇	U+2A707 (U+2A707)	f0aa9c87
𪜈	U+2A708 (U+2A708)	f0aa9c88
𪜉	U+2A709 (U+2A709)	f0aa9c89
𪜊	U+2A70A (U+2A70A)	f0aa9c8a
𪜋	U+2A70B (U+2A70B)	f0aa9c8b
𪜌	U+2A70C (U+2A70C)	f0aa9c8c
𪜍	U+2A70D (U+2A70D)	f0aa9c8d
𪜎	U+2A70E (U+2A70E)	f0aa9c8e
𪜏	U+2A70F (U+2A70F)	f0aa9c8f
𪜐	U+2A710 (U+2A710)	f0aa9c90
𪜑	U+2A711 (U+2A711)	f0aa9c91
𪜒	U+2A712 (U+2A712)	f0aa9c92
𪜓	U+2A713 (U+2A713)	f0aa9c93
𪜔	U+2A714 (U+2A714)	f0aa9c94
𪜕	U+2A715 (U+2A715)	f0aa9c95
𪜖	U+2A716 (U+2A716)	f0aa9c96
𪜗	U+2A717 (U+2A717)	f0aa9c97
𪜘	U+2A718 (U+2A718)	f0aa9c98
𪜙	U+2A719 (U+2A719)	f0aa9c99
𪜚	U+2A71A (U+2A71A)	f0aa9c9a
𪜛	U+2A71B (U+2A71B)	f0aa9c9b
𪜜	U+2A71C (U+2A71C)	f0aa9c9c
𪜝	U+2A71D (U+2A71D)	f0aa9c9d
𪜞	U+2A71E (U+2A71E)	f0aa9c9e
𪜟	U+2A71F (U+2A71F)	f0aa9c9f
𪜠	U+2A720 (U+2A720)	f0aa9ca0
𪜡	U+2A721 (U+2A721)	f0aa9ca1
𪜢	U+2A722 (U+2A722)	f0aa9ca2
𪜣	U+2A723 (U+2A723)	f0aa9ca3
𪜤	U+2A724 (U+2A724)	f0aa9ca4
𪜥	U+2A725 (U+2A725)	f0aa9ca5
𪜦	U+2A726 (U+2A726)	f0aa9ca6
𪜧	U+2A727 (U+2A727)	f0aa9ca7
𪜨	U+2A728 (U+2A728)	f0aa9ca8
𪜩	U+2A729 (U+2A729)	f0aa9ca9
𪜪	U+2A72A (U+2A72A)	f0aa9caa
𪜫	U+2A72B (U+2A72B)	f0aa9cab
𪜬	U+2A72C (U+2A72C)	f0aa9cac
𪜭	U+2A72D (U+2A72D)	f0aa9cad
𪜮	U+2A72E (U+2A72E)	f0aa9cae
𪜯	U+2A72F (U+2A72F)	f0aa9caf
𪜰	U+2A730 (U+2A730)	f0aa9cb0
𪜱	U+2A731 (U+2A731)	f0aa9cb1
𪜲	U+2A732 (U+2A732)	f0aa9cb2
𪜳	U+2A733 (U+2A733)	f0aa9cb3
𪜴	U+2A734 (U+2A734)	f0aa9cb4
𪜵	U+2A735 (U+2A735)	f0aa9cb5
𪜶	U+2A736 (U+2A736)	f0aa9cb6
𪜷	U+2A737 (U+2A737)	f0aa9cb7
𪜸	U+2A738 (U+2A738)	f0aa9cb8
𪜹	U+2A739 (U+2A739)	f0aa9cb9
𪜺	U+2A73A (U+2A73A)	f0aa9cba
𪜻	U+2A73B (U+2A73B)	f0aa9cbb
𪜼	U+2A73C (U+2A73C)	f0aa9cbc
𪜽	U+2A73D (U+2A73D)	f0aa9cbd
𪜾	U+2A73E (U+2A73E)	f0aa9cbe
𪜿	U+2A73F (U+2A73F)	f0aa9cbf
𪝀	U+2A740 (U+2A740)	f0aa9d80
𪝁	U+2A741 (U+2A741)	f0aa9d81
𪝂	U+2A742 (U+2A742)	f0aa9d82
𪝃	U+2A743 (U+2A743)	f0aa9d83
𪝄	U+2A744 (U+2A744)	f0aa9d84
𪝅	U+2A745 (U+2A745)	f0aa9d85
𪝆	U+2A746 (U+2A746)	f0aa9d86
𪝇	U+2A747 (U+2A747)	f0aa9d87
𪝈	U+2A748 (U+2A748)	f0aa9d88
𪝉	U+2A749 (U+2A749)	f0aa9d89
𪝊	U+2A74A (U+2A74A)	f0aa9d8a
𪝋	U+2A74B (U+2A74B)	f0aa9d8b
𪝌	U+2A74C (U+2A74C)	f0aa9d8c
𪝍	U+2A74D (U+2A74D)	f0aa9d8d
𪝎	U+2A74E (U+2A74E)	f0aa9d8e
𪝏	U+2A74F (U+2A74F)	f0aa9d8f
𪝐	U+2A750 (U+2A750)	f0aa9d90
𪝑	U+2A751 (U+2A751)	f0aa9d91
𪝒	U+2A752 (U+2A752)	f0aa9d92
𪝓	U+2A753 (U+2A753)	f0aa9d93
𪝔	U+2A754 (U+2A754)	f0aa9d94
𪝕	U+2A755 (U+2A755)	f0aa9d95
𪝖	U+2A756 (U+2A756)	f0aa9d96
𪝗	U+2A757 (U+2A757)	f0aa9d97
𪝘	U+2A758 (U+2A758)	f0aa9d98
𪝙	U+2A759 (U+2A759)	f0aa9d99
𪝚	U+2A75A (U+2A75A)	f0aa9d9a
𪝛	U+2A75B (U+2A75B)	f0aa9d9b
𪝜	U+2A75C (U+2A75C)	f0aa9d9c
𪝝	U+2A75D (U+2A75D)	f0aa9d9d
𪝞	U+2A75E (U+2A75E)	f0aa9d9e
𪝟	U+2A75F (U+2A75F)	f0aa9d9f
𪝠	U+2A760 (U+2A760)	f0aa9da0
𪝡	U+2A761 (U+2A761)	f0aa9da1
𪝢	U+2A762 (U+2A762)	f0aa9da2
𪝣	U+2A763 (U+2A763)	f0aa9da3
𪝤	U+2A764 (U+2A764)	f0aa9da4
𪝥	U+2A765 (U+2A765)	f0aa9da5
𪝦	U+2A766 (U+2A766)	f0aa9da6
𪝧	U+2A767 (U+2A767)	f0aa9da7
𪝨	U+2A768 (U+2A768)	f0aa9da8
𪝩	U+2A769 (U+2A769)	f0aa9da9
𪝪	U+2A76A (U+2A76A)	f0aa9daa
𪝫	U+2A76B (U+2A76B)	f0aa9dab
𪝬	U+2A76C (U+2A76C)	f0aa9dac
𪝭	U+2A76D (U+2A76D)	f0aa9dad
𪝮	U+2A76E (U+2A76E)	f0aa9dae
𪝯	U+2A76F (U+2A76F)	f0aa9daf
