諕	to intimidate (U+8AD5)	e8ab95
賦	tax; give; endow; army; diffuse (U+8CE6)	e8b3a6
賧	fine (U+8CE7)	e8b3a7
賨	tribute paid in cloth by the tribes in Szechwan and Yunnan under the Han dynasty (U+8CE8)	e8b3a8
賩	U+8CE9 (U+8CE9)	e8b3a9
質	matter, material, substance (U+8CEA)	e8b3aa
賫	present (U+8CEB)	e8b3ab
賬	accounts; bill, debt; credit (U+8CEC)	e8b3ac
賭	bet, gamble, wager; compete (U+8CED)	e8b3ad
賮	farewell gift (U+8CEE)	e8b3ae
賯	U+8CEF (U+8CEF)	e8b3af
賰	plentiful, wealthy or rich; handsome (pay, gifts, etc.) (U+8CF0)	e8b3b0
賱	U+8CF1 (U+8CF1)	e8b3b1
賲	U+8CF2 (U+8CF2)	e8b3b2
賳	U+8CF3 (U+8CF3)	e8b3b3
賴	rely, depend on; accuse falsely (U+8CF4)	e8b3b4
賵	gift (U+8CF5)	e8b3b5
賶	U+8CF6 (U+8CF6)	e8b3b6
賷	U+8CF7 (U+8CF7)	e8b3b7
賸	leftovers, residue, remains (U+8CF8)	e8b3b8
賹	U+8CF9 (U+8CF9)	e8b3b9
賺	make money, earn; gain, profit (U+8CFA)	e8b3ba
賻	gift of money help pay funeral (U+8CFB)	e8b3bb
購	buy, purchase; hire (U+8CFC)	e8b3bc
賽	compete, contend; contest, race (U+8CFD)	e8b3bd
賾	abstruse, deep, profound (U+8CFE)	e8b3be
賿	U+8CFF (U+8CFF)	e8b3bf
贀	U+8D00 (U+8D00)	e8b480
贁	to defeat to spoil or be spoiled; to corrupt or be corrupted (U+8D01)	e8b481
贂	U+8D02 (U+8D02)	e8b482
贃	to earn, to make a profit; (Cant.) to enjoy oneself (U+8D03)	e8b483
贄	gift superior; gift given (U+8D04)	e8b484
贅	unnecessary, superfluous (U+8D05)	e8b485
贆	U+8D06 (U+8D06)	e8b486
贇	affable, agreeable, pleasant (U+8D07)	e8b487
贈	give present; bestow, confer (U+8D08)	e8b488
贉	earnest money; silk label on books (U+8D09)	e8b489
贊	help, support, assist, aid (U+8D0A)	e8b48a
贋	false; counterfeit; bogus; sham (U+8D0B)	e8b48b
贌	U+8D0C (U+8D0C)	e8b48c
贍	support, aid; to be sufficient; rich, elegant (U+8D0D)	e8b48d
贎	U+8D0E (U+8D0E)	e8b48e
贏	win; surplus, gain, profit (U+8D0F)	e8b48f
贐	farewell present (U+8D10)	e8b490
贑	Jiangxi province (U+8D11)	e8b491
贒	virtuous, worthy, good; able (U+8D12)	e8b492
贓	booty, loot, stolen goods; bribe (U+8D13)	e8b493
贔	strong (U+8D14)	e8b494
贕	U+8D15 (U+8D15)	e8b495
贖	buy, redeem; ransom; atone for (U+8D16)	e8b496
贗	counterfeit, false (U+8D17)	e8b497
贘	U+8D18 (U+8D18)	e8b498
贙	U+8D19 (U+8D19)	e8b499
贚	U+8D1A (U+8D1A)	e8b49a
贛	Jiangxi province; places therein (U+8D1B)	e8b49b
贜	booty, loot, stolen goods; bribe (U+8D1C)	e8b49c
贝	sea shell; money, currency (U+8D1D)	e8b49d
贞	virtuous, chaste, pure; loyal (U+8D1E)	e8b49e
负	load, burden; carry, bear (U+8D1F)	e8b49f
贠	member; personnel, staff member (U+8D20)	e8b4a0
贡	offer tribute; tribute, gifts (U+8D21)	e8b4a1
财	wealth, valuables, riches (U+8D22)	e8b4a2
责	one's responsibility, duty (U+8D23)	e8b4a3
贤	virtuous, worthy, good; able (U+8D24)	e8b4a4
败	be defeated, decline, fail (U+8D25)	e8b4a5
账	accounts; bill, debt; credit (U+8D26)	e8b4a6
货	goods, commodities, products (U+8D27)	e8b4a7
质	matter, material, substance (U+8D28)	e8b4a8
贩	peddler, hawker, street merchant (U+8D29)	e8b4a9
贪	be greedy, covet; covetous (U+8D2A)	e8b4aa
贫	poor, impoverished, needy (U+8D2B)	e8b4ab
贬	decrease, lower; censure, criticize (U+8D2C)	e8b4ac
购	buy, purchase; hire (U+8D2D)	e8b4ad
贮	store, stockpile, hoard (U+8D2E)	e8b4ae
贯	a string of 1000 coins; to go through (U+8D2F)	e8b4af
贰	number two (U+8D30)	e8b4b0
贱	mean, low; cheap, worthless (U+8D31)	e8b4b1
贲	forge ahead; energetic; surname (U+8D32)	e8b4b2
贳	borrow; pardon; loan (U+8D33)	e8b4b3
贴	paste to, stick on; attached to (U+8D34)	e8b4b4
贵	expensive, costly, valuable (U+8D35)	e8b4b5
贶	give, grant, bestow; surname (U+8D36)	e8b4b6
贷	lend; borrow; pardon (U+8D37)	e8b4b7
贸	trade, barter; mixed; rashly (U+8D38)	e8b4b8
费	expenses, expenditures, fee (U+8D39)	e8b4b9
贺	congratulate; send present (U+8D3A)	e8b4ba
贻	give to, hand down, bequeath (U+8D3B)	e8b4bb
贼	thief, traitor; kill (U+8D3C)	e8b4bc
贽	gift superior; gift given (U+8D3D)	e8b4bd
贾	surname; merchant; buy, trade (U+8D3E)	e8b4be
贿	bribe; bribes; riches, wealth (U+8D3F)	e8b4bf
赀	property; wealth; to count (U+8D40)	e8b580
赁	rent, hire; hired person (U+8D41)	e8b581
赂	bribe; give present (U+8D42)	e8b582
赃	booty, loot, stolen goods; bribe (U+8D43)	e8b583
资	property; wealth; capital (U+8D44)	e8b584
赅	prepared for; inclusive (U+8D45)	e8b585
赆	farewell present (U+8D46)	e8b586
赇	bribe (U+8D47)	e8b587
赈	relieve, aid distressed; rich (U+8D48)	e8b588
赉	give, present, confer; surname (U+8D49)	e8b589
赊	buy and sell on credit, distant (U+8D4A)	e8b58a
赋	tax; give; endow; army; diffuse (U+8D4B)	e8b58b
赌	bet, gamble, wager; compete (U+8D4C)	e8b58c
赍	present (U+8D4D)	e8b58d
赎	buy, redeem; ransome; atone for (U+8D4E)	e8b58e
赏	reward, grant, bestow; appreciate (U+8D4F)	e8b58f
赐	give, bestow favors; appoint (U+8D50)	e8b590
赑	strong (U+8D51)	e8b591
赒	give for charity (U+8D52)	e8b592
赓	continue (U+8D53)	e8b593
赔	indemnify, suffer loss (U+8D54)	e8b594
赕	fine (U+8D55)	e8b595
赖	rely, depend on; accuse falsely (U+8D56)	e8b596
赗	gift (U+8D57)	e8b597
赘	unnecessary, superfluous (U+8D58)	e8b598
赙	gift of money help pay funeral (U+8D59)	e8b599
赚	make money, earn; gain, profit (U+8D5A)	e8b59a
赛	compete, contend; contest, race (U+8D5B)	e8b59b
赜	abstruse, deep, profound (U+8D5C)	e8b59c
赝	false; counterfeit; bogus; sham (U+8D5D)	e8b59d
赞	help, support, assist, aid (U+8D5E)	e8b59e
赟	affable, agreeable, pleasant (U+8D5F)	e8b59f
赠	give present; bestow, confer (U+8D60)	e8b5a0
赡	support, aid; rich, elegant (U+8D61)	e8b5a1
赢	win; surplus, gain, profit (U+8D62)	e8b5a2
赣	Jiangxi province; places therein (U+8D63)	e8b5a3
赤	red; communist, 'red'; bare (U+8D64)	e8b5a4
赥	U+8D65 (U+8D65)	e8b5a5
赦	forgive, remit, pardon (U+8D66)	e8b5a6
赧	blush, turn red (U+8D67)	e8b5a7
赨	U+8D68 (U+8D68)	e8b5a8
赩	U+8D69 (U+8D69)	e8b5a9
赪	deep red (U+8D6A)	e8b5aa
赫	bright, radiant, glowing (U+8D6B)	e8b5ab
赬	deep red (U+8D6C)	e8b5ac
赭	reddish brown; hematite; ochre (U+8D6D)	e8b5ad
赮	U+8D6E (U+8D6E)	e8b5ae
赯	U+8D6F (U+8D6F)	e8b5af
走	walk, go on foot; run; leave (U+8D70)	e8b5b0
赱	walk, go on foot; run; leave (U+8D71)	e8b5b1
赲	U+8D72 (U+8D72)	e8b5b2
赳	grand, valiant (U+8D73)	e8b5b3
赴	go to; attend, be present (U+8D74)	e8b5b4
赵	surname; ancient state (U+8D75)	e8b5b5
赶	pursue, follow; expel, drive away (U+8D76)	e8b5b6
起	rise, stand up; go up; begin (U+8D77)	e8b5b7
赸	U+8D78 (U+8D78)	e8b5b8
赹	U+8D79 (U+8D79)	e8b5b9
赺	U+8D7A (U+8D7A)	e8b5ba
赻	U+8D7B (U+8D7B)	e8b5bb
赼	U+8D7C (U+8D7C)	e8b5bc
赽	U+8D7D (U+8D7D)	e8b5bd
赾	U+8D7E (U+8D7E)	e8b5be
赿	late slow; dilatory; tardy to delay; dull; stupid (U+8D7F)	e8b5bf
趀	U+8D80 (U+8D80)	e8b680
趁	take advantage of, avail oneself (U+8D81)	e8b681
趂	to take advantage of; to avail oneself of. to follow; to go (U+8D82)	e8b682
趃	U+8D83 (U+8D83)	e8b683
趄	weak, lame (U+8D84)	e8b684
超	jump over, leap over; surpass (U+8D85)	e8b685
趆	U+8D86 (U+8D86)	e8b686
趇	U+8D87 (U+8D87)	e8b687
趈	U+8D88 (U+8D88)	e8b688
趉	U+8D89 (U+8D89)	e8b689
越	exceed, go beyond; the more ... (U+8D8A)	e8b68a
趋	hasten, hurry; be attracted to (U+8D8B)	e8b68b
趌	(Cant.) to order someone to leave (U+8D8C)	e8b68c
趍	U+8D8D (U+8D8D)	e8b68d
趎	U+8D8E (U+8D8E)	e8b68e
趏	U+8D8F (U+8D8F)	e8b68f
趐	U+8D90 (U+8D90)	e8b690
趑	can't move; to falter (U+8D91)	e8b691
趒	to jump, to climb over, to leap, to posture; a gangway (U+8D92)	e8b692
趓	U+8D93 (U+8D93)	e8b693
趔	not progressing; to be checked (U+8D94)	e8b694
趕	pursue, follow; expel, drive away (U+8D95)	e8b695
趖	U+8D96 (U+8D96)	e8b696
趗	U+8D97 (U+8D97)	e8b697
趘	U+8D98 (U+8D98)	e8b698
趙	surname; ancient state (U+8D99)	e8b699
趚	U+8D9A (U+8D9A)	e8b69a
趛	U+8D9B (U+8D9B)	e8b69b
趜	(Cant.) to suffocate (U+8D9C)	e8b69c
趝	to pursue; to follow up (U+8D9D)	e8b69d
趞	U+8D9E (U+8D9E)	e8b69e
趟	time, occasion; take journey (U+8D9F)	e8b69f
趠	U+8DA0 (U+8DA0)	e8b6a0
趡	place (U+8DA1)	e8b6a1
趢	U+8DA2 (U+8DA2)	e8b6a2
趣	what attracts one's attention (U+8DA3)	e8b6a3
趤	U+8DA4 (U+8DA4)	e8b6a4
趥	U+8DA5 (U+8DA5)	e8b6a5
趦	can't move; to falter (U+8DA6)	e8b6a6
趧	U+8DA7 (U+8DA7)	e8b6a7
趨	hasten, hurry; be attracted to (U+8DA8)	e8b6a8
趩	U+8DA9 (U+8DA9)	e8b6a9
趪	U+8DAA (U+8DAA)	e8b6aa
趫	nimble (U+8DAB)	e8b6ab
趬	U+8DAC (U+8DAC)	e8b6ac
趭	U+8DAD (U+8DAD)	e8b6ad
趮	easily provoked, hasty; fierce, cruel (U+8DAE)	e8b6ae
趯	jump (U+8DAF)	e8b6af
趰	U+8DB0 (U+8DB0)	e8b6b0
趱	go in hurry, hasten; urge (U+8DB1)	e8b6b1
趲	go in hurry, hasten; urge (U+8DB2)	e8b6b2
足	foot; attain, satisfy, enough (U+8DB3)	e8b6b3
趴	lying prone, leaning over (U+8DB4)	e8b6b4
趵	noise of tramping feet (U+8DB5)	e8b6b5
趶	U+8DB6 (U+8DB6)	e8b6b6
趷	to jolt; (Cant.) to raise up; block (U+8DB7)	e8b6b7
趸	sell or buy wholesale; store (U+8DB8)	e8b6b8
趹	kick with hoof; horse's gallop (U+8DB9)	e8b6b9
趺	sit cross-legged; back of the foo (U+8DBA)	e8b6ba
趻	U+8DBB (U+8DBB)	e8b6bb
趼	callous skin on hands or feet. blisters (U+8DBC)	e8b6bc
趽	U+8DBD (U+8DBD)	e8b6bd
趾	toe; tracks, footprints (U+8DBE)	e8b6be
趿	to tread on; slipshod (U+8DBF)	e8b6bf
跀	to cut off the feet, to stretch up (U+8DC0)	e8b780
跁	trample on, tread on; search for; (Cant.) to squat down (U+8DC1)	e8b781
跂	creeping, crawling (U+8DC2)	e8b782
跃	skip, jump, frolic (U+8DC3)	e8b783
跄	walk rapidly (U+8DC4)	e8b784
跅	careless, lax; dissolute (U+8DC5)	e8b785
跆	trample (U+8DC6)	e8b786
跇	U+8DC7 (U+8DC7)	e8b787
跈	U+8DC8 (U+8DC8)	e8b788
跉	U+8DC9 (U+8DC9)	e8b789
跊	U+8DCA (U+8DCA)	e8b78a
跋	go by foot; epilogue, colophon (U+8DCB)	e8b78b
跌	stumble, slip, fall down; stamp (U+8DCC)	e8b78c
跍	U+8DCD (U+8DCD)	e8b78d
跎	slip, stumble, falter; vacillate (U+8DCE)	e8b78e
跏	sit cross-legged; squat (U+8DCF)	e8b78f
跐	to trample, to step, to walk on the ball of the foot (U+8DD0)	e8b790
跑	run, flee, leave in hurry (U+8DD1)	e8b791
跒	U+8DD2 (U+8DD2)	e8b792
跓	U+8DD3 (U+8DD3)	e8b793
跔	numb feet; to limp (U+8DD4)	e8b794
跕	shuffle, limp (U+8DD5)	e8b795
跖	sole (of the foot) (U+8DD6)	e8b796
跗	the instep (U+8DD7)	e8b797
跘	U+8DD8 (U+8DD8)	e8b798
跙	weak, lame (U+8DD9)	e8b799
跚	stagger, limp (U+8DDA)	e8b79a
跛	lame (U+8DDB)	e8b79b
跜	U+8DDC (U+8DDC)	e8b79c
距	distance; bird's spur (U+8DDD)	e8b79d
跞	walk, move (U+8DDE)	e8b79e
跟	heel; to follow, accompany; with (U+8DDF)	e8b79f
跠	U+8DE0 (U+8DE0)	e8b7a0
跡	search, track, trace (U+8DE1)	e8b7a1
跢	U+8DE2 (U+8DE2)	e8b7a2
跣	bare footed (U+8DE3)	e8b7a3
跤	stumble, fall down; wrestle (U+8DE4)	e8b7a4
跥	stamp feet (U+8DE5)	e8b7a5
跦	hop (U+8DE6)	e8b7a6
跧	crouch (U+8DE7)	e8b7a7
跨	straddle, bestride, ride; carry (U+8DE8)	e8b7a8
跩	to waddle, to limp (U+8DE9)	e8b7a9
跪	kneel (U+8DEA)	e8b7aa
跫	sound of footsteps (U+8DEB)	e8b7ab
跬	to step; a stride equal to half a pace (U+8DEC)	e8b7ac
跭	U+8DED (U+8DED)	e8b7ad
跮	hasty walking (U+8DEE)	e8b7ae
路	road, path, street; journey (U+8DEF)	e8b7af
跰	U+8DF0 (U+8DF0)	e8b7b0
跱	stop (U+8DF1)	e8b7b1
跲	hood, cowl, turban; stumble (U+8DF2)	e8b7b2
跳	jump, leap, vault, bounce; dance (U+8DF3)	e8b7b3
跴	step on, tread on; search for (U+8DF4)	e8b7b4
践	trample, tread upon, walk on (U+8DF5)	e8b7b5
跶	stumble, slip (U+8DF6)	e8b7b6
跷	raise one's foot (U+8DF7)	e8b7b7
跸	clear way, make room for; emp (U+8DF8)	e8b7b8
跹	wander about, walk around; revolve (U+8DF9)	e8b7b9
跺	stamp feet, step (U+8DFA)	e8b7ba
跻	ascend, go up, rise (U+8DFB)	e8b7bb
跼	bent, stooped, crouched; contract (U+8DFC)	e8b7bc
跽	to kneel for a long time, to go down on hands and knees (U+8DFD)	e8b7bd
跾	U+8DFE (U+8DFE)	e8b7be
跿	U+8DFF (U+8DFF)	e8b7bf
踀	U+8E00 (U+8E00)	e8b880
踁	tinkling, obstinate (U+8E01)	e8b881
踂	U+8E02 (U+8E02)	e8b882
踃	U+8E03 (U+8E03)	e8b883
踄	U+8E04 (U+8E04)	e8b884
踅	to walk around; turn back midway (U+8E05)	e8b885
踆	squat (U+8E06)	e8b886
踇	U+8E07 (U+8E07)	e8b887
踈	neglect; careless, lax (U+8E08)	e8b888
踉	hop, jump; hurriedly, urgently (U+8E09)	e8b889
踊	leap, jump (U+8E0A)	e8b88a
踋	the foot or feet cast of a play (U+8E0B)	e8b88b
踌	hesitate, falter; smug, self-satisfied (U+8E0C)	e8b88c
踍	U+8E0D (U+8E0D)	e8b88d
踎	(Cant.) to squat (U+8E0E)	e8b88e
踏	step on, trample, tread on, walk (U+8E0F)	e8b88f
踐	trample, tread upon, walk on (U+8E10)	e8b890
踑	U+8E11 (U+8E11)	e8b891
踒	to slip and sprain a blimb (U+8E12)	e8b892
踓	U+8E13 (U+8E13)	e8b893
踔	to get ahead; to stride; to excel (U+8E14)	e8b894
踕	U+8E15 (U+8E15)	e8b895
踖	trample on, tread on (U+8E16)	e8b896
踗	U+8E17 (U+8E17)	e8b897
踘	ball (U+8E18)	e8b898
踙	U+8E19 (U+8E19)	e8b899
踚	U+8E1A (U+8E1A)	e8b89a
踛	U+8E1B (U+8E1B)	e8b89b
踜	to stumble; to slip; to fall (U+8E1C)	e8b89c
踝	ankle (U+8E1D)	e8b89d
踞	crouch, squat; sit, occupy (U+8E1E)	e8b89e
踟	hesitate, undecided; embarrassed (U+8E1F)	e8b89f
踠	to writhe, struggle, squirm, wriggle; to be impatient for (U+8E20)	e8b8a0
踡	curled, coiled (U+8E21)	e8b8a1
踢	kick (U+8E22)	e8b8a2
踣	to stumble and fall prone stiff in death (U+8E23)	e8b8a3
踤	U+8E24 (U+8E24)	e8b8a4
踥	U+8E25 (U+8E25)	e8b8a5
踦	the shin; to pierce; to touch (U+8E26)	e8b8a6
踧	uneasiness, nervousness; level (U+8E27)	e8b8a7
踨	U+8E28 (U+8E28)	e8b8a8
踩	step on (U+8E29)	e8b8a9
踪	footprints, traces, tracks (U+8E2A)	e8b8aa
踫	collide, bump into (U+8E2B)	e8b8ab
踬	stumble, totter; fail, be frustrated (U+8E2C)	e8b8ac
踭	(Cant.) heel, elbow (U+8E2D)	e8b8ad
踮	tip toe (U+8E2E)	e8b8ae
踯	waver, hesitate, be irresolute (U+8E2F)	e8b8af
踰	exceed, transgress; cross over (U+8E30)	e8b8b0
踱	stroll, pace, walk slowly (U+8E31)	e8b8b1
踲	U+8E32 (U+8E32)	e8b8b2
踳	U+8E33 (U+8E33)	e8b8b3
踴	leap, jump (U+8E34)	e8b8b4
踵	heel; follow; visit, call on (U+8E35)	e8b8b5
踶	paw (U+8E36)	e8b8b6
踷	U+8E37 (U+8E37)	e8b8b7
踸	U+8E38 (U+8E38)	e8b8b8
踹	trample, tread on, kick; to crush (U+8E39)	e8b8b9
踺	U+8E3A (U+8E3A)	e8b8ba
踻	U+8E3B (U+8E3B)	e8b8bb
踼	to fall flat; to fall on the face (U+8E3C)	e8b8bc
踽	to walk alone; self-reliant (U+8E3D)	e8b8bd
踾	U+8E3E (U+8E3E)	e8b8be
踿	U+8E3F (U+8E3F)	e8b8bf
蹀	to skip, to dance; to put the foot down (U+8E40)	e8b980
蹁	to walk with a limp (U+8E41)	e8b981
蹂	trample under foot, tread on (U+8E42)	e8b982
蹃	U+8E43 (U+8E43)	e8b983
蹄	hoof; leg of pork; little witch (U+8E44)	e8b984
蹅	to tread on, walk through (U+8E45)	e8b985
蹆	(Cant.) to move in a straight line (U+8E46)	e8b986
蹇	lame, crippled; unlucky (U+8E47)	e8b987
蹈	stamp feet; dance (U+8E48)	e8b988
蹉	error, mistake, slip; failure (U+8E49)	e8b989
蹊	footpath, trail; track (U+8E4A)	e8b98a
蹋	step on, tread on; stumble, slip (U+8E4B)	e8b98b
蹌	walk rapidly (U+8E4C)	e8b98c
蹍	upper millstone; to grind, roll, triturate (U+8E4D)	e8b98d
蹎	U+8E4E (U+8E4E)	e8b98e
蹏	hoof; leg of pork; little witch a horse (U+8E4F)	e8b98f
蹐	take short steps (U+8E50)	e8b990
蹑	tread, step on; follow, track (U+8E51)	e8b991
蹒	to jump over; to limp (U+8E52)	e8b992
蹓	stroll, take walk (U+8E53)	e8b993
蹔	temporary; fleeting; ephemeral (U+8E54)	e8b994
蹕	clear way, make room for; emp (U+8E55)	e8b995
蹖	U+8E56 (U+8E56)	e8b996
蹗	U+8E57 (U+8E57)	e8b997
蹘	(Cant.) to roost (U+8E58)	e8b998
蹙	urgent, suddenly; grieve, lament (U+8E59)	e8b999
蹚	tread through mud and water (U+8E5A)	e8b99a
蹛	U+8E5B (U+8E5B)	e8b99b
蹜	walk carefully (U+8E5C)	e8b99c
蹝	sandal (U+8E5D)	e8b99d
蹞	U+8E5E (U+8E5E)	e8b99e
蹟	trace, tracks; footprints (U+8E5F)	e8b99f
蹠	step on, tread on; sole (U+8E60)	e8b9a0
蹡	to limp; walking; in motion (U+8E61)	e8b9a1
蹢	hoof; a falter; to hesitate (U+8E62)	e8b9a2
蹣	to jump over; to limp (U+8E63)	e8b9a3
蹤	footprints, traces, tracks (U+8E64)	e8b9a4
蹥	U+8E65 (U+8E65)	e8b9a5
蹦	hop, leap, jump; bright (U+8E66)	e8b9a6
蹧	to spoil; to ruin (U+8E67)	e8b9a7
蹨	(Cant.) to stand on tiptoe (U+8E68)	e8b9a8
蹩	to limp (U+8E69)	e8b9a9
蹪	U+8E6A (U+8E6A)	e8b9aa
蹫	U+8E6B (U+8E6B)	e8b9ab
蹬	step on, tread on; lose energy (U+8E6C)	e8b9ac
蹭	to shuffle, procrastinate, dilly-dally (U+8E6D)	e8b9ad
蹮	to whirl, pirouette (U+8E6E)	e8b9ae
蹯	an animal's paws (U+8E6F)	e8b9af
蹰	hesitate, waver, falter (U+8E70)	e8b9b0
蹱	to stagger along; to fall (U+8E71)	e8b9b1
蹲	squat, crouch; idle about (U+8E72)	e8b9b2
蹳	U+8E73 (U+8E73)	e8b9b3
蹴	kick; tread on; leap; solemn (U+8E74)	e8b9b4
蹵	to tread on; to kick (U+8E75)	e8b9b5
蹶	stumble, fall down; trample (U+8E76)	e8b9b6
蹷	to kick back; to stumble, slip, fall (U+8E77)	e8b9b7
蹸	U+8E78 (U+8E78)	e8b9b8
蹹	to tread on; to stamp; to walk (U+8E79)	e8b9b9
蹺	raise one's foot (U+8E7A)	e8b9ba
蹻	to raise the feet; to cross the legs; brave; sandals (U+8E7B)	e8b9bb
蹼	webbed feet of waterfowl (U+8E7C)	e8b9bc
蹽	U+8E7D (U+8E7D)	e8b9bd
蹾	to squat; to crouch (U+8E7E)	e8b9be
蹿	leap; to jump; to spurt out (U+8E7F)	e8b9bf
躀	(Cant.) to stumble over, to fall (U+8E80)	e8ba80
躁	tense, excited, irritable (U+8E81)	e8ba81
躂	stumble, slip (U+8E82)	e8ba82
躃	U+8E83 (U+8E83)	e8ba83
躄	cripple, lame (U+8E84)	e8ba84
躅	walk carefully; hesitate, falter (U+8E85)	e8ba85
躆	U+8E86 (U+8E86)	e8ba86
躇	hesitate, falter, be undecided (U+8E87)	e8ba87
躈	U+8E88 (U+8E88)	e8ba88
躉	sell or buy wholesale; store (U+8E89)	e8ba89
躊	hesitate, falter; smug, self-satisfied (U+8E8A)	e8ba8a
躋	ascend, go up, rise (U+8E8B)	e8ba8b
躌	U+8E8C (U+8E8C)	e8ba8c
躍	skip, jump, frolic (U+8E8D)	e8ba8d
躎	U+8E8E (U+8E8E)	e8ba8e
躏	trample down, oppress, overrun (U+8E8F)	e8ba8f
躐	to stride over; to step across (U+8E90)	e8ba90
躑	waver, hesitate, be irresolute (U+8E91)	e8ba91
躒	walk, move (U+8E92)	e8ba92
躓	stumble, totter; fail, be frustrated (U+8E93)	e8ba93
躔	follow in, imitate; rut, path (U+8E94)	e8ba94
躕	hesitate, waver, falter (U+8E95)	e8ba95
躖	U+8E96 (U+8E96)	e8ba96
躗	exaggerate (U+8E97)	e8ba97
躘	to walk (U+8E98)	e8ba98
躙	trample down, oppress, overrun (U+8E99)	e8ba99
躚	wander about, walk around; revolve (U+8E9A)	e8ba9a
躛	exaggerate (U+8E9B)	e8ba9b
躜	to jump (U+8E9C)	e8ba9c
躝	to pass; to step over; to creep; to twine round (U+8E9D)	e8ba9d
躞	to walk (U+8E9E)	e8ba9e
躟	U+8E9F (U+8E9F)	e8ba9f
躠	to limp (U+8EA0)	e8baa0
躡	tread, step on; follow, track (U+8EA1)	e8baa1
躢	U+8EA2 (U+8EA2)	e8baa2
躣	U+8EA3 (U+8EA3)	e8baa3
躤	U+8EA4 (U+8EA4)	e8baa4
躥	leap; to jump; to spurt out (U+8EA5)	e8baa5
躦	to jump (U+8EA6)	e8baa6
躧	sandal (U+8EA7)	e8baa7
躨	U+8EA8 (U+8EA8)	e8baa8
躩	take quick, short steps (U+8EA9)	e8baa9
躪	trample down, oppress, overrun (U+8EAA)	e8baaa
身	body; trunk, hull; rad. no. 158 (U+8EAB)	e8baab
躬	body; personally, in person (U+8EAC)	e8baac
躭	to delay; to loiter; to hinder (U+8EAD)	e8baad
躮	U+8EAE (U+8EAE)	e8baae
躯	body (U+8EAF)	e8baaf
躰	body; group, class, body, unit (U+8EB0)	e8bab0
躱	hide (U+8EB1)	e8bab1
躲	hide, secrete; avoid, escape (U+8EB2)	e8bab2
躳	body; self (U+8EB3)	e8bab3
躴	tall (U+8EB4)	e8bab4
躵	U+8EB5 (U+8EB5)	e8bab5
躶	bare, nude; undress, strip (U+8EB6)	e8bab6
躷	of short stature, low in height (U+8EB7)	e8bab7
躸	U+8EB8 (U+8EB8)	e8bab8
躹	U+8EB9 (U+8EB9)	e8bab9
躺	lie down, recline (U+8EBA)	e8baba
躻	U+8EBB (U+8EBB)	e8babb
躼	U+8EBC (U+8EBC)	e8babc
躽	(Cant.) 躽胸凸肚, to push out one's chest and belly (U+8EBD)	e8babd
躾	to discipline, train, bring up; discipline, training (U+8EBE)	e8babe
躿	tall (U+8EBF)	e8babf
軀	body (U+8EC0)	e8bb80
軁	U+8EC1 (U+8EC1)	e8bb81
軂	U+8EC2 (U+8EC2)	e8bb82
軃	U+8EC3 (U+8EC3)	e8bb83
軄	to govern, to oversee, to manage, to direct official duty, office (U+8EC4)	e8bb84
軅	U+8EC5 (U+8EC5)	e8bb85
軆	body; group, class, body, unit (U+8EC6)	e8bb86
軇	U+8EC7 (U+8EC7)	e8bb87
軈	soon after, soon; almost; no more than; after all (U+8EC8)	e8bb88
軉	U+8EC9 (U+8EC9)	e8bb89
車	cart, vehicle; carry in cart (U+8ECA)	e8bb8a
軋	crush by weight; grind (U+8ECB)	e8bb8b
軌	track, rut, path (U+8ECC)	e8bb8c
軍	army, military; soldiers, troops (U+8ECD)	e8bb8d
軎	a brass parts for a cart in ancient China (U+8ECE)	e8bb8e
軏	cross-bar at the end of the poles of a cart (U+8ECF)	e8bb8f
軐	U+8ED0 (U+8ED0)	e8bb90
軑	U+8ED1 (U+8ED1)	e8bb91
軒	carriage; high; wide; balcony; surname of the Yellow Emperor (U+8ED2)	e8bb92
軓	U+8ED3 (U+8ED3)	e8bb93
軔	a block that keeps a wheel from moving (U+8ED4)	e8bb94
