𧭯	U+27B6F (U+27B6F)	f0a7adaf
𧵣	U+27D63 (U+27D63)	f0a7b5a3
𧵤	U+27D64 (U+27D64)	f0a7b5a4
𧵥	U+27D65 (U+27D65)	f0a7b5a5
𧵦	U+27D66 (U+27D66)	f0a7b5a6
𧵧	U+27D67 (U+27D67)	f0a7b5a7
𧵨	U+27D68 (U+27D68)	f0a7b5a8
𧵩	U+27D69 (U+27D69)	f0a7b5a9
𧵪	U+27D6A (U+27D6A)	f0a7b5aa
𧵫	U+27D6B (U+27D6B)	f0a7b5ab
𧵬	U+27D6C (U+27D6C)	f0a7b5ac
𧵭	U+27D6D (U+27D6D)	f0a7b5ad
𧵮	U+27D6E (U+27D6E)	f0a7b5ae
𧵯	U+27D6F (U+27D6F)	f0a7b5af
𧵰	U+27D70 (U+27D70)	f0a7b5b0
𧵱	U+27D71 (U+27D71)	f0a7b5b1
𧵲	U+27D72 (U+27D72)	f0a7b5b2
𧵳	a loss; to lose (e.g., money in trade) (U+27D73)	f0a7b5b3
𧵴	U+27D74 (U+27D74)	f0a7b5b4
𧵵	U+27D75 (U+27D75)	f0a7b5b5
𧵶	U+27D76 (U+27D76)	f0a7b5b6
𧵷	U+27D77 (U+27D77)	f0a7b5b7
𧵸	U+27D78 (U+27D78)	f0a7b5b8
𧵹	U+27D79 (U+27D79)	f0a7b5b9
𧵺	U+27D7A (U+27D7A)	f0a7b5ba
𧵻	U+27D7B (U+27D7B)	f0a7b5bb
𧵼	U+27D7C (U+27D7C)	f0a7b5bc
𧵽	U+27D7D (U+27D7D)	f0a7b5bd
𧵾	U+27D7E (U+27D7E)	f0a7b5be
𧵿	U+27D7F (U+27D7F)	f0a7b5bf
𧶀	U+27D80 (U+27D80)	f0a7b680
𧶁	U+27D81 (U+27D81)	f0a7b681
𧶂	U+27D82 (U+27D82)	f0a7b682
𧶃	U+27D83 (U+27D83)	f0a7b683
𧶄	(Cant.) to owe (U+27D84)	f0a7b684
𧶅	U+27D85 (U+27D85)	f0a7b685
𧶆	U+27D86 (U+27D86)	f0a7b686
𧶇	U+27D87 (U+27D87)	f0a7b687
𧶈	U+27D88 (U+27D88)	f0a7b688
𧶉	U+27D89 (U+27D89)	f0a7b689
𧶊	U+27D8A (U+27D8A)	f0a7b68a
𧶋	U+27D8B (U+27D8B)	f0a7b68b
𧶌	U+27D8C (U+27D8C)	f0a7b68c
𧶍	U+27D8D (U+27D8D)	f0a7b68d
𧶎	U+27D8E (U+27D8E)	f0a7b68e
𧶏	U+27D8F (U+27D8F)	f0a7b68f
𧶐	U+27D90 (U+27D90)	f0a7b690
𧶑	U+27D91 (U+27D91)	f0a7b691
𧶒	U+27D92 (U+27D92)	f0a7b692
𧶓	U+27D93 (U+27D93)	f0a7b693
𧶔	U+27D94 (U+27D94)	f0a7b694
𧶕	U+27D95 (U+27D95)	f0a7b695
𧶖	U+27D96 (U+27D96)	f0a7b696
𧶗	U+27D97 (U+27D97)	f0a7b697
𧶘	U+27D98 (U+27D98)	f0a7b698
𧶙	U+27D99 (U+27D99)	f0a7b699
𧶚	U+27D9A (U+27D9A)	f0a7b69a
𧶛	U+27D9B (U+27D9B)	f0a7b69b
𧶜	U+27D9C (U+27D9C)	f0a7b69c
𧶝	U+27D9D (U+27D9D)	f0a7b69d
𧶞	U+27D9E (U+27D9E)	f0a7b69e
𧶟	U+27D9F (U+27D9F)	f0a7b69f
𧶠	U+27DA0 (U+27DA0)	f0a7b6a0
𧶡	U+27DA1 (U+27DA1)	f0a7b6a1
𧶢	U+27DA2 (U+27DA2)	f0a7b6a2
𧶣	U+27DA3 (U+27DA3)	f0a7b6a3
𧶤	U+27DA4 (U+27DA4)	f0a7b6a4
𧶥	U+27DA5 (U+27DA5)	f0a7b6a5
𧶦	U+27DA6 (U+27DA6)	f0a7b6a6
𧶧	U+27DA7 (U+27DA7)	f0a7b6a7
𧶨	U+27DA8 (U+27DA8)	f0a7b6a8
𧶩	U+27DA9 (U+27DA9)	f0a7b6a9
𧶪	U+27DAA (U+27DAA)	f0a7b6aa
𧶫	U+27DAB (U+27DAB)	f0a7b6ab
𧶬	U+27DAC (U+27DAC)	f0a7b6ac
𧶭	U+27DAD (U+27DAD)	f0a7b6ad
𧶮	U+27DAE (U+27DAE)	f0a7b6ae
𧶯	U+27DAF (U+27DAF)	f0a7b6af
𧶰	U+27DB0 (U+27DB0)	f0a7b6b0
𧶱	U+27DB1 (U+27DB1)	f0a7b6b1
𧶲	U+27DB2 (U+27DB2)	f0a7b6b2
𧶳	U+27DB3 (U+27DB3)	f0a7b6b3
𧶴	U+27DB4 (U+27DB4)	f0a7b6b4
𧶵	U+27DB5 (U+27DB5)	f0a7b6b5
𧶶	to peddle, trade, deal in (U+27DB6)	f0a7b6b6
𧶷	U+27DB7 (U+27DB7)	f0a7b6b7
𧶸	U+27DB8 (U+27DB8)	f0a7b6b8
𧶹	U+27DB9 (U+27DB9)	f0a7b6b9
𧶺	U+27DBA (U+27DBA)	f0a7b6ba
𧶻	U+27DBB (U+27DBB)	f0a7b6bb
𧶼	U+27DBC (U+27DBC)	f0a7b6bc
𧶽	U+27DBD (U+27DBD)	f0a7b6bd
𧶾	U+27DBE (U+27DBE)	f0a7b6be
𧶿	U+27DBF (U+27DBF)	f0a7b6bf
𧷀	U+27DC0 (U+27DC0)	f0a7b780
𧷁	U+27DC1 (U+27DC1)	f0a7b781
𧷂	U+27DC2 (U+27DC2)	f0a7b782
𧷃	U+27DC3 (U+27DC3)	f0a7b783
𧷄	U+27DC4 (U+27DC4)	f0a7b784
𧷅	U+27DC5 (U+27DC5)	f0a7b785
𧷆	U+27DC6 (U+27DC6)	f0a7b786
𧷇	U+27DC7 (U+27DC7)	f0a7b787
𧷈	U+27DC8 (U+27DC8)	f0a7b788
𧷉	U+27DC9 (U+27DC9)	f0a7b789
𧷊	U+27DCA (U+27DCA)	f0a7b78a
𧷋	U+27DCB (U+27DCB)	f0a7b78b
𧷌	U+27DCC (U+27DCC)	f0a7b78c
𧷍	U+27DCD (U+27DCD)	f0a7b78d
𧷎	U+27DCE (U+27DCE)	f0a7b78e
𧷏	U+27DCF (U+27DCF)	f0a7b78f
𧷐	U+27DD0 (U+27DD0)	f0a7b790
𧷑	U+27DD1 (U+27DD1)	f0a7b791
𧷒	U+27DD2 (U+27DD2)	f0a7b792
𧷓	U+27DD3 (U+27DD3)	f0a7b793
𧷔	U+27DD4 (U+27DD4)	f0a7b794
𧷕	U+27DD5 (U+27DD5)	f0a7b795
𧷖	U+27DD6 (U+27DD6)	f0a7b796
𧷗	U+27DD7 (U+27DD7)	f0a7b797
𧷘	U+27DD8 (U+27DD8)	f0a7b798
𧷙	U+27DD9 (U+27DD9)	f0a7b799
𧷚	U+27DDA (U+27DDA)	f0a7b79a
𧷛	U+27DDB (U+27DDB)	f0a7b79b
𧷜	U+27DDC (U+27DDC)	f0a7b79c
𧷝	U+27DDD (U+27DDD)	f0a7b79d
𧷞	U+27DDE (U+27DDE)	f0a7b79e
𧷟	U+27DDF (U+27DDF)	f0a7b79f
𧷠	U+27DE0 (U+27DE0)	f0a7b7a0
𧷡	U+27DE1 (U+27DE1)	f0a7b7a1
𧷢	U+27DE2 (U+27DE2)	f0a7b7a2
𧷣	U+27DE3 (U+27DE3)	f0a7b7a3
𧷤	U+27DE4 (U+27DE4)	f0a7b7a4
𧷥	U+27DE5 (U+27DE5)	f0a7b7a5
𧷦	U+27DE6 (U+27DE6)	f0a7b7a6
𧷧	U+27DE7 (U+27DE7)	f0a7b7a7
𧷨	U+27DE8 (U+27DE8)	f0a7b7a8
𧷩	U+27DE9 (U+27DE9)	f0a7b7a9
𧷪	U+27DEA (U+27DEA)	f0a7b7aa
𧷫	U+27DEB (U+27DEB)	f0a7b7ab
𧷬	U+27DEC (U+27DEC)	f0a7b7ac
𧷭	U+27DED (U+27DED)	f0a7b7ad
𧷮	U+27DEE (U+27DEE)	f0a7b7ae
𧷯	U+27DEF (U+27DEF)	f0a7b7af
𧷰	U+27DF0 (U+27DF0)	f0a7b7b0
𧷱	U+27DF1 (U+27DF1)	f0a7b7b1
𧷲	U+27DF2 (U+27DF2)	f0a7b7b2
𧷳	U+27DF3 (U+27DF3)	f0a7b7b3
𧷴	U+27DF4 (U+27DF4)	f0a7b7b4
𧷵	U+27DF5 (U+27DF5)	f0a7b7b5
𧷶	U+27DF6 (U+27DF6)	f0a7b7b6
𧷷	U+27DF7 (U+27DF7)	f0a7b7b7
𧷸	U+27DF8 (U+27DF8)	f0a7b7b8
𧷹	U+27DF9 (U+27DF9)	f0a7b7b9
𧷺	U+27DFA (U+27DFA)	f0a7b7ba
𧷻	U+27DFB (U+27DFB)	f0a7b7bb
𧷼	U+27DFC (U+27DFC)	f0a7b7bc
𧷽	U+27DFD (U+27DFD)	f0a7b7bd
𧷾	U+27DFE (U+27DFE)	f0a7b7be
𧷿	U+27DFF (U+27DFF)	f0a7b7bf
𧸀	U+27E00 (U+27E00)	f0a7b880
𧸁	U+27E01 (U+27E01)	f0a7b881
𧸂	U+27E02 (U+27E02)	f0a7b882
𧸃	U+27E03 (U+27E03)	f0a7b883
𧸄	U+27E04 (U+27E04)	f0a7b884
𧸅	U+27E05 (U+27E05)	f0a7b885
𧸆	U+27E06 (U+27E06)	f0a7b886
𧸇	U+27E07 (U+27E07)	f0a7b887
𧸈	U+27E08 (U+27E08)	f0a7b888
𧸉	U+27E09 (U+27E09)	f0a7b889
𧸊	U+27E0A (U+27E0A)	f0a7b88a
𧸋	U+27E0B (U+27E0B)	f0a7b88b
𧸌	U+27E0C (U+27E0C)	f0a7b88c
𧸍	U+27E0D (U+27E0D)	f0a7b88d
𧸎	U+27E0E (U+27E0E)	f0a7b88e
𧸏	U+27E0F (U+27E0F)	f0a7b88f
𧸐	U+27E10 (U+27E10)	f0a7b890
𧸑	U+27E11 (U+27E11)	f0a7b891
𧸒	U+27E12 (U+27E12)	f0a7b892
𧸓	U+27E13 (U+27E13)	f0a7b893
𧸔	U+27E14 (U+27E14)	f0a7b894
𧸕	U+27E15 (U+27E15)	f0a7b895
𧸖	to earn, sell at a profit (U+27E16)	f0a7b896
𧸗	U+27E17 (U+27E17)	f0a7b897
𧸘	U+27E18 (U+27E18)	f0a7b898
𧸙	U+27E19 (U+27E19)	f0a7b899
𧸚	U+27E1A (U+27E1A)	f0a7b89a
𧸛	U+27E1B (U+27E1B)	f0a7b89b
𧸜	U+27E1C (U+27E1C)	f0a7b89c
𧸝	U+27E1D (U+27E1D)	f0a7b89d
𧸞	U+27E1E (U+27E1E)	f0a7b89e
𧸟	U+27E1F (U+27E1F)	f0a7b89f
𧸠	U+27E20 (U+27E20)	f0a7b8a0
𧸡	U+27E21 (U+27E21)	f0a7b8a1
𧸢	U+27E22 (U+27E22)	f0a7b8a2
𧸣	U+27E23 (U+27E23)	f0a7b8a3
𧸤	U+27E24 (U+27E24)	f0a7b8a4
𧸥	U+27E25 (U+27E25)	f0a7b8a5
𧸦	U+27E26 (U+27E26)	f0a7b8a6
𧸧	U+27E27 (U+27E27)	f0a7b8a7
𧸨	U+27E28 (U+27E28)	f0a7b8a8
𧸩	U+27E29 (U+27E29)	f0a7b8a9
𧸪	U+27E2A (U+27E2A)	f0a7b8aa
𧸫	U+27E2B (U+27E2B)	f0a7b8ab
𧸬	U+27E2C (U+27E2C)	f0a7b8ac
𧸭	U+27E2D (U+27E2D)	f0a7b8ad
𧸮	U+27E2E (U+27E2E)	f0a7b8ae
𧸯	U+27E2F (U+27E2F)	f0a7b8af
𧸰	U+27E30 (U+27E30)	f0a7b8b0
𧸱	U+27E31 (U+27E31)	f0a7b8b1
𧸲	U+27E32 (U+27E32)	f0a7b8b2
𧸳	U+27E33 (U+27E33)	f0a7b8b3
𧸴	U+27E34 (U+27E34)	f0a7b8b4
𧸵	U+27E35 (U+27E35)	f0a7b8b5
𧸶	U+27E36 (U+27E36)	f0a7b8b6
𧸷	U+27E37 (U+27E37)	f0a7b8b7
𧸸	U+27E38 (U+27E38)	f0a7b8b8
𧸹	U+27E39 (U+27E39)	f0a7b8b9
𧸺	U+27E3A (U+27E3A)	f0a7b8ba
𧸻	U+27E3B (U+27E3B)	f0a7b8bb
𧸼	U+27E3C (U+27E3C)	f0a7b8bc
𧸽	U+27E3D (U+27E3D)	f0a7b8bd
𧸾	U+27E3E (U+27E3E)	f0a7b8be
𧸿	U+27E3F (U+27E3F)	f0a7b8bf
𧹀	U+27E40 (U+27E40)	f0a7b980
𧹁	U+27E41 (U+27E41)	f0a7b981
𧹂	U+27E42 (U+27E42)	f0a7b982
𧹃	U+27E43 (U+27E43)	f0a7b983
𧹄	U+27E44 (U+27E44)	f0a7b984
𧹅	U+27E45 (U+27E45)	f0a7b985
𧹆	U+27E46 (U+27E46)	f0a7b986
𧹇	U+27E47 (U+27E47)	f0a7b987
𧹈	U+27E48 (U+27E48)	f0a7b988
𧹉	U+27E49 (U+27E49)	f0a7b989
𧹊	U+27E4A (U+27E4A)	f0a7b98a
𧹋	U+27E4B (U+27E4B)	f0a7b98b
𧹌	U+27E4C (U+27E4C)	f0a7b98c
𧹍	U+27E4D (U+27E4D)	f0a7b98d
𧹎	U+27E4E (U+27E4E)	f0a7b98e
𧹏	U+27E4F (U+27E4F)	f0a7b98f
𧹐	U+27E50 (U+27E50)	f0a7b990
𧹑	U+27E51 (U+27E51)	f0a7b991
𧹒	U+27E52 (U+27E52)	f0a7b992
𧹓	U+27E53 (U+27E53)	f0a7b993
𧹔	U+27E54 (U+27E54)	f0a7b994
𧹕	U+27E55 (U+27E55)	f0a7b995
𧹖	U+27E56 (U+27E56)	f0a7b996
𧹗	U+27E57 (U+27E57)	f0a7b997
𧹘	U+27E58 (U+27E58)	f0a7b998
𧹙	U+27E59 (U+27E59)	f0a7b999
𧹚	U+27E5A (U+27E5A)	f0a7b99a
𧹛	U+27E5B (U+27E5B)	f0a7b99b
𧹜	U+27E5C (U+27E5C)	f0a7b99c
𧹝	U+27E5D (U+27E5D)	f0a7b99d
𧹞	U+27E5E (U+27E5E)	f0a7b99e
𧹟	U+27E5F (U+27E5F)	f0a7b99f
𧹠	U+27E60 (U+27E60)	f0a7b9a0
𧹡	U+27E61 (U+27E61)	f0a7b9a1
𧹢	U+27E62 (U+27E62)	f0a7b9a2
𧹣	U+27E63 (U+27E63)	f0a7b9a3
𧹤	U+27E64 (U+27E64)	f0a7b9a4
𧹥	U+27E65 (U+27E65)	f0a7b9a5
𧹦	U+27E66 (U+27E66)	f0a7b9a6
𧹧	U+27E67 (U+27E67)	f0a7b9a7
𧹨	U+27E68 (U+27E68)	f0a7b9a8
𧹩	U+27E69 (U+27E69)	f0a7b9a9
𧹪	U+27E6A (U+27E6A)	f0a7b9aa
𧹫	U+27E6B (U+27E6B)	f0a7b9ab
𧹬	U+27E6C (U+27E6C)	f0a7b9ac
𧹭	U+27E6D (U+27E6D)	f0a7b9ad
𧹮	U+27E6E (U+27E6E)	f0a7b9ae
𧹯	U+27E6F (U+27E6F)	f0a7b9af
𧹰	U+27E70 (U+27E70)	f0a7b9b0
𧹱	U+27E71 (U+27E71)	f0a7b9b1
𧹲	U+27E72 (U+27E72)	f0a7b9b2
𧹳	U+27E73 (U+27E73)	f0a7b9b3
𧹴	U+27E74 (U+27E74)	f0a7b9b4
𧹵	U+27E75 (U+27E75)	f0a7b9b5
𧹶	U+27E76 (U+27E76)	f0a7b9b6
𧹷	U+27E77 (U+27E77)	f0a7b9b7
𧹸	U+27E78 (U+27E78)	f0a7b9b8
𧹹	U+27E79 (U+27E79)	f0a7b9b9
𧹺	U+27E7A (U+27E7A)	f0a7b9ba
𧹻	U+27E7B (U+27E7B)	f0a7b9bb
𧹼	U+27E7C (U+27E7C)	f0a7b9bc
𧹽	U+27E7D (U+27E7D)	f0a7b9bd
𧹾	U+27E7E (U+27E7E)	f0a7b9be
𧹿	U+27E7F (U+27E7F)	f0a7b9bf
𧺀	U+27E80 (U+27E80)	f0a7ba80
𧺁	U+27E81 (U+27E81)	f0a7ba81
𧺂	U+27E82 (U+27E82)	f0a7ba82
𧺃	U+27E83 (U+27E83)	f0a7ba83
𧺄	U+27E84 (U+27E84)	f0a7ba84
𧺅	U+27E85 (U+27E85)	f0a7ba85
𧺆	U+27E86 (U+27E86)	f0a7ba86
𧺇	U+27E87 (U+27E87)	f0a7ba87
𧺈	U+27E88 (U+27E88)	f0a7ba88
𧺉	U+27E89 (U+27E89)	f0a7ba89
𧺊	U+27E8A (U+27E8A)	f0a7ba8a
𧺋	U+27E8B (U+27E8B)	f0a7ba8b
𧺌	U+27E8C (U+27E8C)	f0a7ba8c
𧺍	U+27E8D (U+27E8D)	f0a7ba8d
𧺎	U+27E8E (U+27E8E)	f0a7ba8e
𧺏	U+27E8F (U+27E8F)	f0a7ba8f
𧺐	U+27E90 (U+27E90)	f0a7ba90
𧺑	U+27E91 (U+27E91)	f0a7ba91
𧺒	U+27E92 (U+27E92)	f0a7ba92
𧺓	U+27E93 (U+27E93)	f0a7ba93
𧺔	U+27E94 (U+27E94)	f0a7ba94
𧺕	U+27E95 (U+27E95)	f0a7ba95
𧺖	U+27E96 (U+27E96)	f0a7ba96
𧺗	U+27E97 (U+27E97)	f0a7ba97
𧺘	U+27E98 (U+27E98)	f0a7ba98
𧺙	U+27E99 (U+27E99)	f0a7ba99
𧺚	U+27E9A (U+27E9A)	f0a7ba9a
𧺛	U+27E9B (U+27E9B)	f0a7ba9b
𧺜	U+27E9C (U+27E9C)	f0a7ba9c
𧺝	U+27E9D (U+27E9D)	f0a7ba9d
𧺞	U+27E9E (U+27E9E)	f0a7ba9e
𧺟	U+27E9F (U+27E9F)	f0a7ba9f
𧺠	U+27EA0 (U+27EA0)	f0a7baa0
𧺡	U+27EA1 (U+27EA1)	f0a7baa1
𧺢	U+27EA2 (U+27EA2)	f0a7baa2
𧺣	U+27EA3 (U+27EA3)	f0a7baa3
𧺤	U+27EA4 (U+27EA4)	f0a7baa4
𧺥	U+27EA5 (U+27EA5)	f0a7baa5
𧺦	U+27EA6 (U+27EA6)	f0a7baa6
𧺧	U+27EA7 (U+27EA7)	f0a7baa7
𧺨	U+27EA8 (U+27EA8)	f0a7baa8
𧺩	U+27EA9 (U+27EA9)	f0a7baa9
𧺪	U+27EAA (U+27EAA)	f0a7baaa
𧺫	U+27EAB (U+27EAB)	f0a7baab
𧺬	U+27EAC (U+27EAC)	f0a7baac
𧺭	U+27EAD (U+27EAD)	f0a7baad
𧺮	U+27EAE (U+27EAE)	f0a7baae
𧺯	U+27EAF (U+27EAF)	f0a7baaf
𧺰	U+27EB0 (U+27EB0)	f0a7bab0
𧺱	U+27EB1 (U+27EB1)	f0a7bab1
𧺲	U+27EB2 (U+27EB2)	f0a7bab2
𧺳	U+27EB3 (U+27EB3)	f0a7bab3
𧺴	U+27EB4 (U+27EB4)	f0a7bab4
𧺵	U+27EB5 (U+27EB5)	f0a7bab5
𧺶	U+27EB6 (U+27EB6)	f0a7bab6
𧺷	U+27EB7 (U+27EB7)	f0a7bab7
𧺸	U+27EB8 (U+27EB8)	f0a7bab8
𧺹	U+27EB9 (U+27EB9)	f0a7bab9
𧺺	U+27EBA (U+27EBA)	f0a7baba
𧺻	U+27EBB (U+27EBB)	f0a7babb
𧺼	U+27EBC (U+27EBC)	f0a7babc
𧺽	U+27EBD (U+27EBD)	f0a7babd
𧺾	U+27EBE (U+27EBE)	f0a7babe
𧺿	U+27EBF (U+27EBF)	f0a7babf
𧻀	U+27EC0 (U+27EC0)	f0a7bb80
𧻁	U+27EC1 (U+27EC1)	f0a7bb81
𧻂	U+27EC2 (U+27EC2)	f0a7bb82
𧻃	U+27EC3 (U+27EC3)	f0a7bb83
𧻄	U+27EC4 (U+27EC4)	f0a7bb84
𧻅	U+27EC5 (U+27EC5)	f0a7bb85
𧻆	U+27EC6 (U+27EC6)	f0a7bb86
𧻇	U+27EC7 (U+27EC7)	f0a7bb87
𧻈	U+27EC8 (U+27EC8)	f0a7bb88
𧻉	U+27EC9 (U+27EC9)	f0a7bb89
𧻊	U+27ECA (U+27ECA)	f0a7bb8a
𧻋	U+27ECB (U+27ECB)	f0a7bb8b
𧻌	U+27ECC (U+27ECC)	f0a7bb8c
𧻍	U+27ECD (U+27ECD)	f0a7bb8d
𧻎	U+27ECE (U+27ECE)	f0a7bb8e
𧻏	U+27ECF (U+27ECF)	f0a7bb8f
𧻐	U+27ED0 (U+27ED0)	f0a7bb90
𧻑	U+27ED1 (U+27ED1)	f0a7bb91
𧻒	U+27ED2 (U+27ED2)	f0a7bb92
𧻓	U+27ED3 (U+27ED3)	f0a7bb93
𧻔	U+27ED4 (U+27ED4)	f0a7bb94
𧻕	U+27ED5 (U+27ED5)	f0a7bb95
𧻖	U+27ED6 (U+27ED6)	f0a7bb96
𧻗	U+27ED7 (U+27ED7)	f0a7bb97
𧻘	U+27ED8 (U+27ED8)	f0a7bb98
𧻙	(Cant.) 轉灣𧻙角, not straightforward (U+27ED9)	f0a7bb99
𧻚	U+27EDA (U+27EDA)	f0a7bb9a
𧻛	U+27EDB (U+27EDB)	f0a7bb9b
𧻜	U+27EDC (U+27EDC)	f0a7bb9c
𧻝	U+27EDD (U+27EDD)	f0a7bb9d
𧻞	U+27EDE (U+27EDE)	f0a7bb9e
𧻟	U+27EDF (U+27EDF)	f0a7bb9f
𧻠	U+27EE0 (U+27EE0)	f0a7bba0
𧻡	U+27EE1 (U+27EE1)	f0a7bba1
𧻢	U+27EE2 (U+27EE2)	f0a7bba2
𧻣	U+27EE3 (U+27EE3)	f0a7bba3
𧻤	U+27EE4 (U+27EE4)	f0a7bba4
𧻥	U+27EE5 (U+27EE5)	f0a7bba5
𧻦	U+27EE6 (U+27EE6)	f0a7bba6
𧻧	U+27EE7 (U+27EE7)	f0a7bba7
𧻨	U+27EE8 (U+27EE8)	f0a7bba8
𧻩	U+27EE9 (U+27EE9)	f0a7bba9
𧻪	U+27EEA (U+27EEA)	f0a7bbaa
𧻫	U+27EEB (U+27EEB)	f0a7bbab
𧻬	U+27EEC (U+27EEC)	f0a7bbac
𧻭	U+27EED (U+27EED)	f0a7bbad
𧻮	U+27EEE (U+27EEE)	f0a7bbae
𧻯	U+27EEF (U+27EEF)	f0a7bbaf
𧻰	U+27EF0 (U+27EF0)	f0a7bbb0
𧻱	U+27EF1 (U+27EF1)	f0a7bbb1
𧻲	U+27EF2 (U+27EF2)	f0a7bbb2
𧻳	U+27EF3 (U+27EF3)	f0a7bbb3
𧻴	U+27EF4 (U+27EF4)	f0a7bbb4
𧻵	U+27EF5 (U+27EF5)	f0a7bbb5
𧻶	U+27EF6 (U+27EF6)	f0a7bbb6
𧻷	U+27EF7 (U+27EF7)	f0a7bbb7
𧻸	U+27EF8 (U+27EF8)	f0a7bbb8
𧻹	U+27EF9 (U+27EF9)	f0a7bbb9
𧻺	U+27EFA (U+27EFA)	f0a7bbba
𧻻	U+27EFB (U+27EFB)	f0a7bbbb
𧻼	U+27EFC (U+27EFC)	f0a7bbbc
𧻽	U+27EFD (U+27EFD)	f0a7bbbd
𧻾	U+27EFE (U+27EFE)	f0a7bbbe
𧻿	U+27EFF (U+27EFF)	f0a7bbbf
𧼀	U+27F00 (U+27F00)	f0a7bc80
𧼁	U+27F01 (U+27F01)	f0a7bc81
𧼂	U+27F02 (U+27F02)	f0a7bc82
𧼃	U+27F03 (U+27F03)	f0a7bc83
𧼄	U+27F04 (U+27F04)	f0a7bc84
𧼅	U+27F05 (U+27F05)	f0a7bc85
𧼆	U+27F06 (U+27F06)	f0a7bc86
𧼇	U+27F07 (U+27F07)	f0a7bc87
𧼈	U+27F08 (U+27F08)	f0a7bc88
𧼉	U+27F09 (U+27F09)	f0a7bc89
𧼊	U+27F0A (U+27F0A)	f0a7bc8a
𧼋	U+27F0B (U+27F0B)	f0a7bc8b
𧼌	U+27F0C (U+27F0C)	f0a7bc8c
𧼍	U+27F0D (U+27F0D)	f0a7bc8d
𧼎	U+27F0E (U+27F0E)	f0a7bc8e
𧼏	U+27F0F (U+27F0F)	f0a7bc8f
𧼐	U+27F10 (U+27F10)	f0a7bc90
𧼑	U+27F11 (U+27F11)	f0a7bc91
𧼒	U+27F12 (U+27F12)	f0a7bc92
𧼓	U+27F13 (U+27F13)	f0a7bc93
𧼔	U+27F14 (U+27F14)	f0a7bc94
𧼕	U+27F15 (U+27F15)	f0a7bc95
𧼖	U+27F16 (U+27F16)	f0a7bc96
𧼗	U+27F17 (U+27F17)	f0a7bc97
𧼘	U+27F18 (U+27F18)	f0a7bc98
𧼙	U+27F19 (U+27F19)	f0a7bc99
𧼚	U+27F1A (U+27F1A)	f0a7bc9a
𧼛	U+27F1B (U+27F1B)	f0a7bc9b
𧼜	U+27F1C (U+27F1C)	f0a7bc9c
𧼝	U+27F1D (U+27F1D)	f0a7bc9d
𧼞	U+27F1E (U+27F1E)	f0a7bc9e
𧼟	U+27F1F (U+27F1F)	f0a7bc9f
𧼠	U+27F20 (U+27F20)	f0a7bca0
𧼡	U+27F21 (U+27F21)	f0a7bca1
𧼢	U+27F22 (U+27F22)	f0a7bca2
𧼣	U+27F23 (U+27F23)	f0a7bca3
𧼤	U+27F24 (U+27F24)	f0a7bca4
𧼥	U+27F25 (U+27F25)	f0a7bca5
𧼦	U+27F26 (U+27F26)	f0a7bca6
𧼧	U+27F27 (U+27F27)	f0a7bca7
𧼨	U+27F28 (U+27F28)	f0a7bca8
𧼩	U+27F29 (U+27F29)	f0a7bca9
𧼪	U+27F2A (U+27F2A)	f0a7bcaa
𧼫	U+27F2B (U+27F2B)	f0a7bcab
𧼬	U+27F2C (U+27F2C)	f0a7bcac
𧼭	U+27F2D (U+27F2D)	f0a7bcad
𧼮	to wade (U+27F2E)	f0a7bcae
𧼯	U+27F2F (U+27F2F)	f0a7bcaf
𧼰	U+27F30 (U+27F30)	f0a7bcb0
𧼱	U+27F31 (U+27F31)	f0a7bcb1
𧼲	U+27F32 (U+27F32)	f0a7bcb2
𧼳	U+27F33 (U+27F33)	f0a7bcb3
𧼴	U+27F34 (U+27F34)	f0a7bcb4
𧼵	U+27F35 (U+27F35)	f0a7bcb5
𧼶	U+27F36 (U+27F36)	f0a7bcb6
𧼷	U+27F37 (U+27F37)	f0a7bcb7
𧼸	U+27F38 (U+27F38)	f0a7bcb8
𧼹	U+27F39 (U+27F39)	f0a7bcb9
𧼺	U+27F3A (U+27F3A)	f0a7bcba
𧼻	U+27F3B (U+27F3B)	f0a7bcbb
𧼼	U+27F3C (U+27F3C)	f0a7bcbc
𧼽	U+27F3D (U+27F3D)	f0a7bcbd
𧼾	U+27F3E (U+27F3E)	f0a7bcbe
𧼿	U+27F3F (U+27F3F)	f0a7bcbf
𧽀	U+27F40 (U+27F40)	f0a7bd80
𧽁	U+27F41 (U+27F41)	f0a7bd81
𧽂	U+27F42 (U+27F42)	f0a7bd82
𧽃	U+27F43 (U+27F43)	f0a7bd83
𧽄	U+27F44 (U+27F44)	f0a7bd84
𧽅	U+27F45 (U+27F45)	f0a7bd85
𧽆	U+27F46 (U+27F46)	f0a7bd86
𧽇	U+27F47 (U+27F47)	f0a7bd87
𧽈	U+27F48 (U+27F48)	f0a7bd88
𧽉	U+27F49 (U+27F49)	f0a7bd89
𧽊	U+27F4A (U+27F4A)	f0a7bd8a
𧽋	U+27F4B (U+27F4B)	f0a7bd8b
𧽌	U+27F4C (U+27F4C)	f0a7bd8c
𧽍	to jolt in trotting (U+27F4D)	f0a7bd8d
𧽎	U+27F4E (U+27F4E)	f0a7bd8e
𧽏	U+27F4F (U+27F4F)	f0a7bd8f
𧽐	U+27F50 (U+27F50)	f0a7bd90
𧽑	U+27F51 (U+27F51)	f0a7bd91
