𦝯	U+2676F (U+2676F)	f0a69daf
𦦋	U+2698B (U+2698B)	f0a6a68b
𦦌	U+2698C (U+2698C)	f0a6a68c
𦦍	U+2698D (U+2698D)	f0a6a68d
𦦎	U+2698E (U+2698E)	f0a6a68e
𦦏	U+2698F (U+2698F)	f0a6a68f
𦦐	U+26990 (U+26990)	f0a6a690
𦦑	U+26991 (U+26991)	f0a6a691
𦦒	U+26992 (U+26992)	f0a6a692
𦦓	U+26993 (U+26993)	f0a6a693
𦦔	U+26994 (U+26994)	f0a6a694
𦦕	U+26995 (U+26995)	f0a6a695
𦦖	U+26996 (U+26996)	f0a6a696
𦦗	U+26997 (U+26997)	f0a6a697
𦦘	U+26998 (U+26998)	f0a6a698
𦦙	variant of 挙 U+6319, to raise, lift up; to recommend (U+26999)	f0a6a699
𦦚	U+2699A (U+2699A)	f0a6a69a
𦦛	U+2699B (U+2699B)	f0a6a69b
𦦜	U+2699C (U+2699C)	f0a6a69c
𦦝	U+2699D (U+2699D)	f0a6a69d
𦦞	U+2699E (U+2699E)	f0a6a69e
𦦟	U+2699F (U+2699F)	f0a6a69f
𦦠	U+269A0 (U+269A0)	f0a6a6a0
𦦡	U+269A1 (U+269A1)	f0a6a6a1
𦦢	U+269A2 (U+269A2)	f0a6a6a2
𦦣	U+269A3 (U+269A3)	f0a6a6a3
𦦤	U+269A4 (U+269A4)	f0a6a6a4
𦦥	U+269A5 (U+269A5)	f0a6a6a5
𦦦	U+269A6 (U+269A6)	f0a6a6a6
𦦧	U+269A7 (U+269A7)	f0a6a6a7
𦦨	U+269A8 (U+269A8)	f0a6a6a8
𦦩	U+269A9 (U+269A9)	f0a6a6a9
𦦪	U+269AA (U+269AA)	f0a6a6aa
𦦫	U+269AB (U+269AB)	f0a6a6ab
𦦬	U+269AC (U+269AC)	f0a6a6ac
𦦭	U+269AD (U+269AD)	f0a6a6ad
𦦮	U+269AE (U+269AE)	f0a6a6ae
𦦯	U+269AF (U+269AF)	f0a6a6af
𦦰	U+269B0 (U+269B0)	f0a6a6b0
𦦱	U+269B1 (U+269B1)	f0a6a6b1
𦦲	U+269B2 (U+269B2)	f0a6a6b2
𦦳	U+269B3 (U+269B3)	f0a6a6b3
𦦴	U+269B4 (U+269B4)	f0a6a6b4
𦦵	U+269B5 (U+269B5)	f0a6a6b5
𦦶	U+269B6 (U+269B6)	f0a6a6b6
𦦷	U+269B7 (U+269B7)	f0a6a6b7
𦦸	U+269B8 (U+269B8)	f0a6a6b8
𦦹	U+269B9 (U+269B9)	f0a6a6b9
𦦺	U+269BA (U+269BA)	f0a6a6ba
𦦻	U+269BB (U+269BB)	f0a6a6bb
𦦼	U+269BC (U+269BC)	f0a6a6bc
𦦽	U+269BD (U+269BD)	f0a6a6bd
𦦾	U+269BE (U+269BE)	f0a6a6be
𦦿	U+269BF (U+269BF)	f0a6a6bf
𦧀	U+269C0 (U+269C0)	f0a6a780
𦧁	U+269C1 (U+269C1)	f0a6a781
𦧂	U+269C2 (U+269C2)	f0a6a782
𦧃	U+269C3 (U+269C3)	f0a6a783
𦧄	U+269C4 (U+269C4)	f0a6a784
𦧅	U+269C5 (U+269C5)	f0a6a785
𦧆	U+269C6 (U+269C6)	f0a6a786
𦧇	U+269C7 (U+269C7)	f0a6a787
𦧈	U+269C8 (U+269C8)	f0a6a788
𦧉	U+269C9 (U+269C9)	f0a6a789
𦧊	U+269CA (U+269CA)	f0a6a78a
𦧋	U+269CB (U+269CB)	f0a6a78b
𦧌	U+269CC (U+269CC)	f0a6a78c
𦧍	U+269CD (U+269CD)	f0a6a78d
𦧎	U+269CE (U+269CE)	f0a6a78e
𦧏	U+269CF (U+269CF)	f0a6a78f
𦧐	U+269D0 (U+269D0)	f0a6a790
𦧑	U+269D1 (U+269D1)	f0a6a791
𦧒	U+269D2 (U+269D2)	f0a6a792
𦧓	U+269D3 (U+269D3)	f0a6a793
𦧔	U+269D4 (U+269D4)	f0a6a794
𦧕	U+269D5 (U+269D5)	f0a6a795
𦧖	U+269D6 (U+269D6)	f0a6a796
𦧗	U+269D7 (U+269D7)	f0a6a797
𦧘	U+269D8 (U+269D8)	f0a6a798
𦧙	U+269D9 (U+269D9)	f0a6a799
𦧚	U+269DA (U+269DA)	f0a6a79a
𦧛	U+269DB (U+269DB)	f0a6a79b
𦧜	U+269DC (U+269DC)	f0a6a79c
𦧝	U+269DD (U+269DD)	f0a6a79d
𦧞	U+269DE (U+269DE)	f0a6a79e
𦧟	U+269DF (U+269DF)	f0a6a79f
𦧠	U+269E0 (U+269E0)	f0a6a7a0
𦧡	U+269E1 (U+269E1)	f0a6a7a1
𦧢	U+269E2 (U+269E2)	f0a6a7a2
𦧣	U+269E3 (U+269E3)	f0a6a7a3
𦧤	U+269E4 (U+269E4)	f0a6a7a4
𦧥	U+269E5 (U+269E5)	f0a6a7a5
𦧦	U+269E6 (U+269E6)	f0a6a7a6
𦧧	U+269E7 (U+269E7)	f0a6a7a7
𦧨	U+269E8 (U+269E8)	f0a6a7a8
𦧩	U+269E9 (U+269E9)	f0a6a7a9
𦧪	U+269EA (U+269EA)	f0a6a7aa
𦧫	U+269EB (U+269EB)	f0a6a7ab
𦧬	U+269EC (U+269EC)	f0a6a7ac
𦧭	U+269ED (U+269ED)	f0a6a7ad
𦧮	U+269EE (U+269EE)	f0a6a7ae
𦧯	U+269EF (U+269EF)	f0a6a7af
𦧰	U+269F0 (U+269F0)	f0a6a7b0
𦧱	U+269F1 (U+269F1)	f0a6a7b1
𦧲	(Cant.) to dribble, spit; to pester, nag (U+269F2)	f0a6a7b2
𦧳	U+269F3 (U+269F3)	f0a6a7b3
𦧴	U+269F4 (U+269F4)	f0a6a7b4
𦧵	U+269F5 (U+269F5)	f0a6a7b5
𦧶	U+269F6 (U+269F6)	f0a6a7b6
𦧷	U+269F7 (U+269F7)	f0a6a7b7
𦧸	U+269F8 (U+269F8)	f0a6a7b8
𦧹	U+269F9 (U+269F9)	f0a6a7b9
𦧺	(Cant.) to lick, lap up (U+269FA)	f0a6a7ba
𦧻	U+269FB (U+269FB)	f0a6a7bb
𦧼	U+269FC (U+269FC)	f0a6a7bc
𦧽	U+269FD (U+269FD)	f0a6a7bd
𦧾	U+269FE (U+269FE)	f0a6a7be
𦧿	U+269FF (U+269FF)	f0a6a7bf
𦨀	U+26A00 (U+26A00)	f0a6a880
𦨁	U+26A01 (U+26A01)	f0a6a881
𦨂	U+26A02 (U+26A02)	f0a6a882
𦨃	U+26A03 (U+26A03)	f0a6a883
𦨄	U+26A04 (U+26A04)	f0a6a884
𦨅	U+26A05 (U+26A05)	f0a6a885
𦨆	U+26A06 (U+26A06)	f0a6a886
𦨇	U+26A07 (U+26A07)	f0a6a887
𦨈	U+26A08 (U+26A08)	f0a6a888
𦨉	U+26A09 (U+26A09)	f0a6a889
𦨊	U+26A0A (U+26A0A)	f0a6a88a
𦨋	U+26A0B (U+26A0B)	f0a6a88b
𦨌	U+26A0C (U+26A0C)	f0a6a88c
𦨍	U+26A0D (U+26A0D)	f0a6a88d
𦨎	U+26A0E (U+26A0E)	f0a6a88e
𦨏	U+26A0F (U+26A0F)	f0a6a88f
𦨐	U+26A10 (U+26A10)	f0a6a890
𦨑	U+26A11 (U+26A11)	f0a6a891
𦨒	U+26A12 (U+26A12)	f0a6a892
𦨓	U+26A13 (U+26A13)	f0a6a893
𦨔	U+26A14 (U+26A14)	f0a6a894
𦨕	U+26A15 (U+26A15)	f0a6a895
𦨖	U+26A16 (U+26A16)	f0a6a896
𦨗	U+26A17 (U+26A17)	f0a6a897
𦨘	U+26A18 (U+26A18)	f0a6a898
𦨙	U+26A19 (U+26A19)	f0a6a899
𦨚	U+26A1A (U+26A1A)	f0a6a89a
𦨛	U+26A1B (U+26A1B)	f0a6a89b
𦨜	U+26A1C (U+26A1C)	f0a6a89c
𦨝	U+26A1D (U+26A1D)	f0a6a89d
𦨞	U+26A1E (U+26A1E)	f0a6a89e
𦨟	U+26A1F (U+26A1F)	f0a6a89f
𦨠	U+26A20 (U+26A20)	f0a6a8a0
𦨡	U+26A21 (U+26A21)	f0a6a8a1
𦨢	U+26A22 (U+26A22)	f0a6a8a2
𦨣	U+26A23 (U+26A23)	f0a6a8a3
𦨤	U+26A24 (U+26A24)	f0a6a8a4
𦨥	U+26A25 (U+26A25)	f0a6a8a5
𦨦	U+26A26 (U+26A26)	f0a6a8a6
𦨧	U+26A27 (U+26A27)	f0a6a8a7
𦨨	U+26A28 (U+26A28)	f0a6a8a8
𦨩	U+26A29 (U+26A29)	f0a6a8a9
𦨪	U+26A2A (U+26A2A)	f0a6a8aa
𦨫	U+26A2B (U+26A2B)	f0a6a8ab
𦨬	U+26A2C (U+26A2C)	f0a6a8ac
𦨭	U+26A2D (U+26A2D)	f0a6a8ad
𦨮	U+26A2E (U+26A2E)	f0a6a8ae
𦨯	U+26A2F (U+26A2F)	f0a6a8af
𦨰	U+26A30 (U+26A30)	f0a6a8b0
𦨱	U+26A31 (U+26A31)	f0a6a8b1
𦨲	U+26A32 (U+26A32)	f0a6a8b2
𦨳	U+26A33 (U+26A33)	f0a6a8b3
𦨴	U+26A34 (U+26A34)	f0a6a8b4
𦨵	U+26A35 (U+26A35)	f0a6a8b5
𦨶	U+26A36 (U+26A36)	f0a6a8b6
𦨷	U+26A37 (U+26A37)	f0a6a8b7
𦨸	U+26A38 (U+26A38)	f0a6a8b8
𦨹	U+26A39 (U+26A39)	f0a6a8b9
𦨺	U+26A3A (U+26A3A)	f0a6a8ba
𦨻	U+26A3B (U+26A3B)	f0a6a8bb
𦨼	U+26A3C (U+26A3C)	f0a6a8bc
𦨽	U+26A3D (U+26A3D)	f0a6a8bd
𦨾	U+26A3E (U+26A3E)	f0a6a8be
𦨿	U+26A3F (U+26A3F)	f0a6a8bf
𦩀	U+26A40 (U+26A40)	f0a6a980
𦩁	U+26A41 (U+26A41)	f0a6a981
𦩂	U+26A42 (U+26A42)	f0a6a982
𦩃	U+26A43 (U+26A43)	f0a6a983
𦩄	U+26A44 (U+26A44)	f0a6a984
𦩅	U+26A45 (U+26A45)	f0a6a985
𦩆	U+26A46 (U+26A46)	f0a6a986
𦩇	U+26A47 (U+26A47)	f0a6a987
𦩈	U+26A48 (U+26A48)	f0a6a988
𦩉	U+26A49 (U+26A49)	f0a6a989
𦩊	U+26A4A (U+26A4A)	f0a6a98a
𦩋	U+26A4B (U+26A4B)	f0a6a98b
𦩌	U+26A4C (U+26A4C)	f0a6a98c
𦩍	U+26A4D (U+26A4D)	f0a6a98d
𦩎	U+26A4E (U+26A4E)	f0a6a98e
𦩏	U+26A4F (U+26A4F)	f0a6a98f
𦩐	U+26A50 (U+26A50)	f0a6a990
𦩑	U+26A51 (U+26A51)	f0a6a991
𦩒	U+26A52 (U+26A52)	f0a6a992
𦩓	U+26A53 (U+26A53)	f0a6a993
𦩔	U+26A54 (U+26A54)	f0a6a994
𦩕	U+26A55 (U+26A55)	f0a6a995
𦩖	U+26A56 (U+26A56)	f0a6a996
𦩗	U+26A57 (U+26A57)	f0a6a997
𦩘	U+26A58 (U+26A58)	f0a6a998
𦩙	U+26A59 (U+26A59)	f0a6a999
𦩚	U+26A5A (U+26A5A)	f0a6a99a
𦩛	U+26A5B (U+26A5B)	f0a6a99b
𦩜	U+26A5C (U+26A5C)	f0a6a99c
𦩝	U+26A5D (U+26A5D)	f0a6a99d
𦩞	U+26A5E (U+26A5E)	f0a6a99e
𦩟	U+26A5F (U+26A5F)	f0a6a99f
𦩠	U+26A60 (U+26A60)	f0a6a9a0
𦩡	U+26A61 (U+26A61)	f0a6a9a1
𦩢	U+26A62 (U+26A62)	f0a6a9a2
𦩣	U+26A63 (U+26A63)	f0a6a9a3
𦩤	U+26A64 (U+26A64)	f0a6a9a4
𦩥	U+26A65 (U+26A65)	f0a6a9a5
𦩦	U+26A66 (U+26A66)	f0a6a9a6
𦩧	U+26A67 (U+26A67)	f0a6a9a7
𦩨	U+26A68 (U+26A68)	f0a6a9a8
𦩩	U+26A69 (U+26A69)	f0a6a9a9
𦩪	U+26A6A (U+26A6A)	f0a6a9aa
𦩫	U+26A6B (U+26A6B)	f0a6a9ab
𦩬	U+26A6C (U+26A6C)	f0a6a9ac
𦩭	U+26A6D (U+26A6D)	f0a6a9ad
𦩮	U+26A6E (U+26A6E)	f0a6a9ae
𦩯	U+26A6F (U+26A6F)	f0a6a9af
𦩰	U+26A70 (U+26A70)	f0a6a9b0
𦩱	U+26A71 (U+26A71)	f0a6a9b1
𦩲	U+26A72 (U+26A72)	f0a6a9b2
𦩳	U+26A73 (U+26A73)	f0a6a9b3
𦩴	U+26A74 (U+26A74)	f0a6a9b4
𦩵	U+26A75 (U+26A75)	f0a6a9b5
𦩶	U+26A76 (U+26A76)	f0a6a9b6
𦩷	U+26A77 (U+26A77)	f0a6a9b7
𦩸	U+26A78 (U+26A78)	f0a6a9b8
𦩹	U+26A79 (U+26A79)	f0a6a9b9
𦩺	U+26A7A (U+26A7A)	f0a6a9ba
𦩻	U+26A7B (U+26A7B)	f0a6a9bb
𦩼	U+26A7C (U+26A7C)	f0a6a9bc
𦩽	U+26A7D (U+26A7D)	f0a6a9bd
𦩾	U+26A7E (U+26A7E)	f0a6a9be
𦩿	U+26A7F (U+26A7F)	f0a6a9bf
𦪀	U+26A80 (U+26A80)	f0a6aa80
𦪁	U+26A81 (U+26A81)	f0a6aa81
𦪂	U+26A82 (U+26A82)	f0a6aa82
𦪃	U+26A83 (U+26A83)	f0a6aa83
𦪄	U+26A84 (U+26A84)	f0a6aa84
𦪅	U+26A85 (U+26A85)	f0a6aa85
𦪆	U+26A86 (U+26A86)	f0a6aa86
𦪇	U+26A87 (U+26A87)	f0a6aa87
𦪈	(Cant.) to kneel (U+26A88)	f0a6aa88
𦪉	U+26A89 (U+26A89)	f0a6aa89
𦪊	U+26A8A (U+26A8A)	f0a6aa8a
𦪋	U+26A8B (U+26A8B)	f0a6aa8b
𦪌	U+26A8C (U+26A8C)	f0a6aa8c
𦪍	U+26A8D (U+26A8D)	f0a6aa8d
𦪎	U+26A8E (U+26A8E)	f0a6aa8e
𦪏	U+26A8F (U+26A8F)	f0a6aa8f
𦪐	U+26A90 (U+26A90)	f0a6aa90
𦪑	U+26A91 (U+26A91)	f0a6aa91
𦪒	U+26A92 (U+26A92)	f0a6aa92
𦪓	U+26A93 (U+26A93)	f0a6aa93
𦪔	U+26A94 (U+26A94)	f0a6aa94
𦪕	U+26A95 (U+26A95)	f0a6aa95
𦪖	U+26A96 (U+26A96)	f0a6aa96
𦪗	U+26A97 (U+26A97)	f0a6aa97
𦪘	U+26A98 (U+26A98)	f0a6aa98
𦪙	U+26A99 (U+26A99)	f0a6aa99
𦪚	U+26A9A (U+26A9A)	f0a6aa9a
𦪛	U+26A9B (U+26A9B)	f0a6aa9b
𦪜	U+26A9C (U+26A9C)	f0a6aa9c
𦪝	U+26A9D (U+26A9D)	f0a6aa9d
𦪞	U+26A9E (U+26A9E)	f0a6aa9e
𦪟	U+26A9F (U+26A9F)	f0a6aa9f
𦪠	U+26AA0 (U+26AA0)	f0a6aaa0
𦪡	U+26AA1 (U+26AA1)	f0a6aaa1
𦪢	U+26AA2 (U+26AA2)	f0a6aaa2
𦪣	U+26AA3 (U+26AA3)	f0a6aaa3
𦪤	U+26AA4 (U+26AA4)	f0a6aaa4
𦪥	U+26AA5 (U+26AA5)	f0a6aaa5
𦪦	U+26AA6 (U+26AA6)	f0a6aaa6
𦪧	U+26AA7 (U+26AA7)	f0a6aaa7
𦪨	U+26AA8 (U+26AA8)	f0a6aaa8
𦪩	U+26AA9 (U+26AA9)	f0a6aaa9
𦪪	U+26AAA (U+26AAA)	f0a6aaaa
𦪫	U+26AAB (U+26AAB)	f0a6aaab
𦪬	U+26AAC (U+26AAC)	f0a6aaac
𦪭	U+26AAD (U+26AAD)	f0a6aaad
𦪮	U+26AAE (U+26AAE)	f0a6aaae
𦪯	U+26AAF (U+26AAF)	f0a6aaaf
𦪰	U+26AB0 (U+26AB0)	f0a6aab0
𦪱	U+26AB1 (U+26AB1)	f0a6aab1
𦪲	U+26AB2 (U+26AB2)	f0a6aab2
𦪳	U+26AB3 (U+26AB3)	f0a6aab3
𦪴	U+26AB4 (U+26AB4)	f0a6aab4
𦪵	U+26AB5 (U+26AB5)	f0a6aab5
𦪶	U+26AB6 (U+26AB6)	f0a6aab6
𦪷	U+26AB7 (U+26AB7)	f0a6aab7
𦪸	U+26AB8 (U+26AB8)	f0a6aab8
𦪹	U+26AB9 (U+26AB9)	f0a6aab9
𦪺	U+26ABA (U+26ABA)	f0a6aaba
𦪻	U+26ABB (U+26ABB)	f0a6aabb
𦪼	U+26ABC (U+26ABC)	f0a6aabc
𦪽	U+26ABD (U+26ABD)	f0a6aabd
𦪾	U+26ABE (U+26ABE)	f0a6aabe
𦪿	U+26ABF (U+26ABF)	f0a6aabf
𦫀	U+26AC0 (U+26AC0)	f0a6ab80
𦫁	U+26AC1 (U+26AC1)	f0a6ab81
𦫂	U+26AC2 (U+26AC2)	f0a6ab82
𦫃	U+26AC3 (U+26AC3)	f0a6ab83
𦫄	U+26AC4 (U+26AC4)	f0a6ab84
𦫅	U+26AC5 (U+26AC5)	f0a6ab85
𦫆	U+26AC6 (U+26AC6)	f0a6ab86
𦫇	U+26AC7 (U+26AC7)	f0a6ab87
𦫈	U+26AC8 (U+26AC8)	f0a6ab88
𦫉	U+26AC9 (U+26AC9)	f0a6ab89
𦫊	U+26ACA (U+26ACA)	f0a6ab8a
𦫋	U+26ACB (U+26ACB)	f0a6ab8b
𦫌	U+26ACC (U+26ACC)	f0a6ab8c
𦫍	U+26ACD (U+26ACD)	f0a6ab8d
𦫎	U+26ACE (U+26ACE)	f0a6ab8e
𦫏	U+26ACF (U+26ACF)	f0a6ab8f
𦫐	U+26AD0 (U+26AD0)	f0a6ab90
𦫑	U+26AD1 (U+26AD1)	f0a6ab91
𦫒	U+26AD2 (U+26AD2)	f0a6ab92
𦫓	U+26AD3 (U+26AD3)	f0a6ab93
𦫔	U+26AD4 (U+26AD4)	f0a6ab94
𦫕	U+26AD5 (U+26AD5)	f0a6ab95
𦫖	U+26AD6 (U+26AD6)	f0a6ab96
𦫗	U+26AD7 (U+26AD7)	f0a6ab97
𦫘	U+26AD8 (U+26AD8)	f0a6ab98
𦫙	U+26AD9 (U+26AD9)	f0a6ab99
𦫚	U+26ADA (U+26ADA)	f0a6ab9a
𦫛	U+26ADB (U+26ADB)	f0a6ab9b
𦫜	U+26ADC (U+26ADC)	f0a6ab9c
𦫝	U+26ADD (U+26ADD)	f0a6ab9d
𦫞	U+26ADE (U+26ADE)	f0a6ab9e
𦫟	U+26ADF (U+26ADF)	f0a6ab9f
𦫠	U+26AE0 (U+26AE0)	f0a6aba0
𦫡	U+26AE1 (U+26AE1)	f0a6aba1
𦫢	U+26AE2 (U+26AE2)	f0a6aba2
𦫣	U+26AE3 (U+26AE3)	f0a6aba3
𦫤	U+26AE4 (U+26AE4)	f0a6aba4
𦫥	U+26AE5 (U+26AE5)	f0a6aba5
𦫦	U+26AE6 (U+26AE6)	f0a6aba6
𦫧	U+26AE7 (U+26AE7)	f0a6aba7
𦫨	U+26AE8 (U+26AE8)	f0a6aba8
𦫩	U+26AE9 (U+26AE9)	f0a6aba9
𦫪	U+26AEA (U+26AEA)	f0a6abaa
𦫫	U+26AEB (U+26AEB)	f0a6abab
𦫬	U+26AEC (U+26AEC)	f0a6abac
𦫭	U+26AED (U+26AED)	f0a6abad
𦫮	U+26AEE (U+26AEE)	f0a6abae
𦫯	U+26AEF (U+26AEF)	f0a6abaf
𦫰	U+26AF0 (U+26AF0)	f0a6abb0
𦫱	U+26AF1 (U+26AF1)	f0a6abb1
𦫲	U+26AF2 (U+26AF2)	f0a6abb2
𦫳	U+26AF3 (U+26AF3)	f0a6abb3
𦫴	U+26AF4 (U+26AF4)	f0a6abb4
𦫵	U+26AF5 (U+26AF5)	f0a6abb5
𦫶	U+26AF6 (U+26AF6)	f0a6abb6
𦫷	U+26AF7 (U+26AF7)	f0a6abb7
𦫸	U+26AF8 (U+26AF8)	f0a6abb8
𦫹	U+26AF9 (U+26AF9)	f0a6abb9
𦫺	U+26AFA (U+26AFA)	f0a6abba
𦫻	U+26AFB (U+26AFB)	f0a6abbb
𦫼	U+26AFC (U+26AFC)	f0a6abbc
𦫽	U+26AFD (U+26AFD)	f0a6abbd
𦫾	U+26AFE (U+26AFE)	f0a6abbe
𦫿	U+26AFF (U+26AFF)	f0a6abbf
𦬀	U+26B00 (U+26B00)	f0a6ac80
𦬁	U+26B01 (U+26B01)	f0a6ac81
𦬂	U+26B02 (U+26B02)	f0a6ac82
𦬃	U+26B03 (U+26B03)	f0a6ac83
𦬄	U+26B04 (U+26B04)	f0a6ac84
𦬅	U+26B05 (U+26B05)	f0a6ac85
𦬆	U+26B06 (U+26B06)	f0a6ac86
𦬇	U+26B07 (U+26B07)	f0a6ac87
𦬈	U+26B08 (U+26B08)	f0a6ac88
𦬉	U+26B09 (U+26B09)	f0a6ac89
𦬊	U+26B0A (U+26B0A)	f0a6ac8a
𦬋	U+26B0B (U+26B0B)	f0a6ac8b
𦬌	U+26B0C (U+26B0C)	f0a6ac8c
𦬍	U+26B0D (U+26B0D)	f0a6ac8d
𦬎	U+26B0E (U+26B0E)	f0a6ac8e
𦬏	U+26B0F (U+26B0F)	f0a6ac8f
𦬐	U+26B10 (U+26B10)	f0a6ac90
𦬑	U+26B11 (U+26B11)	f0a6ac91
𦬒	U+26B12 (U+26B12)	f0a6ac92
𦬓	U+26B13 (U+26B13)	f0a6ac93
𦬔	U+26B14 (U+26B14)	f0a6ac94
𦬕	U+26B15 (U+26B15)	f0a6ac95
𦬖	U+26B16 (U+26B16)	f0a6ac96
𦬗	U+26B17 (U+26B17)	f0a6ac97
𦬘	U+26B18 (U+26B18)	f0a6ac98
𦬙	U+26B19 (U+26B19)	f0a6ac99
𦬚	U+26B1A (U+26B1A)	f0a6ac9a
𦬛	U+26B1B (U+26B1B)	f0a6ac9b
𦬜	U+26B1C (U+26B1C)	f0a6ac9c
𦬝	U+26B1D (U+26B1D)	f0a6ac9d
𦬞	U+26B1E (U+26B1E)	f0a6ac9e
𦬟	U+26B1F (U+26B1F)	f0a6ac9f
𦬠	U+26B20 (U+26B20)	f0a6aca0
𦬡	U+26B21 (U+26B21)	f0a6aca1
𦬢	U+26B22 (U+26B22)	f0a6aca2
𦬣	U+26B23 (U+26B23)	f0a6aca3
𦬤	U+26B24 (U+26B24)	f0a6aca4
𦬥	U+26B25 (U+26B25)	f0a6aca5
𦬦	U+26B26 (U+26B26)	f0a6aca6
𦬧	U+26B27 (U+26B27)	f0a6aca7
𦬨	U+26B28 (U+26B28)	f0a6aca8
𦬩	U+26B29 (U+26B29)	f0a6aca9
𦬪	U+26B2A (U+26B2A)	f0a6acaa
𦬫	U+26B2B (U+26B2B)	f0a6acab
𦬬	U+26B2C (U+26B2C)	f0a6acac
𦬭	U+26B2D (U+26B2D)	f0a6acad
𦬮	U+26B2E (U+26B2E)	f0a6acae
𦬯	U+26B2F (U+26B2F)	f0a6acaf
𦬰	U+26B30 (U+26B30)	f0a6acb0
𦬱	U+26B31 (U+26B31)	f0a6acb1
𦬲	U+26B32 (U+26B32)	f0a6acb2
𦬳	U+26B33 (U+26B33)	f0a6acb3
𦬴	U+26B34 (U+26B34)	f0a6acb4
𦬵	U+26B35 (U+26B35)	f0a6acb5
𦬶	U+26B36 (U+26B36)	f0a6acb6
𦬷	U+26B37 (U+26B37)	f0a6acb7
𦬸	U+26B38 (U+26B38)	f0a6acb8
𦬹	U+26B39 (U+26B39)	f0a6acb9
𦬺	U+26B3A (U+26B3A)	f0a6acba
𦬻	U+26B3B (U+26B3B)	f0a6acbb
𦬼	U+26B3C (U+26B3C)	f0a6acbc
𦬽	U+26B3D (U+26B3D)	f0a6acbd
𦬾	U+26B3E (U+26B3E)	f0a6acbe
𦬿	U+26B3F (U+26B3F)	f0a6acbf
𦭀	U+26B40 (U+26B40)	f0a6ad80
𦭁	U+26B41 (U+26B41)	f0a6ad81
𦭂	U+26B42 (U+26B42)	f0a6ad82
𦭃	U+26B43 (U+26B43)	f0a6ad83
𦭄	U+26B44 (U+26B44)	f0a6ad84
𦭅	U+26B45 (U+26B45)	f0a6ad85
𦭆	U+26B46 (U+26B46)	f0a6ad86
𦭇	U+26B47 (U+26B47)	f0a6ad87
𦭈	U+26B48 (U+26B48)	f0a6ad88
𦭉	U+26B49 (U+26B49)	f0a6ad89
𦭊	U+26B4A (U+26B4A)	f0a6ad8a
𦭋	U+26B4B (U+26B4B)	f0a6ad8b
𦭌	U+26B4C (U+26B4C)	f0a6ad8c
𦭍	U+26B4D (U+26B4D)	f0a6ad8d
𦭎	U+26B4E (U+26B4E)	f0a6ad8e
𦭏	U+26B4F (U+26B4F)	f0a6ad8f
𦭐	U+26B50 (U+26B50)	f0a6ad90
𦭑	U+26B51 (U+26B51)	f0a6ad91
𦭒	U+26B52 (U+26B52)	f0a6ad92
𦭓	U+26B53 (U+26B53)	f0a6ad93
𦭔	U+26B54 (U+26B54)	f0a6ad94
𦭕	U+26B55 (U+26B55)	f0a6ad95
𦭖	U+26B56 (U+26B56)	f0a6ad96
𦭗	U+26B57 (U+26B57)	f0a6ad97
𦭘	U+26B58 (U+26B58)	f0a6ad98
𦭙	U+26B59 (U+26B59)	f0a6ad99
𦭚	U+26B5A (U+26B5A)	f0a6ad9a
𦭛	U+26B5B (U+26B5B)	f0a6ad9b
𦭜	U+26B5C (U+26B5C)	f0a6ad9c
𦭝	U+26B5D (U+26B5D)	f0a6ad9d
𦭞	U+26B5E (U+26B5E)	f0a6ad9e
𦭟	U+26B5F (U+26B5F)	f0a6ad9f
𦭠	U+26B60 (U+26B60)	f0a6ada0
𦭡	U+26B61 (U+26B61)	f0a6ada1
𦭢	U+26B62 (U+26B62)	f0a6ada2
𦭣	U+26B63 (U+26B63)	f0a6ada3
𦭤	U+26B64 (U+26B64)	f0a6ada4
𦭥	U+26B65 (U+26B65)	f0a6ada5
𦭦	U+26B66 (U+26B66)	f0a6ada6
𦭧	U+26B67 (U+26B67)	f0a6ada7
𦭨	U+26B68 (U+26B68)	f0a6ada8
𦭩	U+26B69 (U+26B69)	f0a6ada9
𦭪	U+26B6A (U+26B6A)	f0a6adaa
𦭫	U+26B6B (U+26B6B)	f0a6adab
𦭬	U+26B6C (U+26B6C)	f0a6adac
𦭭	U+26B6D (U+26B6D)	f0a6adad
𦭮	U+26B6E (U+26B6E)	f0a6adae
